"id","date","hour","value","valid","unit","station_id","station_name"
"258PM2.523010106","2023-01-01",6,175,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010107","2023-01-01",7,162,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010108","2023-01-01",8,128,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010109","2023-01-01",9,184,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010110","2023-01-01",10,190,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010111","2023-01-01",11,185,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010112","2023-01-01",12,108,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010113","2023-01-01",13,36,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010114","2023-01-01",14,18,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010115","2023-01-01",15,6,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010116","2023-01-01",16,6,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010117","2023-01-01",17,8,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010118","2023-01-01",18,8,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010208","2023-01-02",8,11,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010209","2023-01-02",9,10,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010210","2023-01-02",10,9,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010211","2023-01-02",11,9,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010218","2023-01-02",18,3,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010308","2023-01-03",8,6,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010309","2023-01-03",9,8,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010310","2023-01-03",10,15,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010311","2023-01-03",11,13,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010312","2023-01-03",12,7,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010313","2023-01-03",13,5,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010314","2023-01-03",14,4,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010315","2023-01-03",15,4,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010316","2023-01-03",16,7,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010317","2023-01-03",17,8,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010318","2023-01-03",18,7,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010410","2023-01-04",10,47,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010411","2023-01-04",11,43,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010412","2023-01-04",12,34,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010413","2023-01-04",13,24,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010414","2023-01-04",14,22,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010415","2023-01-04",15,17,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010416","2023-01-04",16,20,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010417","2023-01-04",17,16,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010418","2023-01-04",18,16,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010508","2023-01-05",8,33,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010509","2023-01-05",9,35,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010510","2023-01-05",10,25,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010511","2023-01-05",11,32,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010512","2023-01-05",12,38,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010513","2023-01-05",13,48,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010514","2023-01-05",14,37,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010515","2023-01-05",15,14,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010516","2023-01-05",16,13,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010517","2023-01-05",17,9,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010518","2023-01-05",18,6,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010609","2023-01-06",9,30,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010610","2023-01-06",10,29,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010611","2023-01-06",11,30,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010612","2023-01-06",12,33,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010613","2023-01-06",13,24,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010614","2023-01-06",14,22,1,"µg/m³",258,"Nezahualcóyotl"
"258PM2.523010615","2023-01-06",15,13,1,"µg/m³",258,"Nezahualcóyotl"
