"id","date","hour","value","valid","unit","station_id","station_name"
"260HR23010100","2023-01-01",0,73,1,"%",260,"San Agustín"
"260HR23010101","2023-01-01",1,74,1,"%",260,"San Agustín"
"260HR23010102","2023-01-01",2,79,1,"%",260,"San Agustín"
"260HR23010103","2023-01-01",3,80,1,"%",260,"San Agustín"
"260HR23010104","2023-01-01",4,83,1,"%",260,"San Agustín"
"260HR23010105","2023-01-01",5,87,1,"%",260,"San Agustín"
"260HR23010106","2023-01-01",6,88,1,"%",260,"San Agustín"
"260HR23010107","2023-01-01",7,88,1,"%",260,"San Agustín"
"260HR23010108","2023-01-01",8,88,1,"%",260,"San Agustín"
"260HR23010109","2023-01-01",9,83,1,"%",260,"San Agustín"
"260HR23010110","2023-01-01",10,77,1,"%",260,"San Agustín"
"260HR23010111","2023-01-01",11,64,1,"%",260,"San Agustín"
"260HR23010112","2023-01-01",12,50,1,"%",260,"San Agustín"
"260HR23010113","2023-01-01",13,43,1,"%",260,"San Agustín"
"260HR23010114","2023-01-01",14,38,1,"%",260,"San Agustín"
"260HR23010115","2023-01-01",15,36,1,"%",260,"San Agustín"
"260HR23010116","2023-01-01",16,37,1,"%",260,"San Agustín"
"260HR23010117","2023-01-01",17,33,1,"%",260,"San Agustín"
"260HR23010118","2023-01-01",18,36,1,"%",260,"San Agustín"
"260HR23010119","2023-01-01",19,37,1,"%",260,"San Agustín"
"260HR23010120","2023-01-01",20,40,1,"%",260,"San Agustín"
"260HR23010121","2023-01-01",21,43,1,"%",260,"San Agustín"
"260HR23010122","2023-01-01",22,50,1,"%",260,"San Agustín"
"260HR23010123","2023-01-01",23,56,1,"%",260,"San Agustín"
"260HR23010200","2023-01-02",0,58,1,"%",260,"San Agustín"
"260HR23010201","2023-01-02",1,60,1,"%",260,"San Agustín"
"260HR23010202","2023-01-02",2,64,1,"%",260,"San Agustín"
"260HR23010203","2023-01-02",3,66,1,"%",260,"San Agustín"
"260HR23010204","2023-01-02",4,72,1,"%",260,"San Agustín"
"260HR23010205","2023-01-02",5,76,1,"%",260,"San Agustín"
"260HR23010206","2023-01-02",6,80,1,"%",260,"San Agustín"
"260HR23010207","2023-01-02",7,78,1,"%",260,"San Agustín"
"260HR23010208","2023-01-02",8,81,1,"%",260,"San Agustín"
"260HR23010209","2023-01-02",9,79,1,"%",260,"San Agustín"
"260HR23010210","2023-01-02",10,66,1,"%",260,"San Agustín"
"260HR23010211","2023-01-02",11,49,1,"%",260,"San Agustín"
"260HR23010212","2023-01-02",12,44,1,"%",260,"San Agustín"
"260HR23010213","2023-01-02",13,40,1,"%",260,"San Agustín"
"260HR23010214","2023-01-02",14,38,1,"%",260,"San Agustín"
"260HR23010215","2023-01-02",15,36,1,"%",260,"San Agustín"
"260HR23010216","2023-01-02",16,37,1,"%",260,"San Agustín"
