"id","date","hour","value","valid","unit","station_id","station_name"
"260TMP23010100","2023-01-01",0,14.2,1,"°C",260,"San Agustín"
"260TMP23010101","2023-01-01",1,13.7,1,"°C",260,"San Agustín"
"260TMP23010102","2023-01-01",2,12.7,1,"°C",260,"San Agustín"
"260TMP23010103","2023-01-01",3,12.2,1,"°C",260,"San Agustín"
"260TMP23010104","2023-01-01",4,11,1,"°C",260,"San Agustín"
"260TMP23010105","2023-01-01",5,10.2,1,"°C",260,"San Agustín"
"260TMP23010106","2023-01-01",6,9.9,1,"°C",260,"San Agustín"
"260TMP23010107","2023-01-01",7,9.5,1,"°C",260,"San Agustín"
"260TMP23010108","2023-01-01",8,9.1,1,"°C",260,"San Agustín"
"260TMP23010109","2023-01-01",9,10.3,1,"°C",260,"San Agustín"
"260TMP23010110","2023-01-01",10,12.4,1,"°C",260,"San Agustín"
"260TMP23010111","2023-01-01",11,15.4,1,"°C",260,"San Agustín"
"260TMP23010112","2023-01-01",12,18.1,1,"°C",260,"San Agustín"
"260TMP23010113","2023-01-01",13,19.6,1,"°C",260,"San Agustín"
"260TMP23010114","2023-01-01",14,21.4,1,"°C",260,"San Agustín"
"260TMP23010115","2023-01-01",15,21.9,1,"°C",260,"San Agustín"
"260TMP23010116","2023-01-01",16,21.3,1,"°C",260,"San Agustín"
"260TMP23010117","2023-01-01",17,21.8,1,"°C",260,"San Agustín"
"260TMP23010118","2023-01-01",18,20.8,1,"°C",260,"San Agustín"
"260TMP23010119","2023-01-01",19,19.4,1,"°C",260,"San Agustín"
"260TMP23010120","2023-01-01",20,18.2,1,"°C",260,"San Agustín"
"260TMP23010121","2023-01-01",21,17.5,1,"°C",260,"San Agustín"
"260TMP23010122","2023-01-01",22,16.6,1,"°C",260,"San Agustín"
"260TMP23010123","2023-01-01",23,15.5,1,"°C",260,"San Agustín"
"260TMP23010200","2023-01-02",0,14.9,1,"°C",260,"San Agustín"
"260TMP23010201","2023-01-02",1,14.4,1,"°C",260,"San Agustín"
"260TMP23010202","2023-01-02",2,14.1,1,"°C",260,"San Agustín"
"260TMP23010203","2023-01-02",3,13.8,1,"°C",260,"San Agustín"
"260TMP23010204","2023-01-02",4,12.7,1,"°C",260,"San Agustín"
"260TMP23010205","2023-01-02",5,12.3,1,"°C",260,"San Agustín"
"260TMP23010206","2023-01-02",6,11.4,1,"°C",260,"San Agustín"
"260TMP23010207","2023-01-02",7,11.3,1,"°C",260,"San Agustín"
"260TMP23010208","2023-01-02",8,11.5,1,"°C",260,"San Agustín"
"260TMP23010209","2023-01-02",9,12.6,1,"°C",260,"San Agustín"
"260TMP23010210","2023-01-02",10,16,1,"°C",260,"San Agustín"
"260TMP23010211","2023-01-02",11,18.1,1,"°C",260,"San Agustín"
"260TMP23010212","2023-01-02",12,19.3,1,"°C",260,"San Agustín"
"260TMP23010213","2023-01-02",13,20.1,1,"°C",260,"San Agustín"
"260TMP23010214","2023-01-02",14,20.5,1,"°C",260,"San Agustín"
"260TMP23010215","2023-01-02",15,20.5,1,"°C",260,"San Agustín"
"260TMP23010216","2023-01-02",16,20.7,1,"°C",260,"San Agustín"
"260TMP23010217","2023-01-02",17,20.3,1,"°C",260,"San Agustín"
"260TMP23010218","2023-01-02",18,19.3,1,"°C",260,"San Agustín"
"260TMP23010219","2023-01-02",19,18,1,"°C",260,"San Agustín"
"260TMP23010220","2023-01-02",20,17,1,"°C",260,"San Agustín"
