"id","date","hour","value","valid","unit","station_id","station_name"
"256HR23010100","2023-01-01",0,63,1,"%",256,"Merced"
"256HR23010101","2023-01-01",1,66,1,"%",256,"Merced"
"256HR23010102","2023-01-01",2,67,1,"%",256,"Merced"
"256HR23010103","2023-01-01",3,70,1,"%",256,"Merced"
"256HR23010104","2023-01-01",4,71,1,"%",256,"Merced"
"256HR23010105","2023-01-01",5,74,1,"%",256,"Merced"
"256HR23010106","2023-01-01",6,77,1,"%",256,"Merced"
"256HR23010107","2023-01-01",7,77,1,"%",256,"Merced"
"256HR23010108","2023-01-01",8,76,1,"%",256,"Merced"
"256HR23010109","2023-01-01",9,71,1,"%",256,"Merced"
"256HR23010110","2023-01-01",10,63,1,"%",256,"Merced"
"256HR23010111","2023-01-01",11,56,1,"%",256,"Merced"
"256HR23010112","2023-01-01",12,47,1,"%",256,"Merced"
"256HR23010113","2023-01-01",13,43,1,"%",256,"Merced"
"256HR23010114","2023-01-01",14,38,1,"%",256,"Merced"
"256HR23010115","2023-01-01",15,35,1,"%",256,"Merced"
"256HR23010116","2023-01-01",16,35,1,"%",256,"Merced"
"256HR23010117","2023-01-01",17,35,1,"%",256,"Merced"
"256HR23010118","2023-01-01",18,37,1,"%",256,"Merced"
"256HR23010119","2023-01-01",19,39,1,"%",256,"Merced"
"256HR23010120","2023-01-01",20,42,1,"%",256,"Merced"
"256HR23010121","2023-01-01",21,44,1,"%",256,"Merced"
"256HR23010122","2023-01-01",22,50,1,"%",256,"Merced"
"256HR23010123","2023-01-01",23,52,1,"%",256,"Merced"
"256HR23010200","2023-01-02",0,56,1,"%",256,"Merced"
"256HR23010201","2023-01-02",1,59,1,"%",256,"Merced"
"256HR23010202","2023-01-02",2,63,1,"%",256,"Merced"
"256HR23010203","2023-01-02",3,65,1,"%",256,"Merced"
"256HR23010204","2023-01-02",4,66,1,"%",256,"Merced"
"256HR23010205","2023-01-02",5,69,1,"%",256,"Merced"
"256HR23010206","2023-01-02",6,70,1,"%",256,"Merced"
"256HR23010207","2023-01-02",7,72,1,"%",256,"Merced"
"256HR23010208","2023-01-02",8,71,1,"%",256,"Merced"
"256HR23010209","2023-01-02",9,60,1,"%",256,"Merced"
"256HR23010210","2023-01-02",10,49,1,"%",256,"Merced"
"256HR23010211","2023-01-02",11,43,1,"%",256,"Merced"
"256HR23010212","2023-01-02",12,37,1,"%",256,"Merced"
"256HR23010213","2023-01-02",13,34,1,"%",256,"Merced"
"256HR23010214","2023-01-02",14,33,1,"%",256,"Merced"
"256HR23010215","2023-01-02",15,35,1,"%",256,"Merced"
"256HR23010216","2023-01-02",16,38,1,"%",256,"Merced"
"256HR23010217","2023-01-02",17,39,1,"%",256,"Merced"
"256HR23010218","2023-01-02",18,41,1,"%",256,"Merced"
"256HR23010219","2023-01-02",19,47,1,"%",256,"Merced"
"256HR23010220","2023-01-02",20,49,1,"%",256,"Merced"
"256HR23010221","2023-01-02",21,51,1,"%",256,"Merced"
"256HR23010222","2023-01-02",22,52,1,"%",256,"Merced"
"256HR23010223","2023-01-02",23,53,1,"%",256,"Merced"
"256HR23010300","2023-01-03",0,54,1,"%",256,"Merced"
"256HR23010301","2023-01-03",1,55,1,"%",256,"Merced"
"256HR23010302","2023-01-03",2,57,1,"%",256,"Merced"
"256HR23010303","2023-01-03",3,61,1,"%",256,"Merced"
"256HR23010304","2023-01-03",4,63,1,"%",256,"Merced"
"256HR23010305","2023-01-03",5,67,1,"%",256,"Merced"
"256HR23010306","2023-01-03",6,68,1,"%",256,"Merced"
"256HR23010307","2023-01-03",7,67,1,"%",256,"Merced"
"256HR23010308","2023-01-03",8,67,1,"%",256,"Merced"
"256HR23010309","2023-01-03",9,62,1,"%",256,"Merced"
"256HR23010310","2023-01-03",10,49,1,"%",256,"Merced"
"256HR23010311","2023-01-03",11,40,1,"%",256,"Merced"
"256HR23010312","2023-01-03",12,32,1,"%",256,"Merced"
"256HR23010313","2023-01-03",13,28,1,"%",256,"Merced"
"256HR23010314","2023-01-03",14,27,1,"%",256,"Merced"
"256HR23010315","2023-01-03",15,27,1,"%",256,"Merced"
"256HR23010316","2023-01-03",16,26,1,"%",256,"Merced"
"256HR23010317","2023-01-03",17,29,1,"%",256,"Merced"
"256HR23010318","2023-01-03",18,32,1,"%",256,"Merced"
"256HR23010319","2023-01-03",19,34,1,"%",256,"Merced"
"256HR23010320","2023-01-03",20,38,1,"%",256,"Merced"
"256HR23010321","2023-01-03",21,42,1,"%",256,"Merced"
"256HR23010322","2023-01-03",22,43,1,"%",256,"Merced"
"256HR23010323","2023-01-03",23,52,1,"%",256,"Merced"
