"id","date","hour","value","valid","unit","station_id","station_name"
"266HR23010100","2023-01-01",0,56,1,"%",266,"Tlalnepantla"
"266HR23010101","2023-01-01",1,60,1,"%",266,"Tlalnepantla"
"266HR23010102","2023-01-01",2,62,1,"%",266,"Tlalnepantla"
"266HR23010103","2023-01-01",3,65,1,"%",266,"Tlalnepantla"
"266HR23010104","2023-01-01",4,66,1,"%",266,"Tlalnepantla"
"266HR23010105","2023-01-01",5,68,1,"%",266,"Tlalnepantla"
"266HR23010106","2023-01-01",6,69,1,"%",266,"Tlalnepantla"
"266HR23010107","2023-01-01",7,70,1,"%",266,"Tlalnepantla"
"266HR23010108","2023-01-01",8,70,1,"%",266,"Tlalnepantla"
"266HR23010109","2023-01-01",9,62,1,"%",266,"Tlalnepantla"
"266HR23010110","2023-01-01",10,52,1,"%",266,"Tlalnepantla"
"266HR23010111","2023-01-01",11,47,1,"%",266,"Tlalnepantla"
"266HR23010112","2023-01-01",12,41,1,"%",266,"Tlalnepantla"
"266HR23010113","2023-01-01",13,34,1,"%",266,"Tlalnepantla"
"266HR23010114","2023-01-01",14,32,1,"%",266,"Tlalnepantla"
"266HR23010115","2023-01-01",15,32,1,"%",266,"Tlalnepantla"
"266HR23010116","2023-01-01",16,31,1,"%",266,"Tlalnepantla"
"266HR23010117","2023-01-01",17,32,1,"%",266,"Tlalnepantla"
"266HR23010118","2023-01-01",18,36,1,"%",266,"Tlalnepantla"
"266HR23010119","2023-01-01",19,36,1,"%",266,"Tlalnepantla"
"266HR23010120","2023-01-01",20,39,1,"%",266,"Tlalnepantla"
"266HR23010121","2023-01-01",21,43,1,"%",266,"Tlalnepantla"
"266HR23010122","2023-01-01",22,45,1,"%",266,"Tlalnepantla"
"266HR23010123","2023-01-01",23,49,1,"%",266,"Tlalnepantla"
"266HR23010200","2023-01-02",0,52,1,"%",266,"Tlalnepantla"
"266HR23010201","2023-01-02",1,53,1,"%",266,"Tlalnepantla"
"266HR23010202","2023-01-02",2,56,1,"%",266,"Tlalnepantla"
"266HR23010203","2023-01-02",3,58,1,"%",266,"Tlalnepantla"
"266HR23010204","2023-01-02",4,64,1,"%",266,"Tlalnepantla"
"266HR23010205","2023-01-02",5,64,1,"%",266,"Tlalnepantla"
"266HR23010206","2023-01-02",6,66,1,"%",266,"Tlalnepantla"
"266HR23010207","2023-01-02",7,68,1,"%",266,"Tlalnepantla"
"266HR23010208","2023-01-02",8,67,1,"%",266,"Tlalnepantla"
"266HR23010209","2023-01-02",9,58,1,"%",266,"Tlalnepantla"
"266HR23010210","2023-01-02",10,48,1,"%",266,"Tlalnepantla"
"266HR23010211","2023-01-02",11,42,1,"%",266,"Tlalnepantla"
"266HR23010212","2023-01-02",12,34,1,"%",266,"Tlalnepantla"
"266HR23010213","2023-01-02",13,30,1,"%",266,"Tlalnepantla"
"266HR23010214","2023-01-02",14,27,1,"%",266,"Tlalnepantla"
"266HR23010215","2023-01-02",15,29,1,"%",266,"Tlalnepantla"
"266HR23010216","2023-01-02",16,30,1,"%",266,"Tlalnepantla"
"266HR23010217","2023-01-02",17,30,1,"%",266,"Tlalnepantla"
"266HR23010218","2023-01-02",18,31,1,"%",266,"Tlalnepantla"
"266HR23010219","2023-01-02",19,37,1,"%",266,"Tlalnepantla"
"266HR23010220","2023-01-02",20,46,1,"%",266,"Tlalnepantla"
"266HR23010221","2023-01-02",21,50,1,"%",266,"Tlalnepantla"
"266HR23010222","2023-01-02",22,49,1,"%",266,"Tlalnepantla"
"266HR23010223","2023-01-02",23,48,1,"%",266,"Tlalnepantla"
"266HR23010300","2023-01-03",0,49,1,"%",266,"Tlalnepantla"
"266HR23010301","2023-01-03",1,51,1,"%",266,"Tlalnepantla"
"266HR23010302","2023-01-03",2,53,1,"%",266,"Tlalnepantla"
"266HR23010303","2023-01-03",3,54,1,"%",266,"Tlalnepantla"
