"id","date","hour","value","valid","unit","station_id","station_name"
"102HR23010100","2023-01-01",0,73.372,1,"%",102,"Centro"
"102HR23010101","2023-01-01",1,84.372,1,"%",102,"Centro"
"102HR23010102","2023-01-01",2,86.801,1,"%",102,"Centro"
"102HR23010103","2023-01-01",3,88.669,1,"%",102,"Centro"
"102HR23010104","2023-01-01",4,89.477,1,"%",102,"Centro"
"102HR23010105","2023-01-01",5,89.292,1,"%",102,"Centro"
"102HR23010106","2023-01-01",6,90.062,1,"%",102,"Centro"
"102HR23010107","2023-01-01",7,91.292,1,"%",102,"Centro"
"102HR23010108","2023-01-01",8,91.719,1,"%",102,"Centro"
"102HR23010109","2023-01-01",9,86.839,1,"%",102,"Centro"
"102HR23010110","2023-01-01",10,78.316,1,"%",102,"Centro"
"102HR23010111","2023-01-01",11,69.377,1,"%",102,"Centro"
"102HR23010112","2023-01-01",12,60.21,1,"%",102,"Centro"
"102HR23010113","2023-01-01",13,54.27,1,"%",102,"Centro"
"102HR23010114","2023-01-01",14,49.308,1,"%",102,"Centro"
"102HR23010115","2023-01-01",15,47.403,1,"%",102,"Centro"
"102HR23010116","2023-01-01",16,41.61,1,"%",102,"Centro"
"102HR23010117","2023-01-01",17,36.635,1,"%",102,"Centro"
"102HR23010118","2023-01-01",18,34.712,1,"%",102,"Centro"
"102HR23010119","2023-01-01",19,35.784,1,"%",102,"Centro"
"102HR23010120","2023-01-01",20,37.757,1,"%",102,"Centro"
"102HR23010121","2023-01-01",21,40.184,1,"%",102,"Centro"
"102HR23010122","2023-01-01",22,46.934,1,"%",102,"Centro"
"102HR23010123","2023-01-01",23,53.049,1,"%",102,"Centro"
"102HR23010200","2023-01-02",0,58.156,1,"%",102,"Centro"
"102HR23010201","2023-01-02",1,64.212,1,"%",102,"Centro"
"102HR23010202","2023-01-02",2,70.436,1,"%",102,"Centro"
"102HR23010203","2023-01-02",3,73.628,1,"%",102,"Centro"
"102HR23010204","2023-01-02",4,77.663,1,"%",102,"Centro"
"102HR23010205","2023-01-02",5,77.076,1,"%",102,"Centro"
"102HR23010206","2023-01-02",6,80.639,1,"%",102,"Centro"
"102HR23010207","2023-01-02",7,76.078,1,"%",102,"Centro"
"102HR23010208","2023-01-02",8,77.512,1,"%",102,"Centro"
"102HR23010209","2023-01-02",9,70.753,1,"%",102,"Centro"
"102HR23010210","2023-01-02",10,62.679,1,"%",102,"Centro"
"102HR23010211","2023-01-02",11,54.242,1,"%",102,"Centro"
"102HR23010212","2023-01-02",12,48.106,1,"%",102,"Centro"
"102HR23010213","2023-01-02",13,41.191,1,"%",102,"Centro"
"102HR23010214","2023-01-02",14,39.55,1,"%",102,"Centro"
"102HR23010215","2023-01-02",15,40.478,1,"%",102,"Centro"
"102HR23010216","2023-01-02",16,41.196,1,"%",102,"Centro"
"102HR23010217","2023-01-02",17,41.87,1,"%",102,"Centro"
"102HR23010218","2023-01-02",18,44.137,1,"%",102,"Centro"
"102HR23010219","2023-01-02",19,48.69,1,"%",102,"Centro"
"102HR23010220","2023-01-02",20,50.576,1,"%",102,"Centro"
"102HR23010221","2023-01-02",21,50.457,1,"%",102,"Centro"
"102HR23010222","2023-01-02",22,54.815,1,"%",102,"Centro"
"102HR23010223","2023-01-02",23,56.313,1,"%",102,"Centro"
"102HR23010300","2023-01-03",0,55.938,1,"%",102,"Centro"
"102HR23010301","2023-01-03",1,62.331,1,"%",102,"Centro"
"102HR23010302","2023-01-03",2,69.011,1,"%",102,"Centro"
"102HR23010303","2023-01-03",3,69.182,1,"%",102,"Centro"
"102HR23010304","2023-01-03",4,72.467,1,"%",102,"Centro"
"102HR23010305","2023-01-03",5,75.593,1,"%",102,"Centro"
"102HR23010306","2023-01-03",6,76.811,1,"%",102,"Centro"
"102HR23010307","2023-01-03",7,78.855,1,"%",102,"Centro"
"102HR23010308","2023-01-03",8,79.839,1,"%",102,"Centro"
"102HR23010309","2023-01-03",9,75.185,1,"%",102,"Centro"
"102HR23010310","2023-01-03",10,71.438,1,"%",102,"Centro"
"102HR23010311","2023-01-03",11,59.742,1,"%",102,"Centro"
"102HR23010312","2023-01-03",12,51.657,1,"%",102,"Centro"
"102HR23010313","2023-01-03",13,41.563,1,"%",102,"Centro"
"102HR23010314","2023-01-03",14,33.161,1,"%",102,"Centro"
"102HR23010315","2023-01-03",15,27.952,1,"%",102,"Centro"
"102HR23010316","2023-01-03",16,29.52,1,"%",102,"Centro"
"102HR23010317","2023-01-03",17,29.294,1,"%",102,"Centro"
"102HR23010318","2023-01-03",18,30.515,1,"%",102,"Centro"
"102HR23010319","2023-01-03",19,33.227,1,"%",102,"Centro"
"102HR23010320","2023-01-03",20,37.429,1,"%",102,"Centro"
"102HR23010321","2023-01-03",21,43.353,1,"%",102,"Centro"
"102HR23010322","2023-01-03",22,51.477,1,"%",102,"Centro"
"102HR23010323","2023-01-03",23,56.678,1,"%",102,"Centro"
"102HR23010400","2023-01-04",0,61.862,1,"%",102,"Centro"
"102HR23010401","2023-01-04",1,66.169,1,"%",102,"Centro"
"102HR23010402","2023-01-04",2,70.886,1,"%",102,"Centro"
"102HR23010403","2023-01-04",3,72.887,1,"%",102,"Centro"
"102HR23010404","2023-01-04",4,74.75,1,"%",102,"Centro"
"102HR23010405","2023-01-04",5,77.341,1,"%",102,"Centro"
"102HR23010406","2023-01-04",6,77.234,1,"%",102,"Centro"
"102HR23010407","2023-01-04",7,78.302,1,"%",102,"Centro"
"102HR23010408","2023-01-04",8,76.415,1,"%",102,"Centro"
"102HR23010409","2023-01-04",9,73.653,1,"%",102,"Centro"
"102HR23010410","2023-01-04",10,67.097,1,"%",102,"Centro"
"102HR23010411","2023-01-04",11,60.131,1,"%",102,"Centro"
"102HR23010412","2023-01-04",12,51.607,1,"%",102,"Centro"
"102HR23010413","2023-01-04",13,39.3,1,"%",102,"Centro"
"102HR23010414","2023-01-04",14,33.858,1,"%",102,"Centro"
"102HR23010415","2023-01-04",15,29.762,1,"%",102,"Centro"
"102HR23010416","2023-01-04",16,26.357,1,"%",102,"Centro"
"102HR23010417","2023-01-04",17,21.606,1,"%",102,"Centro"
"102HR23010418","2023-01-04",18,21.822,1,"%",102,"Centro"
"102HR23010419","2023-01-04",19,23.805,1,"%",102,"Centro"
"102HR23010420","2023-01-04",20,28.22,1,"%",102,"Centro"
"102HR23010421","2023-01-04",21,34.518,1,"%",102,"Centro"
