"id","date","hour","value","valid","unit","station_id","station_name"
"102PM2.523010100","2023-01-01",0,3.6268,1,"µg/m³",102,"Centro"
"102PM2.523010101","2023-01-01",1,29.152,1,"µg/m³",102,"Centro"
"102PM2.523010102","2023-01-01",2,121.95,1,"µg/m³",102,"Centro"
"102PM2.523010103","2023-01-01",3,134.58,1,"µg/m³",102,"Centro"
"102PM2.523010104","2023-01-01",4,152.41,1,"µg/m³",102,"Centro"
"102PM2.523010105","2023-01-01",5,191.9,1,"µg/m³",102,"Centro"
"102PM2.523010106","2023-01-01",6,197.84,1,"µg/m³",102,"Centro"
"102PM2.523010107","2023-01-01",7,176.06,1,"µg/m³",102,"Centro"
"102PM2.523010108","2023-01-01",8,213.69,1,"µg/m³",102,"Centro"
"102PM2.523010109","2023-01-01",9,238.57,1,"µg/m³",102,"Centro"
"102PM2.523010110","2023-01-01",10,159.59,1,"µg/m³",102,"Centro"
"102PM2.523010111","2023-01-01",11,148.91,1,"µg/m³",102,"Centro"
"102PM2.523010112","2023-01-01",12,62.242,1,"µg/m³",102,"Centro"
"102PM2.523010113","2023-01-01",13,26.164,1,"µg/m³",102,"Centro"
"102PM2.523010114","2023-01-01",14,28.74,1,"µg/m³",102,"Centro"
"102PM2.523010115","2023-01-01",15,36.735,1,"µg/m³",102,"Centro"
"102PM2.523010116","2023-01-01",16,15.125,1,"µg/m³",102,"Centro"
"102PM2.523010117","2023-01-01",17,9.2573,1,"µg/m³",102,"Centro"
"102PM2.523010118","2023-01-01",18,9.3756,1,"µg/m³",102,"Centro"
"102PM2.523010119","2023-01-01",19,6.9337,1,"µg/m³",102,"Centro"
"102PM2.523010120","2023-01-01",20,9.4327,1,"µg/m³",102,"Centro"
"102PM2.523010121","2023-01-01",21,13.296,1,"µg/m³",102,"Centro"
"102PM2.523010122","2023-01-01",22,15.246,1,"µg/m³",102,"Centro"
"102PM2.523010123","2023-01-01",23,11.872,1,"µg/m³",102,"Centro"
"102PM2.523010200","2023-01-02",0,10.776,1,"µg/m³",102,"Centro"
"102PM2.523010201","2023-01-02",1,15.753,1,"µg/m³",102,"Centro"
"102PM2.523010202","2023-01-02",2,7.0391,1,"µg/m³",102,"Centro"
"102PM2.523010203","2023-01-02",3,11.778,1,"µg/m³",102,"Centro"
"102PM2.523010204","2023-01-02",4,13.563,1,"µg/m³",102,"Centro"
"102PM2.523010205","2023-01-02",5,15.453,1,"µg/m³",102,"Centro"
"102PM2.523010206","2023-01-02",6,6.0573,1,"µg/m³",102,"Centro"
"102PM2.523010207","2023-01-02",7,10.83,1,"µg/m³",102,"Centro"
"102PM2.523010208","2023-01-02",8,17.35,1,"µg/m³",102,"Centro"
"102PM2.523010209","2023-01-02",9,21.639,1,"µg/m³",102,"Centro"
"102PM2.523010210","2023-01-02",10,26.799,1,"µg/m³",102,"Centro"
"102PM2.523010211","2023-01-02",11,16.8,1,"µg/m³",102,"Centro"
"102PM2.523010212","2023-01-02",12,16.214,1,"µg/m³",102,"Centro"
