"id","date","hour","value","valid","unit","station_id","station_name"
"103PM2.523010100","2023-01-01",0,51.891,1,"µg/m³",103,"Las Águilas"
"103PM2.523010101","2023-01-01",1,58.28,1,"µg/m³",103,"Las Águilas"
"103PM2.523010102","2023-01-01",2,76.99,1,"µg/m³",103,"Las Águilas"
"103PM2.523010103","2023-01-01",3,95.592,1,"µg/m³",103,"Las Águilas"
"103PM2.523010104","2023-01-01",4,105.65,1,"µg/m³",103,"Las Águilas"
"103PM2.523010105","2023-01-01",5,84.711,1,"µg/m³",103,"Las Águilas"
"103PM2.523010106","2023-01-01",6,60.696,1,"µg/m³",103,"Las Águilas"
"103PM2.523010107","2023-01-01",7,46.746,1,"µg/m³",103,"Las Águilas"
"103PM2.523010108","2023-01-01",8,38.421,1,"µg/m³",103,"Las Águilas"
"103PM2.523010109","2023-01-01",9,18.262,1,"µg/m³",103,"Las Águilas"
"103PM2.523010110","2023-01-01",10,15.008,1,"µg/m³",103,"Las Águilas"
"103PM2.523010111","2023-01-01",11,29.665,1,"µg/m³",103,"Las Águilas"
"103PM2.523010112","2023-01-01",12,19.508,1,"µg/m³",103,"Las Águilas"
"103PM2.523010113","2023-01-01",13,22.258,1,"µg/m³",103,"Las Águilas"
"103PM2.523010114","2023-01-01",14,15.307,1,"µg/m³",103,"Las Águilas"
"103PM2.523010115","2023-01-01",15,6.6318,1,"µg/m³",103,"Las Águilas"
"103PM2.523010116","2023-01-01",16,3.9356,1,"µg/m³",103,"Las Águilas"
"103PM2.523010117","2023-01-01",17,0.86248,1,"µg/m³",103,"Las Águilas"
"103PM2.523010118","2023-01-01",18,3.4489,1,"µg/m³",103,"Las Águilas"
"103PM2.523010119","2023-01-01",19,6.1395,1,"µg/m³",103,"Las Águilas"
"103PM2.523010120","2023-01-01",20,5.7386,1,"µg/m³",103,"Las Águilas"
"103PM2.523010121","2023-01-01",21,6.5813,1,"µg/m³",103,"Las Águilas"
"103PM2.523010122","2023-01-01",22,8.9515,1,"µg/m³",103,"Las Águilas"
"103PM2.523010123","2023-01-01",23,6.6319,1,"µg/m³",103,"Las Águilas"
"103PM2.523010200","2023-01-02",0,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010201","2023-01-02",1,1.8293,1,"µg/m³",103,"Las Águilas"
"103PM2.523010202","2023-01-02",2,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010203","2023-01-02",3,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010204","2023-01-02",4,2.5911,1,"µg/m³",103,"Las Águilas"
"103PM2.523010205","2023-01-02",5,4.6419,1,"µg/m³",103,"Las Águilas"
"103PM2.523010206","2023-01-02",6,9.1663,1,"µg/m³",103,"Las Águilas"
"103PM2.523010207","2023-01-02",7,9.6733,1,"µg/m³",103,"Las Águilas"
"103PM2.523010208","2023-01-02",8,6.9244,1,"µg/m³",103,"Las Águilas"
"103PM2.523010209","2023-01-02",9,8.4056,1,"µg/m³",103,"Las Águilas"
"103PM2.523010210","2023-01-02",10,0.46954,1,"µg/m³",103,"Las Águilas"
"103PM2.523010211","2023-01-02",11,6.1918,1,"µg/m³",103,"Las Águilas"
"103PM2.523010212","2023-01-02",12,7.6492,1,"µg/m³",103,"Las Águilas"
"103PM2.523010213","2023-01-02",13,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010214","2023-01-02",14,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010215","2023-01-02",15,1.8963,1,"µg/m³",103,"Las Águilas"
"103PM2.523010216","2023-01-02",16,8.3212,1,"µg/m³",103,"Las Águilas"
"103PM2.523010217","2023-01-02",17,9.4885,1,"µg/m³",103,"Las Águilas"
"103PM2.523010218","2023-01-02",18,8.8392,1,"µg/m³",103,"Las Águilas"
"103PM2.523010219","2023-01-02",19,5.7218,1,"µg/m³",103,"Las Águilas"
"103PM2.523010220","2023-01-02",20,3.7601,1,"µg/m³",103,"Las Águilas"
"103PM2.523010221","2023-01-02",21,7.8256,1,"µg/m³",103,"Las Águilas"
"103PM2.523010222","2023-01-02",22,11.258,1,"µg/m³",103,"Las Águilas"
"103PM2.523010223","2023-01-02",23,8.9017,1,"µg/m³",103,"Las Águilas"
"103PM2.523010300","2023-01-03",0,5.8095,1,"µg/m³",103,"Las Águilas"
"103PM2.523010301","2023-01-03",1,4.6766,1,"µg/m³",103,"Las Águilas"
"103PM2.523010302","2023-01-03",2,12.96,1,"µg/m³",103,"Las Águilas"
"103PM2.523010303","2023-01-03",3,4.7182,1,"µg/m³",103,"Las Águilas"
"103PM2.523010304","2023-01-03",4,2.4408,1,"µg/m³",103,"Las Águilas"
"103PM2.523010305","2023-01-03",5,7.2035,1,"µg/m³",103,"Las Águilas"
"103PM2.523010306","2023-01-03",6,7.1886,1,"µg/m³",103,"Las Águilas"
"103PM2.523010307","2023-01-03",7,7.6461,1,"µg/m³",103,"Las Águilas"
"103PM2.523010308","2023-01-03",8,12.083,1,"µg/m³",103,"Las Águilas"
"103PM2.523010309","2023-01-03",9,9.1969,1,"µg/m³",103,"Las Águilas"
"103PM2.523010310","2023-01-03",10,18.972,1,"µg/m³",103,"Las Águilas"
"103PM2.523010311","2023-01-03",11,17.679,1,"µg/m³",103,"Las Águilas"
"103PM2.523010312","2023-01-03",12,13.496,1,"µg/m³",103,"Las Águilas"
"103PM2.523010313","2023-01-03",13,2.7582,1,"µg/m³",103,"Las Águilas"
"103PM2.523010314","2023-01-03",14,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010315","2023-01-03",15,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010316","2023-01-03",16,NA,1,"µg/m³",103,"Las Águilas"
"103PM2.523010317","2023-01-03",17,1.6468,1,"µg/m³",103,"Las Águilas"
"103PM2.523010318","2023-01-03",18,6.7529,1,"µg/m³",103,"Las Águilas"
"103PM2.523010319","2023-01-03",19,11.781,1,"µg/m³",103,"Las Águilas"
"103PM2.523010320","2023-01-03",20,12.537,1,"µg/m³",103,"Las Águilas"
"103PM2.523010321","2023-01-03",21,19.514,1,"µg/m³",103,"Las Águilas"
"103PM2.523010322","2023-01-03",22,5.1473,1,"µg/m³",103,"Las Águilas"
"103PM2.523010323","2023-01-03",23,1.985,1,"µg/m³",103,"Las Águilas"
"103PM2.523010400","2023-01-04",0,7.8911,1,"µg/m³",103,"Las Águilas"
"103PM2.523010401","2023-01-04",1,2.7175,1,"µg/m³",103,"Las Águilas"
