"id","date","hour","value","valid","unit","station_id","station_name"
"106TMP23012715","2023-01-27",15,25.152,1,"°C",106,"Miravalle"
"106TMP23012716","2023-01-27",16,25.574,1,"°C",106,"Miravalle"
"106TMP23012717","2023-01-27",17,25.975,1,"°C",106,"Miravalle"
"106TMP23012718","2023-01-27",18,24.801,1,"°C",106,"Miravalle"
"106TMP23012719","2023-01-27",19,22.996,1,"°C",106,"Miravalle"
"106TMP23012720","2023-01-27",20,21.212,1,"°C",106,"Miravalle"
"106TMP23012721","2023-01-27",21,20.063,1,"°C",106,"Miravalle"
"106TMP23012722","2023-01-27",22,19.164,1,"°C",106,"Miravalle"
"106TMP23012723","2023-01-27",23,18.181,1,"°C",106,"Miravalle"
"106TMP23012800","2023-01-28",0,16.877,1,"°C",106,"Miravalle"
"106TMP23012801","2023-01-28",1,15.778,1,"°C",106,"Miravalle"
"106TMP23012802","2023-01-28",2,14.445,1,"°C",106,"Miravalle"
"106TMP23012803","2023-01-28",3,13.732,1,"°C",106,"Miravalle"
"106TMP23012804","2023-01-28",4,12.965,1,"°C",106,"Miravalle"
"106TMP23012805","2023-01-28",5,11.992,1,"°C",106,"Miravalle"
"106TMP23012806","2023-01-28",6,11.826,1,"°C",106,"Miravalle"
"106TMP23012807","2023-01-28",7,11.402,1,"°C",106,"Miravalle"
"106TMP23012808","2023-01-28",8,10.713,1,"°C",106,"Miravalle"
"106TMP23012809","2023-01-28",9,13.266,1,"°C",106,"Miravalle"
"106TMP23012810","2023-01-28",10,15.715,1,"°C",106,"Miravalle"
"106TMP23012811","2023-01-28",11,18.359,1,"°C",106,"Miravalle"
"106TMP23012812","2023-01-28",12,21.33,1,"°C",106,"Miravalle"
"106TMP23012813","2023-01-28",13,23.93,1,"°C",106,"Miravalle"
"106TMP23012814","2023-01-28",14,25.042,1,"°C",106,"Miravalle"
"106TMP23012815","2023-01-28",15,25.4,1,"°C",106,"Miravalle"
"106TMP23012816","2023-01-28",16,25.179,1,"°C",106,"Miravalle"
"106TMP23012817","2023-01-28",17,24.168,1,"°C",106,"Miravalle"
"106TMP23012818","2023-01-28",18,23.367,1,"°C",106,"Miravalle"
"106TMP23012819","2023-01-28",19,20.923,1,"°C",106,"Miravalle"
"106TMP23012820","2023-01-28",20,19.066,1,"°C",106,"Miravalle"
"106TMP23012821","2023-01-28",21,18.476,1,"°C",106,"Miravalle"
"106TMP23012822","2023-01-28",22,17.995,1,"°C",106,"Miravalle"
"106TMP23012823","2023-01-28",23,17.468,1,"°C",106,"Miravalle"
"106TMP23012900","2023-01-29",0,16.929,1,"°C",106,"Miravalle"
"106TMP23012901","2023-01-29",1,16.78,1,"°C",106,"Miravalle"
"106TMP23012902","2023-01-29",2,16.423,1,"°C",106,"Miravalle"
"106TMP23012903","2023-01-29",3,16.212,1,"°C",106,"Miravalle"
"106TMP23012904","2023-01-29",4,15.683,1,"°C",106,"Miravalle"
"106TMP23012905","2023-01-29",5,14.931,1,"°C",106,"Miravalle"
"106TMP23012906","2023-01-29",6,14.26,1,"°C",106,"Miravalle"
"106TMP23012907","2023-01-29",7,13.679,1,"°C",106,"Miravalle"
"106TMP23012908","2023-01-29",8,13.32,1,"°C",106,"Miravalle"
"106TMP23012909","2023-01-29",9,14.607,1,"°C",106,"Miravalle"
"106TMP23012910","2023-01-29",10,17.36,1,"°C",106,"Miravalle"
"106TMP23012911","2023-01-29",11,20.617,1,"°C",106,"Miravalle"
"106TMP23012912","2023-01-29",12,23.621,1,"°C",106,"Miravalle"
"106TMP23012913","2023-01-29",13,25.902,1,"°C",106,"Miravalle"
"106TMP23012914","2023-01-29",14,27.254,1,"°C",106,"Miravalle"
"106TMP23012915","2023-01-29",15,27.915,1,"°C",106,"Miravalle"
"106TMP23012916","2023-01-29",16,27.854,1,"°C",106,"Miravalle"
"106TMP23012917","2023-01-29",17,28.361,1,"°C",106,"Miravalle"
"106TMP23012919","2023-01-29",19,25.618,1,"°C",106,"Miravalle"
"106TMP23012920","2023-01-29",20,23.287,1,"°C",106,"Miravalle"
"106TMP23012921","2023-01-29",21,21.736,1,"°C",106,"Miravalle"
"106TMP23012922","2023-01-29",22,20.7,1,"°C",106,"Miravalle"
"106TMP23012923","2023-01-29",23,19.811,1,"°C",106,"Miravalle"
"106TMP23013000","2023-01-30",0,18.403,1,"°C",106,"Miravalle"
"106TMP23013001","2023-01-30",1,16.995,1,"°C",106,"Miravalle"
"106TMP23013002","2023-01-30",2,15.934,1,"°C",106,"Miravalle"
"106TMP23013003","2023-01-30",3,15.462,1,"°C",106,"Miravalle"
"106TMP23013004","2023-01-30",4,14.641,1,"°C",106,"Miravalle"
"106TMP23013005","2023-01-30",5,14.145,1,"°C",106,"Miravalle"
"106TMP23013006","2023-01-30",6,13.593,1,"°C",106,"Miravalle"
"106TMP23013007","2023-01-30",7,13.155,1,"°C",106,"Miravalle"
"106TMP23013008","2023-01-30",8,13.058,1,"°C",106,"Miravalle"
"106TMP23013009","2023-01-30",9,15.267,1,"°C",106,"Miravalle"
"106TMP23013010","2023-01-30",10,19.216,1,"°C",106,"Miravalle"
"106TMP23013011","2023-01-30",11,22.264,1,"°C",106,"Miravalle"
"106TMP23013012","2023-01-30",12,24.427,1,"°C",106,"Miravalle"
"106TMP23013013","2023-01-30",13,26.037,1,"°C",106,"Miravalle"
"106TMP23013014","2023-01-30",14,27.38,1,"°C",106,"Miravalle"
"106TMP23013015","2023-01-30",15,27.75,1,"°C",106,"Miravalle"
"106TMP23013016","2023-01-30",16,27.915,1,"°C",106,"Miravalle"
"106TMP23013017","2023-01-30",17,28.239,1,"°C",106,"Miravalle"
"106TMP23013018","2023-01-30",18,27.847,1,"°C",106,"Miravalle"
"106TMP23013019","2023-01-30",19,25.61,1,"°C",106,"Miravalle"
"106TMP23013020","2023-01-30",20,23.573,1,"°C",106,"Miravalle"
"106TMP23013021","2023-01-30",21,22.106,1,"°C",106,"Miravalle"
"106TMP23013022","2023-01-30",22,21.455,1,"°C",106,"Miravalle"
"106TMP23013023","2023-01-30",23,19.99,1,"°C",106,"Miravalle"
"106TMP23013100","2023-01-31",0,18.497,1,"°C",106,"Miravalle"
"106TMP23013101","2023-01-31",1,17.602,1,"°C",106,"Miravalle"
"106TMP23013102","2023-01-31",2,16.38,1,"°C",106,"Miravalle"
"106TMP23013103","2023-01-31",3,15.66,1,"°C",106,"Miravalle"
"106TMP23013104","2023-01-31",4,15.097,1,"°C",106,"Miravalle"
"106TMP23013105","2023-01-31",5,14.631,1,"°C",106,"Miravalle"
"106TMP23013106","2023-01-31",6,14.205,1,"°C",106,"Miravalle"
"106TMP23013107","2023-01-31",7,13.726,1,"°C",106,"Miravalle"
"106TMP23013108","2023-01-31",8,13.365,1,"°C",106,"Miravalle"
"106TMP23013109","2023-01-31",9,15.853,1,"°C",106,"Miravalle"
"106TMP23013110","2023-01-31",10,18.835,1,"°C",106,"Miravalle"
"106TMP23013111","2023-01-31",11,21.849,1,"°C",106,"Miravalle"
