"id","date","hour","value","valid","unit","station_id","station_name"
"141PM2.523010101","2023-01-01",1,94.12,1,"µg/m³",141,"Obispado"
"141PM2.523010105","2023-01-01",5,NA,1,"µg/m³",141,"Obispado"
"141PM2.523010106","2023-01-01",6,NA,1,"µg/m³",141,"Obispado"
"141PM2.523010203","2023-01-02",3,49.83,1,"µg/m³",141,"Obispado"
"141PM2.523010204","2023-01-02",4,40.19,1,"µg/m³",141,"Obispado"
"141PM2.523010207","2023-01-02",7,35,1,"µg/m³",141,"Obispado"
"141PM2.523010208","2023-01-02",8,13.23,1,"µg/m³",141,"Obispado"
"141PM2.523010209","2023-01-02",9,12.31,1,"µg/m³",141,"Obispado"
"141PM2.523010210","2023-01-02",10,13.05,1,"µg/m³",141,"Obispado"
"141PM2.523010211","2023-01-02",11,9.3,1,"µg/m³",141,"Obispado"
"141PM2.523010212","2023-01-02",12,21.12,1,"µg/m³",141,"Obispado"
"141PM2.523010213","2023-01-02",13,19.34,1,"µg/m³",141,"Obispado"
"141PM2.523010214","2023-01-02",14,21.79,1,"µg/m³",141,"Obispado"
"141PM2.523010215","2023-01-02",15,17.04,1,"µg/m³",141,"Obispado"
"141PM2.523010216","2023-01-02",16,13.78,1,"µg/m³",141,"Obispado"
"141PM2.523010217","2023-01-02",17,13.58,1,"µg/m³",141,"Obispado"
"141PM2.523010218","2023-01-02",18,14.81,1,"µg/m³",141,"Obispado"
"141PM2.523010219","2023-01-02",19,14.5,1,"µg/m³",141,"Obispado"
"141PM2.523010220","2023-01-02",20,15.87,1,"µg/m³",141,"Obispado"
"141PM2.523010221","2023-01-02",21,13.73,1,"µg/m³",141,"Obispado"
"141PM2.523010222","2023-01-02",22,16.95,1,"µg/m³",141,"Obispado"
"141PM2.523010223","2023-01-02",23,27.79,1,"µg/m³",141,"Obispado"
"141PM2.523010300","2023-01-03",0,31.03,1,"µg/m³",141,"Obispado"
"141PM2.523010301","2023-01-03",1,25.5,1,"µg/m³",141,"Obispado"
"141PM2.523010302","2023-01-03",2,21.69,1,"µg/m³",141,"Obispado"
"141PM2.523010303","2023-01-03",3,19.18,1,"µg/m³",141,"Obispado"
"141PM2.523010304","2023-01-03",4,23.36,1,"µg/m³",141,"Obispado"
"141PM2.523010305","2023-01-03",5,22.45,1,"µg/m³",141,"Obispado"
"141PM2.523010306","2023-01-03",6,19,1,"µg/m³",141,"Obispado"
"141PM2.523010307","2023-01-03",7,14.93,1,"µg/m³",141,"Obispado"
"141PM2.523010308","2023-01-03",8,15.56,1,"µg/m³",141,"Obispado"
"141PM2.523010309","2023-01-03",9,18.76,1,"µg/m³",141,"Obispado"
"141PM2.523010310","2023-01-03",10,21.3,1,"µg/m³",141,"Obispado"
"141PM2.523010311","2023-01-03",11,22.71,1,"µg/m³",141,"Obispado"
"141PM2.523010312","2023-01-03",12,22.55,1,"µg/m³",141,"Obispado"
"141PM2.523010313","2023-01-03",13,15.84,1,"µg/m³",141,"Obispado"
"141PM2.523010314","2023-01-03",14,10.86,1,"µg/m³",141,"Obispado"
"141PM2.523010315","2023-01-03",15,12.57,1,"µg/m³",141,"Obispado"
"141PM2.523010316","2023-01-03",16,11.95,1,"µg/m³",141,"Obispado"
"141PM2.523010317","2023-01-03",17,11.61,1,"µg/m³",141,"Obispado"
"141PM2.523010318","2023-01-03",18,11.97,1,"µg/m³",141,"Obispado"
"141PM2.523010319","2023-01-03",19,12.39,1,"µg/m³",141,"Obispado"
"141PM2.523010320","2023-01-03",20,10.93,1,"µg/m³",141,"Obispado"
"141PM2.523010321","2023-01-03",21,9.55,1,"µg/m³",141,"Obispado"
"141PM2.523010322","2023-01-03",22,14.15,1,"µg/m³",141,"Obispado"
"141PM2.523010323","2023-01-03",23,16.95,1,"µg/m³",141,"Obispado"
"141PM2.523010400","2023-01-04",0,14.49,1,"µg/m³",141,"Obispado"
"141PM2.523010401","2023-01-04",1,14.91,1,"µg/m³",141,"Obispado"
"141PM2.523010402","2023-01-04",2,14.55,1,"µg/m³",141,"Obispado"
"141PM2.523010403","2023-01-04",3,32.3,1,"µg/m³",141,"Obispado"
"141PM2.523010404","2023-01-04",4,47.91,1,"µg/m³",141,"Obispado"
