"id","date","hour","value","valid","unit","station_id","station_name"
"148PM2.523010101","2023-01-01",1,30,1,"µg/m³",148,"San Pedro"
"148PM2.523010102","2023-01-01",2,32,1,"µg/m³",148,"San Pedro"
"148PM2.523010103","2023-01-01",3,30,1,"µg/m³",148,"San Pedro"
"148PM2.523010104","2023-01-01",4,20,1,"µg/m³",148,"San Pedro"
"148PM2.523010105","2023-01-01",5,14,1,"µg/m³",148,"San Pedro"
"148PM2.523010106","2023-01-01",6,19,1,"µg/m³",148,"San Pedro"
"148PM2.523010107","2023-01-01",7,18,1,"µg/m³",148,"San Pedro"
"148PM2.523010108","2023-01-01",8,14,1,"µg/m³",148,"San Pedro"
"148PM2.523010109","2023-01-01",9,9,1,"µg/m³",148,"San Pedro"
"148PM2.523010110","2023-01-01",10,7,1,"µg/m³",148,"San Pedro"
"148PM2.523010112","2023-01-01",12,10,1,"µg/m³",148,"San Pedro"
"148PM2.523010113","2023-01-01",13,19,1,"µg/m³",148,"San Pedro"
"148PM2.523010114","2023-01-01",14,9,1,"µg/m³",148,"San Pedro"
"148PM2.523010115","2023-01-01",15,13,1,"µg/m³",148,"San Pedro"
"148PM2.523010116","2023-01-01",16,10,1,"µg/m³",148,"San Pedro"
"148PM2.523010117","2023-01-01",17,6,1,"µg/m³",148,"San Pedro"
"148PM2.523010118","2023-01-01",18,6,1,"µg/m³",148,"San Pedro"
"148PM2.523010119","2023-01-01",19,7,1,"µg/m³",148,"San Pedro"
"148PM2.523010120","2023-01-01",20,22,1,"µg/m³",148,"San Pedro"
"148PM2.523010121","2023-01-01",21,23,1,"µg/m³",148,"San Pedro"
"148PM2.523010122","2023-01-01",22,24,1,"µg/m³",148,"San Pedro"
"148PM2.523010123","2023-01-01",23,24,1,"µg/m³",148,"San Pedro"
"148PM2.523010200","2023-01-02",0,21,1,"µg/m³",148,"San Pedro"
"148PM2.523010201","2023-01-02",1,16,1,"µg/m³",148,"San Pedro"
"148PM2.523010202","2023-01-02",2,22,1,"µg/m³",148,"San Pedro"
"148PM2.523010203","2023-01-02",3,21,1,"µg/m³",148,"San Pedro"
"148PM2.523010204","2023-01-02",4,20,1,"µg/m³",148,"San Pedro"
"148PM2.523010205","2023-01-02",5,15,1,"µg/m³",148,"San Pedro"
"148PM2.523010206","2023-01-02",6,17,1,"µg/m³",148,"San Pedro"
"148PM2.523010207","2023-01-02",7,21,1,"µg/m³",148,"San Pedro"
"148PM2.523010208","2023-01-02",8,11,1,"µg/m³",148,"San Pedro"
"148PM2.523010209","2023-01-02",9,4,1,"µg/m³",148,"San Pedro"
"148PM2.523010210","2023-01-02",10,12,1,"µg/m³",148,"San Pedro"
"148PM2.523010211","2023-01-02",11,14,1,"µg/m³",148,"San Pedro"
"148PM2.523010212","2023-01-02",12,30,1,"µg/m³",148,"San Pedro"
"148PM2.523010213","2023-01-02",13,24,1,"µg/m³",148,"San Pedro"
"148PM2.523010214","2023-01-02",14,18,1,"µg/m³",148,"San Pedro"
"148PM2.523010215","2023-01-02",15,16,1,"µg/m³",148,"San Pedro"
"148PM2.523010216","2023-01-02",16,11,1,"µg/m³",148,"San Pedro"
"148PM2.523010217","2023-01-02",17,15,1,"µg/m³",148,"San Pedro"
