"id","date","hour","value","valid","unit","station_id","station_name"
"148TMP23010101","2023-01-01",1,16.78,1,"°C",148,"San Pedro"
"148TMP23010102","2023-01-01",2,16.22,1,"°C",148,"San Pedro"
"148TMP23010103","2023-01-01",3,16.99,1,"°C",148,"San Pedro"
"148TMP23010104","2023-01-01",4,16.74,1,"°C",148,"San Pedro"
"148TMP23010105","2023-01-01",5,15.44,1,"°C",148,"San Pedro"
"148TMP23010106","2023-01-01",6,14.74,1,"°C",148,"San Pedro"
"148TMP23010107","2023-01-01",7,14.3,1,"°C",148,"San Pedro"
"148TMP23010108","2023-01-01",8,15.22,1,"°C",148,"San Pedro"
"148TMP23010109","2023-01-01",9,17.93,1,"°C",148,"San Pedro"
"148TMP23010110","2023-01-01",10,21.57,1,"°C",148,"San Pedro"
"148TMP23010111","2023-01-01",11,26.22,1,"°C",148,"San Pedro"
"148TMP23010112","2023-01-01",12,30.08,1,"°C",148,"San Pedro"
"148TMP23010113","2023-01-01",13,30.28,1,"°C",148,"San Pedro"
"148TMP23010114","2023-01-01",14,30.36,1,"°C",148,"San Pedro"
"148TMP23010115","2023-01-01",15,30.7,1,"°C",148,"San Pedro"
"148TMP23010116","2023-01-01",16,30.42,1,"°C",148,"San Pedro"
"148TMP23010117","2023-01-01",17,30.11,1,"°C",148,"San Pedro"
"148TMP23010118","2023-01-01",18,27.42,1,"°C",148,"San Pedro"
"148TMP23010119","2023-01-01",19,25.6,1,"°C",148,"San Pedro"
"148TMP23010120","2023-01-01",20,24.33,1,"°C",148,"San Pedro"
"148TMP23010121","2023-01-01",21,22.99,1,"°C",148,"San Pedro"
"148TMP23010122","2023-01-01",22,21.85,1,"°C",148,"San Pedro"
"148TMP23010123","2023-01-01",23,20.66,1,"°C",148,"San Pedro"
"148TMP23010200","2023-01-02",0,19.52,1,"°C",148,"San Pedro"
"148TMP23010201","2023-01-02",1,18.45,1,"°C",148,"San Pedro"
"148TMP23010202","2023-01-02",2,17.42,1,"°C",148,"San Pedro"
"148TMP23010203","2023-01-02",3,16.92,1,"°C",148,"San Pedro"
"148TMP23010204","2023-01-02",4,16.69,1,"°C",148,"San Pedro"
"148TMP23010205","2023-01-02",5,16.62,1,"°C",148,"San Pedro"
"148TMP23010206","2023-01-02",6,16.2,1,"°C",148,"San Pedro"
"148TMP23010207","2023-01-02",7,17.56,1,"°C",148,"San Pedro"
"148TMP23010208","2023-01-02",8,22.08,1,"°C",148,"San Pedro"
"148TMP23010209","2023-01-02",9,20.7,1,"°C",148,"San Pedro"
"148TMP23010210","2023-01-02",10,22.2,1,"°C",148,"San Pedro"
"148TMP23010211","2023-01-02",11,24.64,1,"°C",148,"San Pedro"
"148TMP23010212","2023-01-02",12,26.13,1,"°C",148,"San Pedro"
"148TMP23010213","2023-01-02",13,27.34,1,"°C",148,"San Pedro"
"148TMP23010214","2023-01-02",14,27.97,1,"°C",148,"San Pedro"
"148TMP23010215","2023-01-02",15,28.55,1,"°C",148,"San Pedro"
"148TMP23010216","2023-01-02",16,29.09,1,"°C",148,"San Pedro"
"148TMP23010217","2023-01-02",17,28.56,1,"°C",148,"San Pedro"
"148TMP23010218","2023-01-02",18,26.72,1,"°C",148,"San Pedro"
"148TMP23010219","2023-01-02",19,24.54,1,"°C",148,"San Pedro"
"148TMP23010220","2023-01-02",20,23.08,1,"°C",148,"San Pedro"
"148TMP23010221","2023-01-02",21,21.79,1,"°C",148,"San Pedro"
"148TMP23010222","2023-01-02",22,21,1,"°C",148,"San Pedro"
"148TMP23010223","2023-01-02",23,20.28,1,"°C",148,"San Pedro"
"148TMP23010300","2023-01-03",0,19.97,1,"°C",148,"San Pedro"
"148TMP23010301","2023-01-03",1,19.61,1,"°C",148,"San Pedro"
"148TMP23010302","2023-01-03",2,19.09,1,"°C",148,"San Pedro"
"148TMP23010303","2023-01-03",3,18.79,1,"°C",148,"San Pedro"
"148TMP23010304","2023-01-03",4,18.11,1,"°C",148,"San Pedro"
"148TMP23010305","2023-01-03",5,20.42,1,"°C",148,"San Pedro"
"148TMP23010306","2023-01-03",6,21.38,1,"°C",148,"San Pedro"
"148TMP23010307","2023-01-03",7,21.21,1,"°C",148,"San Pedro"
"148TMP23010308","2023-01-03",8,20.57,1,"°C",148,"San Pedro"
"148TMP23010309","2023-01-03",9,19.85,1,"°C",148,"San Pedro"
"148TMP23010310","2023-01-03",10,22.44,1,"°C",148,"San Pedro"
"148TMP23010311","2023-01-03",11,22.23,1,"°C",148,"San Pedro"
"148TMP23010312","2023-01-03",12,23.3,1,"°C",148,"San Pedro"
"148TMP23010313","2023-01-03",13,24.82,1,"°C",148,"San Pedro"
"148TMP23010314","2023-01-03",14,25.96,1,"°C",148,"San Pedro"
"148TMP23010315","2023-01-03",15,26.95,1,"°C",148,"San Pedro"
"148TMP23010316","2023-01-03",16,27.59,1,"°C",148,"San Pedro"
"148TMP23010317","2023-01-03",17,27.65,1,"°C",148,"San Pedro"
"148TMP23010318","2023-01-03",18,24.84,1,"°C",148,"San Pedro"
"148TMP23010319","2023-01-03",19,23.69,1,"°C",148,"San Pedro"
"148TMP23010320","2023-01-03",20,22.17,1,"°C",148,"San Pedro"
"148TMP23010321","2023-01-03",21,20.58,1,"°C",148,"San Pedro"
"148TMP23010322","2023-01-03",22,19.51,1,"°C",148,"San Pedro"
"148TMP23010323","2023-01-03",23,18.22,1,"°C",148,"San Pedro"
"148TMP23010400","2023-01-04",0,17.23,1,"°C",148,"San Pedro"
"148TMP23010401","2023-01-04",1,16.48,1,"°C",148,"San Pedro"
"148TMP23010402","2023-01-04",2,15.89,1,"°C",148,"San Pedro"
"148TMP23010403","2023-01-04",3,15.27,1,"°C",148,"San Pedro"
"148TMP23010404","2023-01-04",4,15.15,1,"°C",148,"San Pedro"
"148TMP23010405","2023-01-04",5,15,1,"°C",148,"San Pedro"
"148TMP23010406","2023-01-04",6,14.39,1,"°C",148,"San Pedro"
"148TMP23010407","2023-01-04",7,14.34,1,"°C",148,"San Pedro"
"148TMP23010408","2023-01-04",8,14.09,1,"°C",148,"San Pedro"
"148TMP23010409","2023-01-04",9,15.86,1,"°C",148,"San Pedro"
"148TMP23010410","2023-01-04",10,19.86,1,"°C",148,"San Pedro"
"148TMP23010411","2023-01-04",11,22.72,1,"°C",148,"San Pedro"
"148TMP23010412","2023-01-04",12,22.85,1,"°C",148,"San Pedro"
"148TMP23010413","2023-01-04",13,23.46,1,"°C",148,"San Pedro"
"148TMP23010414","2023-01-04",14,24.12,1,"°C",148,"San Pedro"
"148TMP23010415","2023-01-04",15,24.78,1,"°C",148,"San Pedro"
"148TMP23010416","2023-01-04",16,24.99,1,"°C",148,"San Pedro"
"148TMP23010417","2023-01-04",17,24.79,1,"°C",148,"San Pedro"
"148TMP23010418","2023-01-04",18,22.94,1,"°C",148,"San Pedro"
"148TMP23010419","2023-01-04",19,20.33,1,"°C",148,"San Pedro"
"148TMP23010420","2023-01-04",20,19.43,1,"°C",148,"San Pedro"
"148TMP23010421","2023-01-04",21,19.04,1,"°C",148,"San Pedro"
"148TMP23010422","2023-01-04",22,17.87,1,"°C",148,"San Pedro"
"148TMP23010423","2023-01-04",23,17.71,1,"°C",148,"San Pedro"
"148TMP23010500","2023-01-05",0,17.32,1,"°C",148,"San Pedro"
"148TMP23010501","2023-01-05",1,16.04,1,"°C",148,"San Pedro"
"148TMP23010502","2023-01-05",2,15.22,1,"°C",148,"San Pedro"
"148TMP23010503","2023-01-05",3,14.39,1,"°C",148,"San Pedro"
"148TMP23010504","2023-01-05",4,14.24,1,"°C",148,"San Pedro"
"148TMP23010505","2023-01-05",5,13.36,1,"°C",148,"San Pedro"
"148TMP23010506","2023-01-05",6,13.17,1,"°C",148,"San Pedro"
"148TMP23010507","2023-01-05",7,12.77,1,"°C",148,"San Pedro"
"148TMP23010508","2023-01-05",8,12.8,1,"°C",148,"San Pedro"
"148TMP23010509","2023-01-05",9,15.07,1,"°C",148,"San Pedro"
"148TMP23010510","2023-01-05",10,18.58,1,"°C",148,"San Pedro"
"148TMP23010511","2023-01-05",11,22.48,1,"°C",148,"San Pedro"
"148TMP23010512","2023-01-05",12,23.59,1,"°C",148,"San Pedro"
"148TMP23010513","2023-01-05",13,23.99,1,"°C",148,"San Pedro"
