"id","date","hour","value","valid","unit","station_id","station_name"
"245TMP23010100","2023-01-01",0,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010101","2023-01-01",1,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010102","2023-01-01",2,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010103","2023-01-01",3,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010104","2023-01-01",4,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010105","2023-01-01",5,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010106","2023-01-01",6,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010107","2023-01-01",7,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010108","2023-01-01",8,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010109","2023-01-01",9,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010110","2023-01-01",10,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010111","2023-01-01",11,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010112","2023-01-01",12,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010113","2023-01-01",13,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010114","2023-01-01",14,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010115","2023-01-01",15,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010116","2023-01-01",16,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010117","2023-01-01",17,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010118","2023-01-01",18,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010119","2023-01-01",19,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010120","2023-01-01",20,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010121","2023-01-01",21,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010122","2023-01-01",22,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010123","2023-01-01",23,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010200","2023-01-02",0,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010201","2023-01-02",1,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010202","2023-01-02",2,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010203","2023-01-02",3,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010204","2023-01-02",4,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010205","2023-01-02",5,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010206","2023-01-02",6,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010207","2023-01-02",7,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010208","2023-01-02",8,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010209","2023-01-02",9,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010210","2023-01-02",10,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010211","2023-01-02",11,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010212","2023-01-02",12,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010213","2023-01-02",13,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010214","2023-01-02",14,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010215","2023-01-02",15,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010216","2023-01-02",16,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010217","2023-01-02",17,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010218","2023-01-02",18,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010219","2023-01-02",19,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010220","2023-01-02",20,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010221","2023-01-02",21,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010222","2023-01-02",22,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010223","2023-01-02",23,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010300","2023-01-03",0,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010301","2023-01-03",1,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010302","2023-01-03",2,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010303","2023-01-03",3,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010304","2023-01-03",4,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010305","2023-01-03",5,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010306","2023-01-03",6,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010307","2023-01-03",7,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010308","2023-01-03",8,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
"245TMP23010309","2023-01-03",9,NA,1,"°C",245,"Centro de Ciencias de la Atmósfera"
