"id","date","hour","value","valid","unit","station_id","station_name"
"302PM2.523010100","2023-01-01",0,30,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010101","2023-01-01",1,44,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010102","2023-01-01",2,65,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010103","2023-01-01",3,88,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010104","2023-01-01",4,162,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010105","2023-01-01",5,225,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010106","2023-01-01",6,176,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010107","2023-01-01",7,166,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010108","2023-01-01",8,172,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010109","2023-01-01",9,176,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010110","2023-01-01",10,186,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010111","2023-01-01",11,149,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010112","2023-01-01",12,120,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010113","2023-01-01",13,47,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010114","2023-01-01",14,30,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010115","2023-01-01",15,32,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010116","2023-01-01",16,20,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010117","2023-01-01",17,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010118","2023-01-01",18,0,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010119","2023-01-01",19,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010120","2023-01-01",20,6,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010121","2023-01-01",21,0,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010122","2023-01-01",22,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010123","2023-01-01",23,8,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010200","2023-01-02",0,12,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010201","2023-01-02",1,16,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010202","2023-01-02",2,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010203","2023-01-02",3,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010204","2023-01-02",4,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010205","2023-01-02",5,16,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010206","2023-01-02",6,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010207","2023-01-02",7,12,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010209","2023-01-02",9,26,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010210","2023-01-02",10,12,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010211","2023-01-02",11,7,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010212","2023-01-02",12,9,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010213","2023-01-02",13,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010214","2023-01-02",14,9,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010215","2023-01-02",15,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010216","2023-01-02",16,4,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010217","2023-01-02",17,12,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010218","2023-01-02",18,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010219","2023-01-02",19,18,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010220","2023-01-02",20,16,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010221","2023-01-02",21,18,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010222","2023-01-02",22,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010223","2023-01-02",23,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010300","2023-01-03",0,15,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010301","2023-01-03",1,14,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010302","2023-01-03",2,14,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010303","2023-01-03",3,5,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010304","2023-01-03",4,13,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010305","2023-01-03",5,7,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010306","2023-01-03",6,14,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010307","2023-01-03",7,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010308","2023-01-03",8,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010309","2023-01-03",9,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010310","2023-01-03",10,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010311","2023-01-03",11,22,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010312","2023-01-03",12,8,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010313","2023-01-03",13,12,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010314","2023-01-03",14,7,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010315","2023-01-03",15,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010316","2023-01-03",16,2,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010317","2023-01-03",17,14,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010318","2023-01-03",18,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010319","2023-01-03",19,9,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010321","2023-01-03",21,1,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010322","2023-01-03",22,1,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010323","2023-01-03",23,5,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010400","2023-01-04",0,9,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010401","2023-01-04",1,9,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010402","2023-01-04",2,13,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010403","2023-01-04",3,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010404","2023-01-04",4,12,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010405","2023-01-04",5,22,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010406","2023-01-04",6,22,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010407","2023-01-04",7,20,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010408","2023-01-04",8,23,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010409","2023-01-04",9,21,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010410","2023-01-04",10,28,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010411","2023-01-04",11,41,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010412","2023-01-04",12,46,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010413","2023-01-04",13,51,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010418","2023-01-04",18,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010419","2023-01-04",19,16,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010420","2023-01-04",20,16,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010421","2023-01-04",21,5,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010422","2023-01-04",22,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010423","2023-01-04",23,19,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010500","2023-01-05",0,18,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010501","2023-01-05",1,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010502","2023-01-05",2,22,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010503","2023-01-05",3,15,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010504","2023-01-05",4,18,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010505","2023-01-05",5,19,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010506","2023-01-05",6,17,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010507","2023-01-05",7,22,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010508","2023-01-05",8,23,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010509","2023-01-05",9,28,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010510","2023-01-05",10,30,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010511","2023-01-05",11,42,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010512","2023-01-05",12,46,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010513","2023-01-05",13,47,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010514","2023-01-05",14,27,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010515","2023-01-05",15,10,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010516","2023-01-05",16,16,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010517","2023-01-05",17,8,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010518","2023-01-05",18,6,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010519","2023-01-05",19,11,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010520","2023-01-05",20,19,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010521","2023-01-05",21,6,1,"µg/m³",302,"Gustavo A. Madero"
"302PM2.523010522","2023-01-05",22,9,1,"µg/m³",302,"Gustavo A. Madero"
