"id","date","hour","value","valid","unit","station_id","station_name"
"302HR23010100","2023-01-01",0,65,1,"%",302,"Gustavo A. Madero"
"302HR23010101","2023-01-01",1,68,1,"%",302,"Gustavo A. Madero"
"302HR23010102","2023-01-01",2,69,1,"%",302,"Gustavo A. Madero"
"302HR23010103","2023-01-01",3,73,1,"%",302,"Gustavo A. Madero"
"302HR23010104","2023-01-01",4,75,1,"%",302,"Gustavo A. Madero"
"302HR23010105","2023-01-01",5,78,1,"%",302,"Gustavo A. Madero"
"302HR23010106","2023-01-01",6,78,1,"%",302,"Gustavo A. Madero"
"302HR23010107","2023-01-01",7,80,1,"%",302,"Gustavo A. Madero"
"302HR23010108","2023-01-01",8,80,1,"%",302,"Gustavo A. Madero"
"302HR23010109","2023-01-01",9,76,1,"%",302,"Gustavo A. Madero"
"302HR23010110","2023-01-01",10,67,1,"%",302,"Gustavo A. Madero"
"302HR23010111","2023-01-01",11,58,1,"%",302,"Gustavo A. Madero"
"302HR23010112","2023-01-01",12,48,1,"%",302,"Gustavo A. Madero"
"302HR23010113","2023-01-01",13,43,1,"%",302,"Gustavo A. Madero"
"302HR23010114","2023-01-01",14,42,1,"%",302,"Gustavo A. Madero"
"302HR23010115","2023-01-01",15,39,1,"%",302,"Gustavo A. Madero"
"302HR23010116","2023-01-01",16,38,1,"%",302,"Gustavo A. Madero"
"302HR23010117","2023-01-01",17,37,1,"%",302,"Gustavo A. Madero"
"302HR23010118","2023-01-01",18,38,1,"%",302,"Gustavo A. Madero"
"302HR23010119","2023-01-01",19,41,1,"%",302,"Gustavo A. Madero"
"302HR23010120","2023-01-01",20,44,1,"%",302,"Gustavo A. Madero"
"302HR23010121","2023-01-01",21,46,1,"%",302,"Gustavo A. Madero"
"302HR23010122","2023-01-01",22,51,1,"%",302,"Gustavo A. Madero"
"302HR23010123","2023-01-01",23,55,1,"%",302,"Gustavo A. Madero"
"302HR23010200","2023-01-02",0,60,1,"%",302,"Gustavo A. Madero"
"302HR23010201","2023-01-02",1,63,1,"%",302,"Gustavo A. Madero"
"302HR23010202","2023-01-02",2,66,1,"%",302,"Gustavo A. Madero"
"302HR23010203","2023-01-02",3,69,1,"%",302,"Gustavo A. Madero"
"302HR23010204","2023-01-02",4,71,1,"%",302,"Gustavo A. Madero"
"302HR23010205","2023-01-02",5,73,1,"%",302,"Gustavo A. Madero"
"302HR23010206","2023-01-02",6,74,1,"%",302,"Gustavo A. Madero"
"302HR23010207","2023-01-02",7,75,1,"%",302,"Gustavo A. Madero"
"302HR23010209","2023-01-02",9,67,1,"%",302,"Gustavo A. Madero"
"302HR23010210","2023-01-02",10,56,1,"%",302,"Gustavo A. Madero"
"302HR23010211","2023-01-02",11,47,1,"%",302,"Gustavo A. Madero"
"302HR23010212","2023-01-02",12,40,1,"%",302,"Gustavo A. Madero"
"302HR23010213","2023-01-02",13,36,1,"%",302,"Gustavo A. Madero"
"302HR23010214","2023-01-02",14,35,1,"%",302,"Gustavo A. Madero"
"302HR23010215","2023-01-02",15,37,1,"%",302,"Gustavo A. Madero"
"302HR23010216","2023-01-02",16,38,1,"%",302,"Gustavo A. Madero"
"302HR23010217","2023-01-02",17,42,1,"%",302,"Gustavo A. Madero"
"302HR23010218","2023-01-02",18,45,1,"%",302,"Gustavo A. Madero"
"302HR23010219","2023-01-02",19,49,1,"%",302,"Gustavo A. Madero"
"302HR23010220","2023-01-02",20,51,1,"%",302,"Gustavo A. Madero"
"302HR23010221","2023-01-02",21,53,1,"%",302,"Gustavo A. Madero"
"302HR23010222","2023-01-02",22,54,1,"%",302,"Gustavo A. Madero"
"302HR23010223","2023-01-02",23,57,1,"%",302,"Gustavo A. Madero"
"302HR23010300","2023-01-03",0,58,1,"%",302,"Gustavo A. Madero"
"302HR23010301","2023-01-03",1,60,1,"%",302,"Gustavo A. Madero"
"302HR23010302","2023-01-03",2,61,1,"%",302,"Gustavo A. Madero"
"302HR23010303","2023-01-03",3,62,1,"%",302,"Gustavo A. Madero"
"302HR23010304","2023-01-03",4,64,1,"%",302,"Gustavo A. Madero"
"302HR23010305","2023-01-03",5,67,1,"%",302,"Gustavo A. Madero"
"302HR23010306","2023-01-03",6,70,1,"%",302,"Gustavo A. Madero"
"302HR23010307","2023-01-03",7,70,1,"%",302,"Gustavo A. Madero"
"302HR23010308","2023-01-03",8,71,1,"%",302,"Gustavo A. Madero"
"302HR23010309","2023-01-03",9,68,1,"%",302,"Gustavo A. Madero"
"302HR23010310","2023-01-03",10,52,1,"%",302,"Gustavo A. Madero"
"302HR23010311","2023-01-03",11,42,1,"%",302,"Gustavo A. Madero"
"302HR23010312","2023-01-03",12,33,1,"%",302,"Gustavo A. Madero"
"302HR23010313","2023-01-03",13,29,1,"%",302,"Gustavo A. Madero"
"302HR23010314","2023-01-03",14,28,1,"%",302,"Gustavo A. Madero"
"302HR23010315","2023-01-03",15,27,1,"%",302,"Gustavo A. Madero"
"302HR23010316","2023-01-03",16,27,1,"%",302,"Gustavo A. Madero"
"302HR23010317","2023-01-03",17,30,1,"%",302,"Gustavo A. Madero"
"302HR23010318","2023-01-03",18,32,1,"%",302,"Gustavo A. Madero"
"302HR23010319","2023-01-03",19,36,1,"%",302,"Gustavo A. Madero"
"302HR23010320","2023-01-03",20,40,1,"%",302,"Gustavo A. Madero"
"302HR23010321","2023-01-03",21,45,1,"%",302,"Gustavo A. Madero"
"302HR23010322","2023-01-03",22,49,1,"%",302,"Gustavo A. Madero"
"302HR23010323","2023-01-03",23,51,1,"%",302,"Gustavo A. Madero"
"302HR23010400","2023-01-04",0,52,1,"%",302,"Gustavo A. Madero"
"302HR23010401","2023-01-04",1,56,1,"%",302,"Gustavo A. Madero"
"302HR23010402","2023-01-04",2,59,1,"%",302,"Gustavo A. Madero"
"302HR23010403","2023-01-04",3,62,1,"%",302,"Gustavo A. Madero"
"302HR23010404","2023-01-04",4,65,1,"%",302,"Gustavo A. Madero"
"302HR23010405","2023-01-04",5,66,1,"%",302,"Gustavo A. Madero"
"302HR23010406","2023-01-04",6,66,1,"%",302,"Gustavo A. Madero"
"302HR23010407","2023-01-04",7,69,1,"%",302,"Gustavo A. Madero"
"302HR23010408","2023-01-04",8,70,1,"%",302,"Gustavo A. Madero"
"302HR23010409","2023-01-04",9,66,1,"%",302,"Gustavo A. Madero"
"302HR23010410","2023-01-04",10,58,1,"%",302,"Gustavo A. Madero"
"302HR23010411","2023-01-04",11,49,1,"%",302,"Gustavo A. Madero"
"302HR23010412","2023-01-04",12,43,1,"%",302,"Gustavo A. Madero"
"302HR23010413","2023-01-04",13,36,1,"%",302,"Gustavo A. Madero"
"302HR23010414","2023-01-04",14,31,1,"%",302,"Gustavo A. Madero"
"302HR23010415","2023-01-04",15,25,1,"%",302,"Gustavo A. Madero"
"302HR23010416","2023-01-04",16,23,1,"%",302,"Gustavo A. Madero"
"302HR23010417","2023-01-04",17,21,1,"%",302,"Gustavo A. Madero"
"302HR23010418","2023-01-04",18,23,1,"%",302,"Gustavo A. Madero"
"302HR23010419","2023-01-04",19,29,1,"%",302,"Gustavo A. Madero"
"302HR23010420","2023-01-04",20,47,1,"%",302,"Gustavo A. Madero"
"302HR23010421","2023-01-04",21,53,1,"%",302,"Gustavo A. Madero"
"302HR23010422","2023-01-04",22,54,1,"%",302,"Gustavo A. Madero"
"302HR23010423","2023-01-04",23,53,1,"%",302,"Gustavo A. Madero"
"302HR23010500","2023-01-05",0,57,1,"%",302,"Gustavo A. Madero"
"302HR23010501","2023-01-05",1,58,1,"%",302,"Gustavo A. Madero"
"302HR23010502","2023-01-05",2,61,1,"%",302,"Gustavo A. Madero"
"302HR23010503","2023-01-05",3,62,1,"%",302,"Gustavo A. Madero"
"302HR23010504","2023-01-05",4,64,1,"%",302,"Gustavo A. Madero"
"302HR23010505","2023-01-05",5,70,1,"%",302,"Gustavo A. Madero"
"302HR23010506","2023-01-05",6,72,1,"%",302,"Gustavo A. Madero"
"302HR23010507","2023-01-05",7,73,1,"%",302,"Gustavo A. Madero"
"302HR23010508","2023-01-05",8,73,1,"%",302,"Gustavo A. Madero"
"302HR23010509","2023-01-05",9,68,1,"%",302,"Gustavo A. Madero"
"302HR23010510","2023-01-05",10,61,1,"%",302,"Gustavo A. Madero"
"302HR23010511","2023-01-05",11,53,1,"%",302,"Gustavo A. Madero"
"302HR23010512","2023-01-05",12,43,1,"%",302,"Gustavo A. Madero"
"302HR23010513","2023-01-05",13,32,1,"%",302,"Gustavo A. Madero"
"302HR23010514","2023-01-05",14,29,1,"%",302,"Gustavo A. Madero"
"302HR23010515","2023-01-05",15,26,1,"%",302,"Gustavo A. Madero"
