"id","date","hour","value","valid","unit","station_id","station_name"
"302TMP23010100","2023-01-01",0,14.1,1,"°C",302,"Gustavo A. Madero"
"302TMP23010101","2023-01-01",1,13.3,1,"°C",302,"Gustavo A. Madero"
"302TMP23010102","2023-01-01",2,13,1,"°C",302,"Gustavo A. Madero"
"302TMP23010103","2023-01-01",3,12.4,1,"°C",302,"Gustavo A. Madero"
"302TMP23010104","2023-01-01",4,11.8,1,"°C",302,"Gustavo A. Madero"
"302TMP23010105","2023-01-01",5,10.7,1,"°C",302,"Gustavo A. Madero"
"302TMP23010106","2023-01-01",6,10.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010107","2023-01-01",7,9.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010108","2023-01-01",8,9.5,1,"°C",302,"Gustavo A. Madero"
"302TMP23010109","2023-01-01",9,10.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010110","2023-01-01",10,12.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010111","2023-01-01",11,15.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010112","2023-01-01",12,18.4,1,"°C",302,"Gustavo A. Madero"
"302TMP23010113","2023-01-01",13,19.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010114","2023-01-01",14,19.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010115","2023-01-01",15,20.8,1,"°C",302,"Gustavo A. Madero"
"302TMP23010116","2023-01-01",16,21.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010117","2023-01-01",17,21,1,"°C",302,"Gustavo A. Madero"
"302TMP23010118","2023-01-01",18,20,1,"°C",302,"Gustavo A. Madero"
"302TMP23010119","2023-01-01",19,18.7,1,"°C",302,"Gustavo A. Madero"
"302TMP23010120","2023-01-01",20,17.5,1,"°C",302,"Gustavo A. Madero"
"302TMP23010121","2023-01-01",21,16.7,1,"°C",302,"Gustavo A. Madero"
"302TMP23010122","2023-01-01",22,15.8,1,"°C",302,"Gustavo A. Madero"
"302TMP23010123","2023-01-01",23,15,1,"°C",302,"Gustavo A. Madero"
"302TMP23010200","2023-01-02",0,14.1,1,"°C",302,"Gustavo A. Madero"
"302TMP23010201","2023-01-02",1,13.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010202","2023-01-02",2,12.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010203","2023-01-02",3,12.4,1,"°C",302,"Gustavo A. Madero"
"302TMP23010204","2023-01-02",4,12,1,"°C",302,"Gustavo A. Madero"
"302TMP23010205","2023-01-02",5,11.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010206","2023-01-02",6,11.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010207","2023-01-02",7,11.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010209","2023-01-02",9,13.4,1,"°C",302,"Gustavo A. Madero"
"302TMP23010210","2023-01-02",10,16.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010211","2023-01-02",11,17.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010212","2023-01-02",12,19.3,1,"°C",302,"Gustavo A. Madero"
"302TMP23010213","2023-01-02",13,20.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010214","2023-01-02",14,20.7,1,"°C",302,"Gustavo A. Madero"
"302TMP23010215","2023-01-02",15,20.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010216","2023-01-02",16,20.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010217","2023-01-02",17,19.5,1,"°C",302,"Gustavo A. Madero"
"302TMP23010218","2023-01-02",18,18.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010219","2023-01-02",19,17.4,1,"°C",302,"Gustavo A. Madero"
"302TMP23010220","2023-01-02",20,16.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010221","2023-01-02",21,16.3,1,"°C",302,"Gustavo A. Madero"
"302TMP23010222","2023-01-02",22,15.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010223","2023-01-02",23,15.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010300","2023-01-03",0,15,1,"°C",302,"Gustavo A. Madero"
"302TMP23010301","2023-01-03",1,14.5,1,"°C",302,"Gustavo A. Madero"
"302TMP23010302","2023-01-03",2,14.3,1,"°C",302,"Gustavo A. Madero"
"302TMP23010303","2023-01-03",3,14.1,1,"°C",302,"Gustavo A. Madero"
"302TMP23010304","2023-01-03",4,13.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010305","2023-01-03",5,13,1,"°C",302,"Gustavo A. Madero"
"302TMP23010306","2023-01-03",6,12.4,1,"°C",302,"Gustavo A. Madero"
"302TMP23010307","2023-01-03",7,12.3,1,"°C",302,"Gustavo A. Madero"
"302TMP23010308","2023-01-03",8,12.1,1,"°C",302,"Gustavo A. Madero"
"302TMP23010309","2023-01-03",9,13,1,"°C",302,"Gustavo A. Madero"
"302TMP23010310","2023-01-03",10,15.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010311","2023-01-03",11,17.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010312","2023-01-03",12,20.5,1,"°C",302,"Gustavo A. Madero"
"302TMP23010313","2023-01-03",13,21.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010314","2023-01-03",14,23.1,1,"°C",302,"Gustavo A. Madero"
"302TMP23010315","2023-01-03",15,23.6,1,"°C",302,"Gustavo A. Madero"
"302TMP23010316","2023-01-03",16,23.9,1,"°C",302,"Gustavo A. Madero"
"302TMP23010317","2023-01-03",17,23.3,1,"°C",302,"Gustavo A. Madero"
"302TMP23010318","2023-01-03",18,22.1,1,"°C",302,"Gustavo A. Madero"
"302TMP23010319","2023-01-03",19,20.5,1,"°C",302,"Gustavo A. Madero"
"302TMP23010320","2023-01-03",20,19.2,1,"°C",302,"Gustavo A. Madero"
"302TMP23010321","2023-01-03",21,17.8,1,"°C",302,"Gustavo A. Madero"
"302TMP23010322","2023-01-03",22,17,1,"°C",302,"Gustavo A. Madero"
"302TMP23010323","2023-01-03",23,16.3,1,"°C",302,"Gustavo A. Madero"
