"id","date","hour","value","valid","unit","station_id","station_name"
"256PM2.523010100","2023-01-01",0,26,1,"µg/m³",256,"Merced"
"256PM2.523010101","2023-01-01",1,31,1,"µg/m³",256,"Merced"
"256PM2.523010102","2023-01-01",2,52,1,"µg/m³",256,"Merced"
"256PM2.523010103","2023-01-01",3,72,1,"µg/m³",256,"Merced"
"256PM2.523010104","2023-01-01",4,84,1,"µg/m³",256,"Merced"
"256PM2.523010105","2023-01-01",5,85,1,"µg/m³",256,"Merced"
"256PM2.523010106","2023-01-01",6,84,1,"µg/m³",256,"Merced"
"256PM2.523010107","2023-01-01",7,94,1,"µg/m³",256,"Merced"
"256PM2.523010108","2023-01-01",8,106,1,"µg/m³",256,"Merced"
"256PM2.523010109","2023-01-01",9,117,1,"µg/m³",256,"Merced"
"256PM2.523010110","2023-01-01",10,140,1,"µg/m³",256,"Merced"
"256PM2.523010111","2023-01-01",11,146,1,"µg/m³",256,"Merced"
"256PM2.523010112","2023-01-01",12,107,1,"µg/m³",256,"Merced"
"256PM2.523010113","2023-01-01",13,57,1,"µg/m³",256,"Merced"
"256PM2.523010114","2023-01-01",14,54,1,"µg/m³",256,"Merced"
"256PM2.523010115","2023-01-01",15,24,1,"µg/m³",256,"Merced"
"256PM2.523010116","2023-01-01",16,15,1,"µg/m³",256,"Merced"
"256PM2.523010118","2023-01-01",18,9,1,"µg/m³",256,"Merced"
"256PM2.523010119","2023-01-01",19,6,1,"µg/m³",256,"Merced"
"256PM2.523010120","2023-01-01",20,20,1,"µg/m³",256,"Merced"
"256PM2.523010121","2023-01-01",21,4,1,"µg/m³",256,"Merced"
"256PM2.523010122","2023-01-01",22,28,1,"µg/m³",256,"Merced"
"256PM2.523010123","2023-01-01",23,30,1,"µg/m³",256,"Merced"
"256PM2.523010200","2023-01-02",0,8,1,"µg/m³",256,"Merced"
"256PM2.523010201","2023-01-02",1,18,1,"µg/m³",256,"Merced"
"256PM2.523010202","2023-01-02",2,23,1,"µg/m³",256,"Merced"
"256PM2.523010203","2023-01-02",3,14,1,"µg/m³",256,"Merced"
"256PM2.523010204","2023-01-02",4,14,1,"µg/m³",256,"Merced"
"256PM2.523010205","2023-01-02",5,16,1,"µg/m³",256,"Merced"
"256PM2.523010206","2023-01-02",6,10,1,"µg/m³",256,"Merced"
"256PM2.523010207","2023-01-02",7,16,1,"µg/m³",256,"Merced"
"256PM2.523010208","2023-01-02",8,17,1,"µg/m³",256,"Merced"
"256PM2.523010209","2023-01-02",9,28,1,"µg/m³",256,"Merced"
"256PM2.523010210","2023-01-02",10,8,1,"µg/m³",256,"Merced"
"256PM2.523010211","2023-01-02",11,12,1,"µg/m³",256,"Merced"
"256PM2.523010212","2023-01-02",12,5,1,"µg/m³",256,"Merced"
"256PM2.523010213","2023-01-02",13,7,1,"µg/m³",256,"Merced"
"256PM2.523010214","2023-01-02",14,3,1,"µg/m³",256,"Merced"
"256PM2.523010215","2023-01-02",15,8,1,"µg/m³",256,"Merced"
"256PM2.523010216","2023-01-02",16,2,1,"µg/m³",256,"Merced"
"256PM2.523010217","2023-01-02",17,5,1,"µg/m³",256,"Merced"
"256PM2.523010218","2023-01-02",18,7,1,"µg/m³",256,"Merced"
"256PM2.523010219","2023-01-02",19,2,1,"µg/m³",256,"Merced"
"256PM2.523010220","2023-01-02",20,11,1,"µg/m³",256,"Merced"
"256PM2.523010221","2023-01-02",21,18,1,"µg/m³",256,"Merced"
"256PM2.523010222","2023-01-02",22,12,1,"µg/m³",256,"Merced"
"256PM2.523010223","2023-01-02",23,18,1,"µg/m³",256,"Merced"
"256PM2.523010300","2023-01-03",0,26,1,"µg/m³",256,"Merced"
"256PM2.523010301","2023-01-03",1,8,1,"µg/m³",256,"Merced"
"256PM2.523010302","2023-01-03",2,10,1,"µg/m³",256,"Merced"
"256PM2.523010303","2023-01-03",3,12,1,"µg/m³",256,"Merced"
"256PM2.523010304","2023-01-03",4,5,1,"µg/m³",256,"Merced"
"256PM2.523010305","2023-01-03",5,8,1,"µg/m³",256,"Merced"
"256PM2.523010306","2023-01-03",6,13,1,"µg/m³",256,"Merced"
"256PM2.523010307","2023-01-03",7,17,1,"µg/m³",256,"Merced"
"256PM2.523010308","2023-01-03",8,11,1,"µg/m³",256,"Merced"
"256PM2.523010309","2023-01-03",9,13,1,"µg/m³",256,"Merced"
"256PM2.523010310","2023-01-03",10,17,1,"µg/m³",256,"Merced"
"256PM2.523010311","2023-01-03",11,21,1,"µg/m³",256,"Merced"
"256PM2.523010312","2023-01-03",12,14,1,"µg/m³",256,"Merced"
"256PM2.523010313","2023-01-03",13,10,1,"µg/m³",256,"Merced"
"256PM2.523010314","2023-01-03",14,3,1,"µg/m³",256,"Merced"
"256PM2.523010315","2023-01-03",15,6,1,"µg/m³",256,"Merced"
"256PM2.523010316","2023-01-03",16,19,1,"µg/m³",256,"Merced"
"256PM2.523010317","2023-01-03",17,4,1,"µg/m³",256,"Merced"
"256PM2.523010318","2023-01-03",18,5,1,"µg/m³",256,"Merced"
"256PM2.523010319","2023-01-03",19,39,1,"µg/m³",256,"Merced"
"256PM2.523010320","2023-01-03",20,15,1,"µg/m³",256,"Merced"
"256PM2.523010321","2023-01-03",21,10,1,"µg/m³",256,"Merced"
"256PM2.523010322","2023-01-03",22,8,1,"µg/m³",256,"Merced"
"256PM2.523010323","2023-01-03",23,12,1,"µg/m³",256,"Merced"
"256PM2.523010400","2023-01-04",0,12,1,"µg/m³",256,"Merced"
"256PM2.523010401","2023-01-04",1,14,1,"µg/m³",256,"Merced"
"256PM2.523010402","2023-01-04",2,11,1,"µg/m³",256,"Merced"
"256PM2.523010403","2023-01-04",3,16,1,"µg/m³",256,"Merced"
"256PM2.523010404","2023-01-04",4,10,1,"µg/m³",256,"Merced"
"256PM2.523010405","2023-01-04",5,17,1,"µg/m³",256,"Merced"
"256PM2.523010406","2023-01-04",6,26,1,"µg/m³",256,"Merced"
"256PM2.523010407","2023-01-04",7,14,1,"µg/m³",256,"Merced"
"256PM2.523010408","2023-01-04",8,23,1,"µg/m³",256,"Merced"
"256PM2.523010409","2023-01-04",9,30,1,"µg/m³",256,"Merced"
"256PM2.523010410","2023-01-04",10,34,1,"µg/m³",256,"Merced"
"256PM2.523010411","2023-01-04",11,34,1,"µg/m³",256,"Merced"
"256PM2.523010412","2023-01-04",12,50,1,"µg/m³",256,"Merced"
"256PM2.523010413","2023-01-04",13,41,1,"µg/m³",256,"Merced"
"256PM2.523010414","2023-01-04",14,35,1,"µg/m³",256,"Merced"
"256PM2.523010415","2023-01-04",15,41,1,"µg/m³",256,"Merced"
"256PM2.523010416","2023-01-04",16,37,1,"µg/m³",256,"Merced"
"256PM2.523010417","2023-01-04",17,28,1,"µg/m³",256,"Merced"
"256PM2.523010418","2023-01-04",18,18,1,"µg/m³",256,"Merced"
"256PM2.523010419","2023-01-04",19,28,1,"µg/m³",256,"Merced"
"256PM2.523010420","2023-01-04",20,13,1,"µg/m³",256,"Merced"
"256PM2.523010421","2023-01-04",21,16,1,"µg/m³",256,"Merced"
"256PM2.523010422","2023-01-04",22,16,1,"µg/m³",256,"Merced"
"256PM2.523010423","2023-01-04",23,18,1,"µg/m³",256,"Merced"
"256PM2.523010500","2023-01-05",0,18,1,"µg/m³",256,"Merced"
"256PM2.523010501","2023-01-05",1,21,1,"µg/m³",256,"Merced"
"256PM2.523010502","2023-01-05",2,21,1,"µg/m³",256,"Merced"
"256PM2.523010503","2023-01-05",3,17,1,"µg/m³",256,"Merced"
"256PM2.523010504","2023-01-05",4,19,1,"µg/m³",256,"Merced"
"256PM2.523010505","2023-01-05",5,25,1,"µg/m³",256,"Merced"
"256PM2.523010506","2023-01-05",6,23,1,"µg/m³",256,"Merced"
"256PM2.523010507","2023-01-05",7,24,1,"µg/m³",256,"Merced"
"256PM2.523010508","2023-01-05",8,31,1,"µg/m³",256,"Merced"
"256PM2.523010509","2023-01-05",9,30,1,"µg/m³",256,"Merced"
"256PM2.523010510","2023-01-05",10,28,1,"µg/m³",256,"Merced"
"256PM2.523010511","2023-01-05",11,45,1,"µg/m³",256,"Merced"
"256PM2.523010512","2023-01-05",12,37,1,"µg/m³",256,"Merced"
"256PM2.523010513","2023-01-05",13,28,1,"µg/m³",256,"Merced"
"256PM2.523010514","2023-01-05",14,20,1,"µg/m³",256,"Merced"
"256PM2.523010515","2023-01-05",15,25,1,"µg/m³",256,"Merced"
"256PM2.523010516","2023-01-05",16,4,1,"µg/m³",256,"Merced"
"256PM2.523010518","2023-01-05",18,5,1,"µg/m³",256,"Merced"
"256PM2.523010519","2023-01-05",19,4,1,"µg/m³",256,"Merced"
"256PM2.523010520","2023-01-05",20,1,1,"µg/m³",256,"Merced"
"256PM2.523010521","2023-01-05",21,16,1,"µg/m³",256,"Merced"
"256PM2.523010522","2023-01-05",22,13,1,"µg/m³",256,"Merced"
"256PM2.523010523","2023-01-05",23,12,1,"µg/m³",256,"Merced"
"256PM2.523010600","2023-01-06",0,13,1,"µg/m³",256,"Merced"
"256PM2.523010601","2023-01-06",1,19,1,"µg/m³",256,"Merced"
"256PM2.523010602","2023-01-06",2,16,1,"µg/m³",256,"Merced"
"256PM2.523010603","2023-01-06",3,19,1,"µg/m³",256,"Merced"
"256PM2.523010604","2023-01-06",4,19,1,"µg/m³",256,"Merced"
"256PM2.523010605","2023-01-06",5,17,1,"µg/m³",256,"Merced"
"256PM2.523010607","2023-01-06",7,24,1,"µg/m³",256,"Merced"
"256PM2.523010608","2023-01-06",8,29,1,"µg/m³",256,"Merced"
"256PM2.523010609","2023-01-06",9,26,1,"µg/m³",256,"Merced"
"256PM2.523010610","2023-01-06",10,33,1,"µg/m³",256,"Merced"
"256PM2.523010611","2023-01-06",11,30,1,"µg/m³",256,"Merced"
"256PM2.523010612","2023-01-06",12,34,1,"µg/m³",256,"Merced"
"256PM2.523010613","2023-01-06",13,55,1,"µg/m³",256,"Merced"
"256PM2.523010614","2023-01-06",14,23,1,"µg/m³",256,"Merced"
"256PM2.523010615","2023-01-06",15,25,1,"µg/m³",256,"Merced"
"256PM2.523010616","2023-01-06",16,42,1,"µg/m³",256,"Merced"
"256PM2.523010617","2023-01-06",17,19,1,"µg/m³",256,"Merced"
"256PM2.523010618","2023-01-06",18,24,1,"µg/m³",256,"Merced"
"256PM2.523010619","2023-01-06",19,11,1,"µg/m³",256,"Merced"
"256PM2.523010620","2023-01-06",20,15,1,"µg/m³",256,"Merced"
"256PM2.523010621","2023-01-06",21,24,1,"µg/m³",256,"Merced"
"256PM2.523010622","2023-01-06",22,35,1,"µg/m³",256,"Merced"
"256PM2.523010623","2023-01-06",23,10,1,"µg/m³",256,"Merced"
"256PM2.523010700","2023-01-07",0,46,1,"µg/m³",256,"Merced"
"256PM2.523010701","2023-01-07",1,16,1,"µg/m³",256,"Merced"
"256PM2.523010702","2023-01-07",2,19,1,"µg/m³",256,"Merced"
"256PM2.523010703","2023-01-07",3,23,1,"µg/m³",256,"Merced"
"256PM2.523010704","2023-01-07",4,21,1,"µg/m³",256,"Merced"
"256PM2.523010706","2023-01-07",6,25,1,"µg/m³",256,"Merced"
"256PM2.523010707","2023-01-07",7,28,1,"µg/m³",256,"Merced"
"256PM2.523010708","2023-01-07",8,34,1,"µg/m³",256,"Merced"
"256PM2.523010709","2023-01-07",9,30,1,"µg/m³",256,"Merced"
"256PM2.523010710","2023-01-07",10,36,1,"µg/m³",256,"Merced"
"256PM2.523010711","2023-01-07",11,37,1,"µg/m³",256,"Merced"
"256PM2.523010712","2023-01-07",12,46,1,"µg/m³",256,"Merced"
"256PM2.523010713","2023-01-07",13,30,1,"µg/m³",256,"Merced"
"256PM2.523010714","2023-01-07",14,43,1,"µg/m³",256,"Merced"
"256PM2.523010715","2023-01-07",15,38,1,"µg/m³",256,"Merced"
"256PM2.523010716","2023-01-07",16,37,1,"µg/m³",256,"Merced"
"256PM2.523010717","2023-01-07",17,25,1,"µg/m³",256,"Merced"
"256PM2.523010718","2023-01-07",18,70,1,"µg/m³",256,"Merced"
"256PM2.523010720","2023-01-07",20,31,1,"µg/m³",256,"Merced"
"256PM2.523010721","2023-01-07",21,25,1,"µg/m³",256,"Merced"
"256PM2.523010722","2023-01-07",22,24,1,"µg/m³",256,"Merced"
"256PM2.523010800","2023-01-08",0,31,1,"µg/m³",256,"Merced"
"256PM2.523010801","2023-01-08",1,16,1,"µg/m³",256,"Merced"
"256PM2.523010802","2023-01-08",2,14,1,"µg/m³",256,"Merced"
"256PM2.523010803","2023-01-08",3,14,1,"µg/m³",256,"Merced"
"256PM2.523010804","2023-01-08",4,14,1,"µg/m³",256,"Merced"
"256PM2.523010805","2023-01-08",5,15,1,"µg/m³",256,"Merced"
