"id","date","hour","value","valid","unit","station_id","station_name"
"256TMP23010100","2023-01-01",0,13.9,1,"°C",256,"Merced"
"256TMP23010101","2023-01-01",1,13.1,1,"°C",256,"Merced"
"256TMP23010102","2023-01-01",2,12.8,1,"°C",256,"Merced"
"256TMP23010103","2023-01-01",3,12,1,"°C",256,"Merced"
"256TMP23010104","2023-01-01",4,11.3,1,"°C",256,"Merced"
"256TMP23010105","2023-01-01",5,10.9,1,"°C",256,"Merced"
"256TMP23010106","2023-01-01",6,10.4,1,"°C",256,"Merced"
"256TMP23010107","2023-01-01",7,10.3,1,"°C",256,"Merced"
"256TMP23010108","2023-01-01",8,9.7,1,"°C",256,"Merced"
"256TMP23010109","2023-01-01",9,10.9,1,"°C",256,"Merced"
"256TMP23010110","2023-01-01",10,13.2,1,"°C",256,"Merced"
"256TMP23010111","2023-01-01",11,15.4,1,"°C",256,"Merced"
"256TMP23010112","2023-01-01",12,17.8,1,"°C",256,"Merced"
"256TMP23010113","2023-01-01",13,19.1,1,"°C",256,"Merced"
"256TMP23010114","2023-01-01",14,20.5,1,"°C",256,"Merced"
"256TMP23010115","2023-01-01",15,21.5,1,"°C",256,"Merced"
"256TMP23010116","2023-01-01",16,21.5,1,"°C",256,"Merced"
"256TMP23010117","2023-01-01",17,21.2,1,"°C",256,"Merced"
"256TMP23010118","2023-01-01",18,20.2,1,"°C",256,"Merced"
"256TMP23010119","2023-01-01",19,18.5,1,"°C",256,"Merced"
"256TMP23010120","2023-01-01",20,17.3,1,"°C",256,"Merced"
"256TMP23010121","2023-01-01",21,16.5,1,"°C",256,"Merced"
"256TMP23010122","2023-01-01",22,15.5,1,"°C",256,"Merced"
"256TMP23010123","2023-01-01",23,15.2,1,"°C",256,"Merced"
"256TMP23010200","2023-01-02",0,14.6,1,"°C",256,"Merced"
"256TMP23010201","2023-01-02",1,13.8,1,"°C",256,"Merced"
"256TMP23010202","2023-01-02",2,13.1,1,"°C",256,"Merced"
"256TMP23010203","2023-01-02",3,12.5,1,"°C",256,"Merced"
"256TMP23010204","2023-01-02",4,12.4,1,"°C",256,"Merced"
"256TMP23010205","2023-01-02",5,11.8,1,"°C",256,"Merced"
"256TMP23010206","2023-01-02",6,11.8,1,"°C",256,"Merced"
"256TMP23010207","2023-01-02",7,11.6,1,"°C",256,"Merced"
"256TMP23010208","2023-01-02",8,11.9,1,"°C",256,"Merced"
"256TMP23010209","2023-01-02",9,14.4,1,"°C",256,"Merced"
"256TMP23010210","2023-01-02",10,16.8,1,"°C",256,"Merced"
"256TMP23010211","2023-01-02",11,18.1,1,"°C",256,"Merced"
"256TMP23010212","2023-01-02",12,19.5,1,"°C",256,"Merced"
"256TMP23010213","2023-01-02",13,20.4,1,"°C",256,"Merced"
"256TMP23010214","2023-01-02",14,20.9,1,"°C",256,"Merced"
"256TMP23010215","2023-01-02",15,20.6,1,"°C",256,"Merced"
"256TMP23010216","2023-01-02",16,19.9,1,"°C",256,"Merced"
"256TMP23010217","2023-01-02",17,19.5,1,"°C",256,"Merced"
"256TMP23010218","2023-01-02",18,18.9,1,"°C",256,"Merced"
"256TMP23010219","2023-01-02",19,17.6,1,"°C",256,"Merced"
"256TMP23010220","2023-01-02",20,16.5,1,"°C",256,"Merced"
"256TMP23010221","2023-01-02",21,16.3,1,"°C",256,"Merced"
"256TMP23010222","2023-01-02",22,15.9,1,"°C",256,"Merced"
"256TMP23010223","2023-01-02",23,15.5,1,"°C",256,"Merced"
"256TMP23010300","2023-01-03",0,15.1,1,"°C",256,"Merced"
"256TMP23010301","2023-01-03",1,14.9,1,"°C",256,"Merced"
"256TMP23010302","2023-01-03",2,14.5,1,"°C",256,"Merced"
"256TMP23010303","2023-01-03",3,13.8,1,"°C",256,"Merced"
"256TMP23010304","2023-01-03",4,13.3,1,"°C",256,"Merced"
"256TMP23010305","2023-01-03",5,12.7,1,"°C",256,"Merced"
"256TMP23010306","2023-01-03",6,12.6,1,"°C",256,"Merced"
"256TMP23010307","2023-01-03",7,12.7,1,"°C",256,"Merced"
"256TMP23010308","2023-01-03",8,12.5,1,"°C",256,"Merced"
"256TMP23010309","2023-01-03",9,13.4,1,"°C",256,"Merced"
"256TMP23010310","2023-01-03",10,15.6,1,"°C",256,"Merced"
"256TMP23010311","2023-01-03",11,17.7,1,"°C",256,"Merced"
"256TMP23010312","2023-01-03",12,20.3,1,"°C",256,"Merced"
"256TMP23010313","2023-01-03",13,21.6,1,"°C",256,"Merced"
"256TMP23010314","2023-01-03",14,22.9,1,"°C",256,"Merced"
"256TMP23010315","2023-01-03",15,23.3,1,"°C",256,"Merced"
"256TMP23010316","2023-01-03",16,23.9,1,"°C",256,"Merced"
"256TMP23010317","2023-01-03",17,23,1,"°C",256,"Merced"
"256TMP23010318","2023-01-03",18,22.1,1,"°C",256,"Merced"
"256TMP23010319","2023-01-03",19,20.7,1,"°C",256,"Merced"
"256TMP23010320","2023-01-03",20,19.2,1,"°C",256,"Merced"
"256TMP23010321","2023-01-03",21,18,1,"°C",256,"Merced"
"256TMP23010322","2023-01-03",22,17.1,1,"°C",256,"Merced"
"256TMP23010323","2023-01-03",23,16.4,1,"°C",256,"Merced"
"256TMP23010400","2023-01-04",0,15.8,1,"°C",256,"Merced"
"256TMP23010401","2023-01-04",1,14.9,1,"°C",256,"Merced"
"256TMP23010402","2023-01-04",2,13.9,1,"°C",256,"Merced"
"256TMP23010403","2023-01-04",3,13,1,"°C",256,"Merced"
"256TMP23010404","2023-01-04",4,12.4,1,"°C",256,"Merced"
"256TMP23010405","2023-01-04",5,12.4,1,"°C",256,"Merced"
"256TMP23010406","2023-01-04",6,11.5,1,"°C",256,"Merced"
"256TMP23010407","2023-01-04",7,11.1,1,"°C",256,"Merced"
"256TMP23010408","2023-01-04",8,10.9,1,"°C",256,"Merced"
"256TMP23010409","2023-01-04",9,12.3,1,"°C",256,"Merced"
"256TMP23010410","2023-01-04",10,14.4,1,"°C",256,"Merced"
"256TMP23010411","2023-01-04",11,16.5,1,"°C",256,"Merced"
"256TMP23010412","2023-01-04",12,18.4,1,"°C",256,"Merced"
"256TMP23010413","2023-01-04",13,20.1,1,"°C",256,"Merced"
"256TMP23010414","2023-01-04",14,21.3,1,"°C",256,"Merced"
"256TMP23010415","2023-01-04",15,22.6,1,"°C",256,"Merced"
"256TMP23010416","2023-01-04",16,23,1,"°C",256,"Merced"
"256TMP23010417","2023-01-04",17,23,1,"°C",256,"Merced"
"256TMP23010418","2023-01-04",18,22.4,1,"°C",256,"Merced"
"256TMP23010419","2023-01-04",19,21.4,1,"°C",256,"Merced"
"256TMP23010420","2023-01-04",20,19,1,"°C",256,"Merced"
"256TMP23010421","2023-01-04",21,17.5,1,"°C",256,"Merced"
"256TMP23010422","2023-01-04",22,17,1,"°C",256,"Merced"
"256TMP23010423","2023-01-04",23,16.5,1,"°C",256,"Merced"
"256TMP23010500","2023-01-05",0,15.4,1,"°C",256,"Merced"
"256TMP23010501","2023-01-05",1,14.6,1,"°C",256,"Merced"
"256TMP23010502","2023-01-05",2,13.7,1,"°C",256,"Merced"
"256TMP23010503","2023-01-05",3,13.1,1,"°C",256,"Merced"
"256TMP23010504","2023-01-05",4,12.7,1,"°C",256,"Merced"
"256TMP23010505","2023-01-05",5,11.8,1,"°C",256,"Merced"
"256TMP23010506","2023-01-05",6,11.1,1,"°C",256,"Merced"
"256TMP23010507","2023-01-05",7,10.9,1,"°C",256,"Merced"
"256TMP23010508","2023-01-05",8,10.5,1,"°C",256,"Merced"
"256TMP23010509","2023-01-05",9,12,1,"°C",256,"Merced"
"256TMP23010510","2023-01-05",10,13.9,1,"°C",256,"Merced"
