"id","date","hour","value","valid","unit","station_id","station_name"
"259PM2.523010100","2023-01-01",0,39,1,"µg/m³",259,"Pedregal"
"259PM2.523010101","2023-01-01",1,36,1,"µg/m³",259,"Pedregal"
"259PM2.523010102","2023-01-01",2,34,1,"µg/m³",259,"Pedregal"
"259PM2.523010103","2023-01-01",3,41,1,"µg/m³",259,"Pedregal"
"259PM2.523010104","2023-01-01",4,45,1,"µg/m³",259,"Pedregal"
"259PM2.523010105","2023-01-01",5,46,1,"µg/m³",259,"Pedregal"
"259PM2.523010106","2023-01-01",6,30,1,"µg/m³",259,"Pedregal"
"259PM2.523010107","2023-01-01",7,26,1,"µg/m³",259,"Pedregal"
"259PM2.523010108","2023-01-01",8,26,1,"µg/m³",259,"Pedregal"
"259PM2.523010109","2023-01-01",9,38,1,"µg/m³",259,"Pedregal"
"259PM2.523010111","2023-01-01",11,47,1,"µg/m³",259,"Pedregal"
"259PM2.523010112","2023-01-01",12,79,1,"µg/m³",259,"Pedregal"
"259PM2.523010113","2023-01-01",13,67,1,"µg/m³",259,"Pedregal"
"259PM2.523010114","2023-01-01",14,24,1,"µg/m³",259,"Pedregal"
"259PM2.523010115","2023-01-01",15,19,1,"µg/m³",259,"Pedregal"
"259PM2.523010116","2023-01-01",16,16,1,"µg/m³",259,"Pedregal"
"259PM2.523010117","2023-01-01",17,19,1,"µg/m³",259,"Pedregal"
"259PM2.523010118","2023-01-01",18,15,1,"µg/m³",259,"Pedregal"
"259PM2.523010119","2023-01-01",19,4,1,"µg/m³",259,"Pedregal"
"259PM2.523010120","2023-01-01",20,18,1,"µg/m³",259,"Pedregal"
"259PM2.523010122","2023-01-01",22,28,1,"µg/m³",259,"Pedregal"
"259PM2.523010123","2023-01-01",23,4,1,"µg/m³",259,"Pedregal"
"259PM2.523010200","2023-01-02",0,19,1,"µg/m³",259,"Pedregal"
"259PM2.523010201","2023-01-02",1,10,1,"µg/m³",259,"Pedregal"
"259PM2.523010202","2023-01-02",2,13,1,"µg/m³",259,"Pedregal"
"259PM2.523010203","2023-01-02",3,16,1,"µg/m³",259,"Pedregal"
"259PM2.523010204","2023-01-02",4,3,1,"µg/m³",259,"Pedregal"
"259PM2.523010206","2023-01-02",6,7,1,"µg/m³",259,"Pedregal"
"259PM2.523010207","2023-01-02",7,23,1,"µg/m³",259,"Pedregal"
"259PM2.523010208","2023-01-02",8,14,1,"µg/m³",259,"Pedregal"
"259PM2.523010209","2023-01-02",9,35,1,"µg/m³",259,"Pedregal"
"259PM2.523010210","2023-01-02",10,22,1,"µg/m³",259,"Pedregal"
"259PM2.523010211","2023-01-02",11,8,1,"µg/m³",259,"Pedregal"
"259PM2.523010212","2023-01-02",12,31,1,"µg/m³",259,"Pedregal"
