"id","date","hour","value","valid","unit","station_id","station_name"
"259HR23010100","2023-01-01",0,60,1,"%",259,"Pedregal"
"259HR23010101","2023-01-01",1,63,1,"%",259,"Pedregal"
"259HR23010102","2023-01-01",2,58,1,"%",259,"Pedregal"
"259HR23010103","2023-01-01",3,58,1,"%",259,"Pedregal"
"259HR23010104","2023-01-01",4,60,1,"%",259,"Pedregal"
"259HR23010105","2023-01-01",5,64,1,"%",259,"Pedregal"
"259HR23010106","2023-01-01",6,66,1,"%",259,"Pedregal"
"259HR23010107","2023-01-01",7,63,1,"%",259,"Pedregal"
"259HR23010108","2023-01-01",8,65,1,"%",259,"Pedregal"
"259HR23010109","2023-01-01",9,62,1,"%",259,"Pedregal"
"259HR23010110","2023-01-01",10,58,1,"%",259,"Pedregal"
"259HR23010111","2023-01-01",11,53,1,"%",259,"Pedregal"
"259HR23010112","2023-01-01",12,47,1,"%",259,"Pedregal"
"259HR23010113","2023-01-01",13,43,1,"%",259,"Pedregal"
"259HR23010114","2023-01-01",14,39,1,"%",259,"Pedregal"
"259HR23010115","2023-01-01",15,37,1,"%",259,"Pedregal"
"259HR23010116","2023-01-01",16,35,1,"%",259,"Pedregal"
"259HR23010117","2023-01-01",17,35,1,"%",259,"Pedregal"
"259HR23010118","2023-01-01",18,38,1,"%",259,"Pedregal"
"259HR23010119","2023-01-01",19,42,1,"%",259,"Pedregal"
"259HR23010120","2023-01-01",20,46,1,"%",259,"Pedregal"
"259HR23010121","2023-01-01",21,51,1,"%",259,"Pedregal"
"259HR23010122","2023-01-01",22,57,1,"%",259,"Pedregal"
"259HR23010123","2023-01-01",23,61,1,"%",259,"Pedregal"
"259HR23010200","2023-01-02",0,64,1,"%",259,"Pedregal"
"259HR23010201","2023-01-02",1,64,1,"%",259,"Pedregal"
"259HR23010202","2023-01-02",2,65,1,"%",259,"Pedregal"
"259HR23010203","2023-01-02",3,68,1,"%",259,"Pedregal"
"259HR23010204","2023-01-02",4,69,1,"%",259,"Pedregal"
"259HR23010205","2023-01-02",5,65,1,"%",259,"Pedregal"
"259HR23010206","2023-01-02",6,64,1,"%",259,"Pedregal"
"259HR23010207","2023-01-02",7,64,1,"%",259,"Pedregal"
"259HR23010208","2023-01-02",8,65,1,"%",259,"Pedregal"
"259HR23010209","2023-01-02",9,59,1,"%",259,"Pedregal"
"259HR23010210","2023-01-02",10,48,1,"%",259,"Pedregal"
"259HR23010211","2023-01-02",11,40,1,"%",259,"Pedregal"
"259HR23010212","2023-01-02",12,33,1,"%",259,"Pedregal"
"259HR23010213","2023-01-02",13,34,1,"%",259,"Pedregal"
"259HR23010214","2023-01-02",14,30,1,"%",259,"Pedregal"
"259HR23010215","2023-01-02",15,30,1,"%",259,"Pedregal"
"259HR23010216","2023-01-02",16,30,1,"%",259,"Pedregal"
"259HR23010217","2023-01-02",17,34,1,"%",259,"Pedregal"
"259HR23010218","2023-01-02",18,45,1,"%",259,"Pedregal"
"259HR23010219","2023-01-02",19,51,1,"%",259,"Pedregal"
"259HR23010220","2023-01-02",20,54,1,"%",259,"Pedregal"
"259HR23010221","2023-01-02",21,55,1,"%",259,"Pedregal"
"259HR23010222","2023-01-02",22,57,1,"%",259,"Pedregal"
"259HR23010223","2023-01-02",23,57,1,"%",259,"Pedregal"
"259HR23010300","2023-01-03",0,58,1,"%",259,"Pedregal"
"259HR23010301","2023-01-03",1,60,1,"%",259,"Pedregal"
"259HR23010302","2023-01-03",2,61,1,"%",259,"Pedregal"
"259HR23010303","2023-01-03",3,64,1,"%",259,"Pedregal"
"259HR23010304","2023-01-03",4,65,1,"%",259,"Pedregal"
"259HR23010305","2023-01-03",5,67,1,"%",259,"Pedregal"
"259HR23010306","2023-01-03",6,65,1,"%",259,"Pedregal"
"259HR23010307","2023-01-03",7,61,1,"%",259,"Pedregal"
"259HR23010308","2023-01-03",8,64,1,"%",259,"Pedregal"
"259HR23010309","2023-01-03",9,62,1,"%",259,"Pedregal"
"259HR23010310","2023-01-03",10,53,1,"%",259,"Pedregal"
"259HR23010311","2023-01-03",11,39,1,"%",259,"Pedregal"
"259HR23010312","2023-01-03",12,33,1,"%",259,"Pedregal"
"259HR23010314","2023-01-03",14,27,1,"%",259,"Pedregal"
"259HR23010315","2023-01-03",15,27,1,"%",259,"Pedregal"
"259HR23010316","2023-01-03",16,29,1,"%",259,"Pedregal"
"259HR23010317","2023-01-03",17,32,1,"%",259,"Pedregal"
"259HR23010318","2023-01-03",18,36,1,"%",259,"Pedregal"
"259HR23010319","2023-01-03",19,39,1,"%",259,"Pedregal"
"259HR23010320","2023-01-03",20,41,1,"%",259,"Pedregal"
"259HR23010321","2023-01-03",21,46,1,"%",259,"Pedregal"
"259HR23010322","2023-01-03",22,50,1,"%",259,"Pedregal"
"259HR23010323","2023-01-03",23,54,1,"%",259,"Pedregal"
"259HR23010400","2023-01-04",0,56,1,"%",259,"Pedregal"
"259HR23010401","2023-01-04",1,58,1,"%",259,"Pedregal"
"259HR23010402","2023-01-04",2,60,1,"%",259,"Pedregal"
"259HR23010403","2023-01-04",3,60,1,"%",259,"Pedregal"
"259HR23010404","2023-01-04",4,60,1,"%",259,"Pedregal"
"259HR23010406","2023-01-04",6,62,1,"%",259,"Pedregal"
"259HR23010408","2023-01-04",8,64,1,"%",259,"Pedregal"
"259HR23010409","2023-01-04",9,62,1,"%",259,"Pedregal"
"259HR23010410","2023-01-04",10,55,1,"%",259,"Pedregal"
"259HR23010411","2023-01-04",11,48,1,"%",259,"Pedregal"
"259HR23010412","2023-01-04",12,39,1,"%",259,"Pedregal"
"259HR23010413","2023-01-04",13,35,1,"%",259,"Pedregal"
"259HR23010414","2023-01-04",14,31,1,"%",259,"Pedregal"
"259HR23010415","2023-01-04",15,28,1,"%",259,"Pedregal"
"259HR23010416","2023-01-04",16,30,1,"%",259,"Pedregal"
"259HR23010417","2023-01-04",17,30,1,"%",259,"Pedregal"
"259HR23010418","2023-01-04",18,32,1,"%",259,"Pedregal"
"259HR23010419","2023-01-04",19,40,1,"%",259,"Pedregal"
"259HR23010420","2023-01-04",20,40,1,"%",259,"Pedregal"
"259HR23010421","2023-01-04",21,44,1,"%",259,"Pedregal"
"259HR23010422","2023-01-04",22,48,1,"%",259,"Pedregal"
"259HR23010423","2023-01-04",23,53,1,"%",259,"Pedregal"
"259HR23010500","2023-01-05",0,58,1,"%",259,"Pedregal"
"259HR23010501","2023-01-05",1,58,1,"%",259,"Pedregal"
"259HR23010502","2023-01-05",2,61,1,"%",259,"Pedregal"
"259HR23010503","2023-01-05",3,63,1,"%",259,"Pedregal"
"259HR23010504","2023-01-05",4,64,1,"%",259,"Pedregal"
"259HR23010505","2023-01-05",5,67,1,"%",259,"Pedregal"
"259HR23010506","2023-01-05",6,67,1,"%",259,"Pedregal"
"259HR23010507","2023-01-05",7,69,1,"%",259,"Pedregal"
"259HR23010508","2023-01-05",8,72,1,"%",259,"Pedregal"
"259HR23010509","2023-01-05",9,66,1,"%",259,"Pedregal"
"259HR23010510","2023-01-05",10,60,1,"%",259,"Pedregal"
"259HR23010511","2023-01-05",11,51,1,"%",259,"Pedregal"
"259HR23010512","2023-01-05",12,42,1,"%",259,"Pedregal"
"259HR23010513","2023-01-05",13,34,1,"%",259,"Pedregal"
"259HR23010514","2023-01-05",14,30,1,"%",259,"Pedregal"
"259HR23010515","2023-01-05",15,28,1,"%",259,"Pedregal"
"259HR23010516","2023-01-05",16,26,1,"%",259,"Pedregal"
"259HR23010517","2023-01-05",17,25,1,"%",259,"Pedregal"
"259HR23010518","2023-01-05",18,24,1,"%",259,"Pedregal"
"259HR23010519","2023-01-05",19,30,1,"%",259,"Pedregal"
"259HR23010520","2023-01-05",20,42,1,"%",259,"Pedregal"
"259HR23010521","2023-01-05",21,51,1,"%",259,"Pedregal"
"259HR23010523","2023-01-05",23,55,1,"%",259,"Pedregal"
"259HR23010600","2023-01-06",0,60,1,"%",259,"Pedregal"
"259HR23010601","2023-01-06",1,60,1,"%",259,"Pedregal"
"259HR23010903","2023-01-09",3,61,1,"%",259,"Pedregal"
"259HR23010904","2023-01-09",4,62,1,"%",259,"Pedregal"
"259HR23010905","2023-01-09",5,67,1,"%",259,"Pedregal"
"259HR23010906","2023-01-09",6,69,1,"%",259,"Pedregal"
"259HR23010907","2023-01-09",7,71,1,"%",259,"Pedregal"
"259HR23010908","2023-01-09",8,72,1,"%",259,"Pedregal"
"259HR23010909","2023-01-09",9,69,1,"%",259,"Pedregal"
"259HR23010910","2023-01-09",10,65,1,"%",259,"Pedregal"
"259HR23010911","2023-01-09",11,57,1,"%",259,"Pedregal"
"259HR23010912","2023-01-09",12,47,1,"%",259,"Pedregal"
"259HR23010913","2023-01-09",13,41,1,"%",259,"Pedregal"
"259HR23010914","2023-01-09",14,32,1,"%",259,"Pedregal"
"259HR23010916","2023-01-09",16,30,1,"%",259,"Pedregal"
"259HR23010917","2023-01-09",17,29,1,"%",259,"Pedregal"
"259HR23010918","2023-01-09",18,33,1,"%",259,"Pedregal"
"259HR23010919","2023-01-09",19,42,1,"%",259,"Pedregal"
"259HR23010920","2023-01-09",20,42,1,"%",259,"Pedregal"
"259HR23010921","2023-01-09",21,40,1,"%",259,"Pedregal"
"259HR23010922","2023-01-09",22,42,1,"%",259,"Pedregal"
"259HR23010923","2023-01-09",23,45,1,"%",259,"Pedregal"
"259HR23011000","2023-01-10",0,51,1,"%",259,"Pedregal"
"259HR23011001","2023-01-10",1,55,1,"%",259,"Pedregal"
"259HR23011002","2023-01-10",2,57,1,"%",259,"Pedregal"
"259HR23011003","2023-01-10",3,56,1,"%",259,"Pedregal"
"259HR23011004","2023-01-10",4,57,1,"%",259,"Pedregal"
"259HR23011005","2023-01-10",5,56,1,"%",259,"Pedregal"
"259HR23011006","2023-01-10",6,57,1,"%",259,"Pedregal"
"259HR23011007","2023-01-10",7,56,1,"%",259,"Pedregal"
"259HR23011008","2023-01-10",8,59,1,"%",259,"Pedregal"
"259HR23011009","2023-01-10",9,59,1,"%",259,"Pedregal"
"259HR23011010","2023-01-10",10,54,1,"%",259,"Pedregal"
"259HR23011011","2023-01-10",11,45,1,"%",259,"Pedregal"
"259HR23011012","2023-01-10",12,37,1,"%",259,"Pedregal"
"259HR23011013","2023-01-10",13,34,1,"%",259,"Pedregal"
"259HR23011014","2023-01-10",14,30,1,"%",259,"Pedregal"
"259HR23011015","2023-01-10",15,30,1,"%",259,"Pedregal"
