"id","date","hour","value","valid","unit","station_id","station_name"
"259TMP23010100","2023-01-01",0,12,1,"°C",259,"Pedregal"
"259TMP23010101","2023-01-01",1,10.9,1,"°C",259,"Pedregal"
"259TMP23010102","2023-01-01",2,10.8,1,"°C",259,"Pedregal"
"259TMP23010103","2023-01-01",3,10.4,1,"°C",259,"Pedregal"
"259TMP23010104","2023-01-01",4,9.9,1,"°C",259,"Pedregal"
"259TMP23010105","2023-01-01",5,9.3,1,"°C",259,"Pedregal"
"259TMP23010106","2023-01-01",6,8.9,1,"°C",259,"Pedregal"
"259TMP23010107","2023-01-01",7,8.9,1,"°C",259,"Pedregal"
"259TMP23010108","2023-01-01",8,8.8,1,"°C",259,"Pedregal"
"259TMP23010109","2023-01-01",9,10.4,1,"°C",259,"Pedregal"
"259TMP23010110","2023-01-01",10,12.4,1,"°C",259,"Pedregal"
"259TMP23010111","2023-01-01",11,14.6,1,"°C",259,"Pedregal"
"259TMP23010112","2023-01-01",12,16.2,1,"°C",259,"Pedregal"
"259TMP23010113","2023-01-01",13,17.6,1,"°C",259,"Pedregal"
"259TMP23010114","2023-01-01",14,18.8,1,"°C",259,"Pedregal"
"259TMP23010115","2023-01-01",15,19.6,1,"°C",259,"Pedregal"
"259TMP23010116","2023-01-01",16,19.9,1,"°C",259,"Pedregal"
"259TMP23010117","2023-01-01",17,19.8,1,"°C",259,"Pedregal"
"259TMP23010118","2023-01-01",18,18.5,1,"°C",259,"Pedregal"
"259TMP23010119","2023-01-01",19,16.3,1,"°C",259,"Pedregal"
"259TMP23010120","2023-01-01",20,15,1,"°C",259,"Pedregal"
"259TMP23010121","2023-01-01",21,14,1,"°C",259,"Pedregal"
"259TMP23010122","2023-01-01",22,12.7,1,"°C",259,"Pedregal"
"259TMP23010123","2023-01-01",23,11.8,1,"°C",259,"Pedregal"
"259TMP23010200","2023-01-02",0,11.2,1,"°C",259,"Pedregal"
"259TMP23010201","2023-01-02",1,11,1,"°C",259,"Pedregal"
"259TMP23010202","2023-01-02",2,10.5,1,"°C",259,"Pedregal"
"259TMP23010203","2023-01-02",3,9.9,1,"°C",259,"Pedregal"
"259TMP23010204","2023-01-02",4,9.7,1,"°C",259,"Pedregal"
"259TMP23010205","2023-01-02",5,9.7,1,"°C",259,"Pedregal"
"259TMP23010206","2023-01-02",6,9.4,1,"°C",259,"Pedregal"
"259TMP23010207","2023-01-02",7,9.3,1,"°C",259,"Pedregal"
"259TMP23010208","2023-01-02",8,9.2,1,"°C",259,"Pedregal"
"259TMP23010209","2023-01-02",9,12.2,1,"°C",259,"Pedregal"
"259TMP23010210","2023-01-02",10,15.4,1,"°C",259,"Pedregal"
"259TMP23010211","2023-01-02",11,17.1,1,"°C",259,"Pedregal"
"259TMP23010212","2023-01-02",12,18.4,1,"°C",259,"Pedregal"
"259TMP23010213","2023-01-02",13,18.9,1,"°C",259,"Pedregal"
"259TMP23010214","2023-01-02",14,19.9,1,"°C",259,"Pedregal"
"259TMP23010215","2023-01-02",15,19.7,1,"°C",259,"Pedregal"
"259TMP23010216","2023-01-02",16,20.1,1,"°C",259,"Pedregal"
"259TMP23010217","2023-01-02",17,18.9,1,"°C",259,"Pedregal"
"259TMP23010218","2023-01-02",18,16.8,1,"°C",259,"Pedregal"
"259TMP23010219","2023-01-02",19,15.4,1,"°C",259,"Pedregal"
"259TMP23010220","2023-01-02",20,14.6,1,"°C",259,"Pedregal"
"259TMP23010221","2023-01-02",21,14.1,1,"°C",259,"Pedregal"
"259TMP23010222","2023-01-02",22,13.4,1,"°C",259,"Pedregal"
"259TMP23010223","2023-01-02",23,12.5,1,"°C",259,"Pedregal"
"259TMP23010300","2023-01-03",0,12.1,1,"°C",259,"Pedregal"
"259TMP23010301","2023-01-03",1,11.7,1,"°C",259,"Pedregal"
"259TMP23010302","2023-01-03",2,11.4,1,"°C",259,"Pedregal"
"259TMP23010303","2023-01-03",3,10.9,1,"°C",259,"Pedregal"
"259TMP23010304","2023-01-03",4,10.6,1,"°C",259,"Pedregal"
"259TMP23010305","2023-01-03",5,10.4,1,"°C",259,"Pedregal"
"259TMP23010306","2023-01-03",6,10.4,1,"°C",259,"Pedregal"
"259TMP23010307","2023-01-03",7,10.5,1,"°C",259,"Pedregal"
"259TMP23010308","2023-01-03",8,9.7,1,"°C",259,"Pedregal"
"259TMP23010309","2023-01-03",9,10.8,1,"°C",259,"Pedregal"
"259TMP23010310","2023-01-03",10,14,1,"°C",259,"Pedregal"
"259TMP23010311","2023-01-03",11,16.5,1,"°C",259,"Pedregal"
"259TMP23010312","2023-01-03",12,18.7,1,"°C",259,"Pedregal"
"259TMP23010314","2023-01-03",14,20.9,1,"°C",259,"Pedregal"
"259TMP23010315","2023-01-03",15,21.8,1,"°C",259,"Pedregal"
"259TMP23010316","2023-01-03",16,21.2,1,"°C",259,"Pedregal"
"259TMP23010317","2023-01-03",17,20.6,1,"°C",259,"Pedregal"
"259TMP23010318","2023-01-03",18,19.1,1,"°C",259,"Pedregal"
"259TMP23010319","2023-01-03",19,17.8,1,"°C",259,"Pedregal"
"259TMP23010320","2023-01-03",20,16.5,1,"°C",259,"Pedregal"
"259TMP23010321","2023-01-03",21,15.2,1,"°C",259,"Pedregal"
"259TMP23010322","2023-01-03",22,13.9,1,"°C",259,"Pedregal"
"259TMP23010323","2023-01-03",23,13.3,1,"°C",259,"Pedregal"
"259TMP23010400","2023-01-04",0,12.7,1,"°C",259,"Pedregal"
"259TMP23010401","2023-01-04",1,12.3,1,"°C",259,"Pedregal"
"259TMP23010402","2023-01-04",2,11.8,1,"°C",259,"Pedregal"
"259TMP23010403","2023-01-04",3,11.6,1,"°C",259,"Pedregal"
"259TMP23010404","2023-01-04",4,10.9,1,"°C",259,"Pedregal"
"259TMP23010406","2023-01-04",6,9.7,1,"°C",259,"Pedregal"
"259TMP23010408","2023-01-04",8,9.3,1,"°C",259,"Pedregal"
"259TMP23010409","2023-01-04",9,10.7,1,"°C",259,"Pedregal"
"259TMP23010410","2023-01-04",10,13,1,"°C",259,"Pedregal"
"259TMP23010411","2023-01-04",11,15.3,1,"°C",259,"Pedregal"
"259TMP23010412","2023-01-04",12,17.1,1,"°C",259,"Pedregal"
"259TMP23010413","2023-01-04",13,18.6,1,"°C",259,"Pedregal"
"259TMP23010414","2023-01-04",14,19.6,1,"°C",259,"Pedregal"
"259TMP23010415","2023-01-04",15,20.6,1,"°C",259,"Pedregal"
"259TMP23010416","2023-01-04",16,20.8,1,"°C",259,"Pedregal"
"259TMP23010417","2023-01-04",17,20.8,1,"°C",259,"Pedregal"
"259TMP23010418","2023-01-04",18,20.2,1,"°C",259,"Pedregal"
"259TMP23010419","2023-01-04",19,18.2,1,"°C",259,"Pedregal"
"259TMP23010420","2023-01-04",20,17.2,1,"°C",259,"Pedregal"
"259TMP23010421","2023-01-04",21,16.8,1,"°C",259,"Pedregal"
"259TMP23010422","2023-01-04",22,15.8,1,"°C",259,"Pedregal"
"259TMP23010423","2023-01-04",23,14.4,1,"°C",259,"Pedregal"
"259TMP23010500","2023-01-05",0,13.2,1,"°C",259,"Pedregal"
"259TMP23010501","2023-01-05",1,12.8,1,"°C",259,"Pedregal"
"259TMP23010502","2023-01-05",2,11.8,1,"°C",259,"Pedregal"
"259TMP23010503","2023-01-05",3,11.1,1,"°C",259,"Pedregal"
"259TMP23010504","2023-01-05",4,10.8,1,"°C",259,"Pedregal"
"259TMP23010505","2023-01-05",5,10.1,1,"°C",259,"Pedregal"
"259TMP23010506","2023-01-05",6,9.7,1,"°C",259,"Pedregal"
"259TMP23010507","2023-01-05",7,9.1,1,"°C",259,"Pedregal"
"259TMP23010508","2023-01-05",8,8.8,1,"°C",259,"Pedregal"
"259TMP23010509","2023-01-05",9,10.6,1,"°C",259,"Pedregal"
"259TMP23010510","2023-01-05",10,12.5,1,"°C",259,"Pedregal"
"259TMP23010511","2023-01-05",11,14.8,1,"°C",259,"Pedregal"
"259TMP23010512","2023-01-05",12,16.7,1,"°C",259,"Pedregal"
"259TMP23010513","2023-01-05",13,18.3,1,"°C",259,"Pedregal"
"259TMP23010514","2023-01-05",14,19.3,1,"°C",259,"Pedregal"
"259TMP23010515","2023-01-05",15,20,1,"°C",259,"Pedregal"
"259TMP23010516","2023-01-05",16,20.6,1,"°C",259,"Pedregal"
"259TMP23010517","2023-01-05",17,20.8,1,"°C",259,"Pedregal"
