"id","date","hour","value","valid","unit","station_id","station_name"
"432HR23010100","2023-01-01",0,68,1,"%",432,"Santiago Acahualtepec"
"432HR23010101","2023-01-01",1,67,1,"%",432,"Santiago Acahualtepec"
"432HR23010102","2023-01-01",2,68,1,"%",432,"Santiago Acahualtepec"
"432HR23010103","2023-01-01",3,73,1,"%",432,"Santiago Acahualtepec"
"432HR23010104","2023-01-01",4,75,1,"%",432,"Santiago Acahualtepec"
"432HR23010105","2023-01-01",5,79,1,"%",432,"Santiago Acahualtepec"
"432HR23010106","2023-01-01",6,82,1,"%",432,"Santiago Acahualtepec"
"432HR23010107","2023-01-01",7,83,1,"%",432,"Santiago Acahualtepec"
"432HR23010108","2023-01-01",8,84,1,"%",432,"Santiago Acahualtepec"
"432HR23010109","2023-01-01",9,80,1,"%",432,"Santiago Acahualtepec"
"432HR23010110","2023-01-01",10,70,1,"%",432,"Santiago Acahualtepec"
"432HR23010111","2023-01-01",11,60,1,"%",432,"Santiago Acahualtepec"
"432HR23010112","2023-01-01",12,51,1,"%",432,"Santiago Acahualtepec"
"432HR23010113","2023-01-01",13,44,1,"%",432,"Santiago Acahualtepec"
"432HR23010114","2023-01-01",14,38,1,"%",432,"Santiago Acahualtepec"
"432HR23010115","2023-01-01",15,37,1,"%",432,"Santiago Acahualtepec"
"432HR23010116","2023-01-01",16,34,1,"%",432,"Santiago Acahualtepec"
"432HR23010117","2023-01-01",17,35,1,"%",432,"Santiago Acahualtepec"
"432HR23010118","2023-01-01",18,36,1,"%",432,"Santiago Acahualtepec"
"432HR23010119","2023-01-01",19,39,1,"%",432,"Santiago Acahualtepec"
"432HR23010120","2023-01-01",20,43,1,"%",432,"Santiago Acahualtepec"
"432HR23010121","2023-01-01",21,47,1,"%",432,"Santiago Acahualtepec"
"432HR23010122","2023-01-01",22,51,1,"%",432,"Santiago Acahualtepec"
"432HR23010123","2023-01-01",23,53,1,"%",432,"Santiago Acahualtepec"
"432HR23010200","2023-01-02",0,58,1,"%",432,"Santiago Acahualtepec"
"432HR23010201","2023-01-02",1,61,1,"%",432,"Santiago Acahualtepec"
"432HR23010202","2023-01-02",2,63,1,"%",432,"Santiago Acahualtepec"
"432HR23010203","2023-01-02",3,67,1,"%",432,"Santiago Acahualtepec"
"432HR23010204","2023-01-02",4,69,1,"%",432,"Santiago Acahualtepec"
"432HR23010205","2023-01-02",5,68,1,"%",432,"Santiago Acahualtepec"
"432HR23010206","2023-01-02",6,71,1,"%",432,"Santiago Acahualtepec"
"432HR23010207","2023-01-02",7,70,1,"%",432,"Santiago Acahualtepec"
"432HR23010208","2023-01-02",8,70,1,"%",432,"Santiago Acahualtepec"
"432HR23010209","2023-01-02",9,70,1,"%",432,"Santiago Acahualtepec"
"432HR23010210","2023-01-02",10,66,1,"%",432,"Santiago Acahualtepec"
"432HR23010211","2023-01-02",11,56,1,"%",432,"Santiago Acahualtepec"
"432HR23010212","2023-01-02",12,48,1,"%",432,"Santiago Acahualtepec"
"432HR23010213","2023-01-02",13,42,1,"%",432,"Santiago Acahualtepec"
"432HR23010214","2023-01-02",14,37,1,"%",432,"Santiago Acahualtepec"
"432HR23010215","2023-01-02",15,37,1,"%",432,"Santiago Acahualtepec"
"432HR23010216","2023-01-02",16,39,1,"%",432,"Santiago Acahualtepec"
"432HR23010217","2023-01-02",17,41,1,"%",432,"Santiago Acahualtepec"
"432HR23010218","2023-01-02",18,47,1,"%",432,"Santiago Acahualtepec"
"432HR23010219","2023-01-02",19,51,1,"%",432,"Santiago Acahualtepec"
"432HR23010220","2023-01-02",20,54,1,"%",432,"Santiago Acahualtepec"
"432HR23010221","2023-01-02",21,54,1,"%",432,"Santiago Acahualtepec"
"432HR23010222","2023-01-02",22,56,1,"%",432,"Santiago Acahualtepec"
"432HR23010223","2023-01-02",23,58,1,"%",432,"Santiago Acahualtepec"
"432HR23010300","2023-01-03",0,59,1,"%",432,"Santiago Acahualtepec"
"432HR23010301","2023-01-03",1,61,1,"%",432,"Santiago Acahualtepec"
"432HR23010302","2023-01-03",2,61,1,"%",432,"Santiago Acahualtepec"
"432HR23010303","2023-01-03",3,62,1,"%",432,"Santiago Acahualtepec"
"432HR23010304","2023-01-03",4,64,1,"%",432,"Santiago Acahualtepec"
"432HR23010305","2023-01-03",5,65,1,"%",432,"Santiago Acahualtepec"
"432HR23010306","2023-01-03",6,70,1,"%",432,"Santiago Acahualtepec"
"432HR23010307","2023-01-03",7,68,1,"%",432,"Santiago Acahualtepec"
"432HR23010308","2023-01-03",8,63,1,"%",432,"Santiago Acahualtepec"
"432HR23010309","2023-01-03",9,61,1,"%",432,"Santiago Acahualtepec"
"432HR23010310","2023-01-03",10,53,1,"%",432,"Santiago Acahualtepec"
"432HR23010311","2023-01-03",11,41,1,"%",432,"Santiago Acahualtepec"
"432HR23010312","2023-01-03",12,36,1,"%",432,"Santiago Acahualtepec"
"432HR23010313","2023-01-03",13,32,1,"%",432,"Santiago Acahualtepec"
"432HR23010314","2023-01-03",14,31,1,"%",432,"Santiago Acahualtepec"
"432HR23010315","2023-01-03",15,32,1,"%",432,"Santiago Acahualtepec"
"432HR23010316","2023-01-03",16,33,1,"%",432,"Santiago Acahualtepec"
"432HR23010317","2023-01-03",17,34,1,"%",432,"Santiago Acahualtepec"
"432HR23010318","2023-01-03",18,38,1,"%",432,"Santiago Acahualtepec"
"432HR23010319","2023-01-03",19,47,1,"%",432,"Santiago Acahualtepec"
"432HR23010320","2023-01-03",20,52,1,"%",432,"Santiago Acahualtepec"
"432HR23010321","2023-01-03",21,55,1,"%",432,"Santiago Acahualtepec"
"432HR23010322","2023-01-03",22,57,1,"%",432,"Santiago Acahualtepec"
"432HR23010323","2023-01-03",23,58,1,"%",432,"Santiago Acahualtepec"
"432HR23010400","2023-01-04",0,60,1,"%",432,"Santiago Acahualtepec"
"432HR23010401","2023-01-04",1,64,1,"%",432,"Santiago Acahualtepec"
"432HR23010402","2023-01-04",2,68,1,"%",432,"Santiago Acahualtepec"
"432HR23010403","2023-01-04",3,68,1,"%",432,"Santiago Acahualtepec"
"432HR23010404","2023-01-04",4,71,1,"%",432,"Santiago Acahualtepec"
"432HR23010405","2023-01-04",5,77,1,"%",432,"Santiago Acahualtepec"
"432HR23010406","2023-01-04",6,77,1,"%",432,"Santiago Acahualtepec"
"432HR23010407","2023-01-04",7,79,1,"%",432,"Santiago Acahualtepec"
"432HR23010408","2023-01-04",8,81,1,"%",432,"Santiago Acahualtepec"
"432HR23010409","2023-01-04",9,74,1,"%",432,"Santiago Acahualtepec"
"432HR23010410","2023-01-04",10,66,1,"%",432,"Santiago Acahualtepec"
"432HR23010411","2023-01-04",11,58,1,"%",432,"Santiago Acahualtepec"
"432HR23010412","2023-01-04",12,46,1,"%",432,"Santiago Acahualtepec"
"432HR23010413","2023-01-04",13,39,1,"%",432,"Santiago Acahualtepec"
"432HR23010414","2023-01-04",14,33,1,"%",432,"Santiago Acahualtepec"
"432HR23010415","2023-01-04",15,29,1,"%",432,"Santiago Acahualtepec"
"432HR23010416","2023-01-04",16,25,1,"%",432,"Santiago Acahualtepec"
"432HR23010417","2023-01-04",17,23,1,"%",432,"Santiago Acahualtepec"
"432HR23010418","2023-01-04",18,24,1,"%",432,"Santiago Acahualtepec"
"432HR23010419","2023-01-04",19,42,1,"%",432,"Santiago Acahualtepec"
"432HR23010420","2023-01-04",20,46,1,"%",432,"Santiago Acahualtepec"
"432HR23010421","2023-01-04",21,51,1,"%",432,"Santiago Acahualtepec"
"432HR23010422","2023-01-04",22,55,1,"%",432,"Santiago Acahualtepec"
"432HR23010423","2023-01-04",23,58,1,"%",432,"Santiago Acahualtepec"
"432HR23010500","2023-01-05",0,60,1,"%",432,"Santiago Acahualtepec"
