"id","date","hour","value","valid","unit","station_id","station_name"
"268HR23010100","2023-01-01",0,71,1,"%",268,"UAM Iztapalapa"
"268HR23010101","2023-01-01",1,74,1,"%",268,"UAM Iztapalapa"
"268HR23010102","2023-01-01",2,75,1,"%",268,"UAM Iztapalapa"
"268HR23010103","2023-01-01",3,77,1,"%",268,"UAM Iztapalapa"
"268HR23010104","2023-01-01",4,79,1,"%",268,"UAM Iztapalapa"
"268HR23010105","2023-01-01",5,82,1,"%",268,"UAM Iztapalapa"
"268HR23010106","2023-01-01",6,84,1,"%",268,"UAM Iztapalapa"
"268HR23010107","2023-01-01",7,87,1,"%",268,"UAM Iztapalapa"
"268HR23010108","2023-01-01",8,87,1,"%",268,"UAM Iztapalapa"
"268HR23010109","2023-01-01",9,81,1,"%",268,"UAM Iztapalapa"
"268HR23010110","2023-01-01",10,71,1,"%",268,"UAM Iztapalapa"
"268HR23010111","2023-01-01",11,60,1,"%",268,"UAM Iztapalapa"
"268HR23010112","2023-01-01",12,54,1,"%",268,"UAM Iztapalapa"
"268HR23010113","2023-01-01",13,46,1,"%",268,"UAM Iztapalapa"
"268HR23010114","2023-01-01",14,41,1,"%",268,"UAM Iztapalapa"
"268HR23010115","2023-01-01",15,34,1,"%",268,"UAM Iztapalapa"
"268HR23010116","2023-01-01",16,35,1,"%",268,"UAM Iztapalapa"
"268HR23010117","2023-01-01",17,35,1,"%",268,"UAM Iztapalapa"
"268HR23010118","2023-01-01",18,38,1,"%",268,"UAM Iztapalapa"
"268HR23010119","2023-01-01",19,39,1,"%",268,"UAM Iztapalapa"
"268HR23010120","2023-01-01",20,43,1,"%",268,"UAM Iztapalapa"
"268HR23010121","2023-01-01",21,49,1,"%",268,"UAM Iztapalapa"
"268HR23010122","2023-01-01",22,55,1,"%",268,"UAM Iztapalapa"
"268HR23010123","2023-01-01",23,59,1,"%",268,"UAM Iztapalapa"
"268HR23010200","2023-01-02",0,62,1,"%",268,"UAM Iztapalapa"
"268HR23010201","2023-01-02",1,65,1,"%",268,"UAM Iztapalapa"
"268HR23010202","2023-01-02",2,68,1,"%",268,"UAM Iztapalapa"
"268HR23010203","2023-01-02",3,72,1,"%",268,"UAM Iztapalapa"
"268HR23010204","2023-01-02",4,74,1,"%",268,"UAM Iztapalapa"
