"id","date","hour","value","valid","unit","station_id","station_name"
"269PM2.523010100","2023-01-01",0,24,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010102","2023-01-01",2,58,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010103","2023-01-01",3,76,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010104","2023-01-01",4,88,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010105","2023-01-01",5,101,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010106","2023-01-01",6,105,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010107","2023-01-01",7,128,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010109","2023-01-01",9,122,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010110","2023-01-01",10,126,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010111","2023-01-01",11,124,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010112","2023-01-01",12,109,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010113","2023-01-01",13,21,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010114","2023-01-01",14,2,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010117","2023-01-01",17,6,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010118","2023-01-01",18,4,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010119","2023-01-01",19,13,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010120","2023-01-01",20,16,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010121","2023-01-01",21,15,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010122","2023-01-01",22,23,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010202","2023-01-02",2,18,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010203","2023-01-02",3,22,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010204","2023-01-02",4,11,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010205","2023-01-02",5,14,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010206","2023-01-02",6,12,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010207","2023-01-02",7,8,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010208","2023-01-02",8,9,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010209","2023-01-02",9,20,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010210","2023-01-02",10,7,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010211","2023-01-02",11,3,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010212","2023-01-02",12,5,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010213","2023-01-02",13,1,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010216","2023-01-02",16,6,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010217","2023-01-02",17,5,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010218","2023-01-02",18,13,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010219","2023-01-02",19,20,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010220","2023-01-02",20,24,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010221","2023-01-02",21,22,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010222","2023-01-02",22,23,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010223","2023-01-02",23,17,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010300","2023-01-03",0,17,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010302","2023-01-03",2,7,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010303","2023-01-03",3,11,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010304","2023-01-03",4,3,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010305","2023-01-03",5,7,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010306","2023-01-03",6,6,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010307","2023-01-03",7,16,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010308","2023-01-03",8,8,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010309","2023-01-03",9,16,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010310","2023-01-03",10,9,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010318","2023-01-03",18,19,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010319","2023-01-03",19,14,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010320","2023-01-03",20,20,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010321","2023-01-03",21,12,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010322","2023-01-03",22,18,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010323","2023-01-03",23,38,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010400","2023-01-04",0,31,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010404","2023-01-04",4,19,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010405","2023-01-04",5,16,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010406","2023-01-04",6,22,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010407","2023-01-04",7,22,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010408","2023-01-04",8,18,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010409","2023-01-04",9,26,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010410","2023-01-04",10,19,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010412","2023-01-04",12,9,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010413","2023-01-04",13,18,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010414","2023-01-04",14,23,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010415","2023-01-04",15,13,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010416","2023-01-04",16,13,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010417","2023-01-04",17,6,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010418","2023-01-04",18,18,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010419","2023-01-04",19,22,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010420","2023-01-04",20,25,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010421","2023-01-04",21,26,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010422","2023-01-04",22,27,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010423","2023-01-04",23,22,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010500","2023-01-05",0,23,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010502","2023-01-05",2,22,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010503","2023-01-05",3,29,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010504","2023-01-05",4,24,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010505","2023-01-05",5,15,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010506","2023-01-05",6,20,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010507","2023-01-05",7,20,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010508","2023-01-05",8,23,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010509","2023-01-05",9,32,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010510","2023-01-05",10,23,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010511","2023-01-05",11,35,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010512","2023-01-05",12,33,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010513","2023-01-05",13,39,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010514","2023-01-05",14,24,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010515","2023-01-05",15,2,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010517","2023-01-05",17,9,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010518","2023-01-05",18,8,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010519","2023-01-05",19,17,1,"µg/m³",269,"UAM Xochimilco"
"269PM2.523010520","2023-01-05",20,19,1,"µg/m³",269,"UAM Xochimilco"
