"id","date","hour","value","valid","unit","station_id","station_name"
"269HR23010100","2023-01-01",0,69,1,"%",269,"UAM Xochimilco"
"269HR23010101","2023-01-01",1,71,1,"%",269,"UAM Xochimilco"
"269HR23010102","2023-01-01",2,73,1,"%",269,"UAM Xochimilco"
"269HR23010103","2023-01-01",3,77,1,"%",269,"UAM Xochimilco"
"269HR23010104","2023-01-01",4,76,1,"%",269,"UAM Xochimilco"
"269HR23010105","2023-01-01",5,76,1,"%",269,"UAM Xochimilco"
"269HR23010106","2023-01-01",6,78,1,"%",269,"UAM Xochimilco"
"269HR23010107","2023-01-01",7,82,1,"%",269,"UAM Xochimilco"
"269HR23010108","2023-01-01",8,83,1,"%",269,"UAM Xochimilco"
"269HR23010109","2023-01-01",9,75,1,"%",269,"UAM Xochimilco"
"269HR23010110","2023-01-01",10,66,1,"%",269,"UAM Xochimilco"
"269HR23010111","2023-01-01",11,55,1,"%",269,"UAM Xochimilco"
"269HR23010112","2023-01-01",12,47,1,"%",269,"UAM Xochimilco"
"269HR23010113","2023-01-01",13,42,1,"%",269,"UAM Xochimilco"
"269HR23010114","2023-01-01",14,38,1,"%",269,"UAM Xochimilco"
"269HR23010115","2023-01-01",15,34,1,"%",269,"UAM Xochimilco"
"269HR23010116","2023-01-01",16,34,1,"%",269,"UAM Xochimilco"
"269HR23010117","2023-01-01",17,34,1,"%",269,"UAM Xochimilco"
"269HR23010118","2023-01-01",18,36,1,"%",269,"UAM Xochimilco"
"269HR23010119","2023-01-01",19,38,1,"%",269,"UAM Xochimilco"
"269HR23010120","2023-01-01",20,40,1,"%",269,"UAM Xochimilco"
"269HR23010121","2023-01-01",21,48,1,"%",269,"UAM Xochimilco"
"269HR23010122","2023-01-01",22,54,1,"%",269,"UAM Xochimilco"
"269HR23010123","2023-01-01",23,57,1,"%",269,"UAM Xochimilco"
"269HR23010200","2023-01-02",0,61,1,"%",269,"UAM Xochimilco"
"269HR23010201","2023-01-02",1,64,1,"%",269,"UAM Xochimilco"
"269HR23010202","2023-01-02",2,67,1,"%",269,"UAM Xochimilco"
"269HR23010203","2023-01-02",3,66,1,"%",269,"UAM Xochimilco"
"269HR23010204","2023-01-02",4,69,1,"%",269,"UAM Xochimilco"
"269HR23010205","2023-01-02",5,73,1,"%",269,"UAM Xochimilco"
"269HR23010206","2023-01-02",6,75,1,"%",269,"UAM Xochimilco"
"269HR23010207","2023-01-02",7,75,1,"%",269,"UAM Xochimilco"
"269HR23010208","2023-01-02",8,77,1,"%",269,"UAM Xochimilco"
