"id","date","hour","value","valid","unit","station_id","station_name"
"269TMP23010100","2023-01-01",0,10.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010101","2023-01-01",1,10,1,"°C",269,"UAM Xochimilco"
"269TMP23010102","2023-01-01",2,9.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010103","2023-01-01",3,8.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010104","2023-01-01",4,8.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010105","2023-01-01",5,8.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010106","2023-01-01",6,7.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010107","2023-01-01",7,6.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010108","2023-01-01",8,6.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010109","2023-01-01",9,8.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010110","2023-01-01",10,10.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010111","2023-01-01",11,13.7,1,"°C",269,"UAM Xochimilco"
"269TMP23010112","2023-01-01",12,16.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010113","2023-01-01",13,18.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010114","2023-01-01",14,19.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010115","2023-01-01",15,20.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010116","2023-01-01",16,20.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010117","2023-01-01",17,19.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010118","2023-01-01",18,18.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010119","2023-01-01",19,16.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010120","2023-01-01",20,15.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010121","2023-01-01",21,13.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010122","2023-01-01",22,12.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010123","2023-01-01",23,12.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010200","2023-01-02",0,11.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010201","2023-01-02",1,11.1,1,"°C",269,"UAM Xochimilco"
"269TMP23010202","2023-01-02",2,9.7,1,"°C",269,"UAM Xochimilco"
"269TMP23010203","2023-01-02",3,9.7,1,"°C",269,"UAM Xochimilco"
"269TMP23010204","2023-01-02",4,9.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010205","2023-01-02",5,8.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010206","2023-01-02",6,8.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010207","2023-01-02",7,8.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010208","2023-01-02",8,8.3,1,"°C",269,"UAM Xochimilco"
"269TMP23010209","2023-01-02",9,11.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010210","2023-01-02",10,14.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010211","2023-01-02",11,16.3,1,"°C",269,"UAM Xochimilco"
"269TMP23010212","2023-01-02",12,17.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010213","2023-01-02",13,18.3,1,"°C",269,"UAM Xochimilco"
"269TMP23010214","2023-01-02",14,18.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010215","2023-01-02",15,18.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010216","2023-01-02",16,18.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010217","2023-01-02",17,18,1,"°C",269,"UAM Xochimilco"
"269TMP23010218","2023-01-02",18,16.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010219","2023-01-02",19,15.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010220","2023-01-02",20,14.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010221","2023-01-02",21,14.3,1,"°C",269,"UAM Xochimilco"
"269TMP23010222","2023-01-02",22,13.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010223","2023-01-02",23,12.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010300","2023-01-03",0,13.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010301","2023-01-03",1,13.1,1,"°C",269,"UAM Xochimilco"
"269TMP23010302","2023-01-03",2,12.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010303","2023-01-03",3,12.7,1,"°C",269,"UAM Xochimilco"
"269TMP23010304","2023-01-03",4,12.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010305","2023-01-03",5,11.7,1,"°C",269,"UAM Xochimilco"
"269TMP23010306","2023-01-03",6,10.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010307","2023-01-03",7,9.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010308","2023-01-03",8,9.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010309","2023-01-03",9,11,1,"°C",269,"UAM Xochimilco"
"269TMP23010310","2023-01-03",10,13.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010311","2023-01-03",11,16.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010312","2023-01-03",12,19.3,1,"°C",269,"UAM Xochimilco"
"269TMP23010313","2023-01-03",13,20.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010314","2023-01-03",14,21.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010315","2023-01-03",15,21.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010316","2023-01-03",16,21.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010317","2023-01-03",17,20.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010318","2023-01-03",18,19.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010319","2023-01-03",19,17.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010320","2023-01-03",20,16,1,"°C",269,"UAM Xochimilco"
"269TMP23010321","2023-01-03",21,14.7,1,"°C",269,"UAM Xochimilco"
"269TMP23010322","2023-01-03",22,13.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010323","2023-01-03",23,14.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010400","2023-01-04",0,11.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010401","2023-01-04",1,10.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010404","2023-01-04",4,8.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010405","2023-01-04",5,8.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010406","2023-01-04",6,7.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010407","2023-01-04",7,7.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010408","2023-01-04",8,6.5,1,"°C",269,"UAM Xochimilco"
"269TMP23010409","2023-01-04",9,8.6,1,"°C",269,"UAM Xochimilco"
"269TMP23010410","2023-01-04",10,11.4,1,"°C",269,"UAM Xochimilco"
"269TMP23010412","2023-01-04",12,16.7,1,"°C",269,"UAM Xochimilco"
"269TMP23010413","2023-01-04",13,18.2,1,"°C",269,"UAM Xochimilco"
"269TMP23010414","2023-01-04",14,19.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010415","2023-01-04",15,20.9,1,"°C",269,"UAM Xochimilco"
"269TMP23010416","2023-01-04",16,21.8,1,"°C",269,"UAM Xochimilco"
"269TMP23010417","2023-01-04",17,21.5,1,"°C",269,"UAM Xochimilco"
