"station_id","station_name","registros"
240,"Acolman",0
241,"Ajusco",0
242,"Ajusco Medio",0
243,"Atizapán",0
244,"Camarones",599
245,"Centro de Ciencias de la Atmósfera",700
246,"Chalco",0
247,"Coyoacán",0
248,"Cuajimalpa",0
249,"Cuautitlán",0
250,"FES Acatlán",0
251,"Hospital General de México",0
252,"Iztacalco",0
253,"La Presa",0
254,"Los Laureles",0
255,"Lomas",0
256,"Merced",719
257,"Montecillo",0
258,"Nezahualcóyotl",326
259,"Pedregal",610
260,"San Agustín",714
261,"San Juan de Aragón",0
262,"Santa Fe",0
263,"Miguel Hidalgo",0
264,"Secretaría de Hacienda",0
265,"Tlahuac",0
266,"Tlalnepantla",547
267,"Tultitlán",0
268,"UAM Iztapalapa",650
269,"UAM Xochimilco",664
270,"Villa de las Flores",0
271,"Xalostoc",0
299,"Milpa Alta",0
300,"Benito Juárez",726
301,"Instituto Nacional de Investigaciones Nucleares",0
302,"Gustavo A. Madero",693
314,"Aragón",0
315,"Azcapotzalco",0
317,"Cerro de la estrella",0
318,"Cuitláhuac",0
320,"Hangares",0
322,"Instituto Mexicano del Petróleo",0
324,"Lagunilla",0
325,"La Villa",0
326,"Museo de la Ciudad de México",0
329,"Netzahualcóyotl ",0
331,"Netzahualcóyotl Sur",0
332,"Plateros",0
334,"Tacuba",0
335,"Taxqueña",0
336,"Tlalpan",0
338,"Xochimilco",0
399,"Metro Insurgentes",0
400,"Santa Ursula",0
401,"Vallejo",0
431,"FES Aragón",694
432,"Santiago Acahualtepec",713
436,"Santiago Acahualtepec",0
