"id","date","hour","value","valid","unit","station_id","station_name"
"431PM2.523010100","2023-01-01",0,25,1,"µg/m³",431,"FES Aragón"
"431PM2.523010102","2023-01-01",2,51,1,"µg/m³",431,"FES Aragón"
"431PM2.523010103","2023-01-01",3,114,1,"µg/m³",431,"FES Aragón"
"431PM2.523010104","2023-01-01",4,131,1,"µg/m³",431,"FES Aragón"
"431PM2.523010105","2023-01-01",5,119,1,"µg/m³",431,"FES Aragón"
"431PM2.523010106","2023-01-01",6,114,1,"µg/m³",431,"FES Aragón"
"431PM2.523010107","2023-01-01",7,154,1,"µg/m³",431,"FES Aragón"
"431PM2.523010108","2023-01-01",8,133,1,"µg/m³",431,"FES Aragón"
"431PM2.523010109","2023-01-01",9,83,1,"µg/m³",431,"FES Aragón"
"431PM2.523010110","2023-01-01",10,66,1,"µg/m³",431,"FES Aragón"
"431PM2.523010111","2023-01-01",11,79,1,"µg/m³",431,"FES Aragón"
"431PM2.523010112","2023-01-01",12,78,1,"µg/m³",431,"FES Aragón"
"431PM2.523010113","2023-01-01",13,39,1,"µg/m³",431,"FES Aragón"
"431PM2.523010115","2023-01-01",15,8,1,"µg/m³",431,"FES Aragón"
"431PM2.523010116","2023-01-01",16,3,1,"µg/m³",431,"FES Aragón"
"431PM2.523010117","2023-01-01",17,3,1,"µg/m³",431,"FES Aragón"
"431PM2.523010118","2023-01-01",18,7,1,"µg/m³",431,"FES Aragón"
"431PM2.523010119","2023-01-01",19,8,1,"µg/m³",431,"FES Aragón"
"431PM2.523010120","2023-01-01",20,5,1,"µg/m³",431,"FES Aragón"
"431PM2.523010121","2023-01-01",21,8,1,"µg/m³",431,"FES Aragón"
"431PM2.523010122","2023-01-01",22,11,1,"µg/m³",431,"FES Aragón"
"431PM2.523010123","2023-01-01",23,12,1,"µg/m³",431,"FES Aragón"
"431PM2.523010200","2023-01-02",0,23,1,"µg/m³",431,"FES Aragón"
"431PM2.523010202","2023-01-02",2,8,1,"µg/m³",431,"FES Aragón"
"431PM2.523010203","2023-01-02",3,18,1,"µg/m³",431,"FES Aragón"
"431PM2.523010204","2023-01-02",4,9,1,"µg/m³",431,"FES Aragón"
"431PM2.523010205","2023-01-02",5,9,1,"µg/m³",431,"FES Aragón"
"431PM2.523010206","2023-01-02",6,15,1,"µg/m³",431,"FES Aragón"
"431PM2.523010207","2023-01-02",7,21,1,"µg/m³",431,"FES Aragón"
"431PM2.523010208","2023-01-02",8,12,1,"µg/m³",431,"FES Aragón"
"431PM2.523010209","2023-01-02",9,16,1,"µg/m³",431,"FES Aragón"
"431PM2.523010210","2023-01-02",10,10,1,"µg/m³",431,"FES Aragón"
"431PM2.523010211","2023-01-02",11,5,1,"µg/m³",431,"FES Aragón"
"431PM2.523010212","2023-01-02",12,4,1,"µg/m³",431,"FES Aragón"
"431PM2.523010213","2023-01-02",13,2,1,"µg/m³",431,"FES Aragón"
"431PM2.523010214","2023-01-02",14,3,1,"µg/m³",431,"FES Aragón"
"431PM2.523010215","2023-01-02",15,4,1,"µg/m³",431,"FES Aragón"
"431PM2.523010216","2023-01-02",16,7,1,"µg/m³",431,"FES Aragón"
"431PM2.523010217","2023-01-02",17,6,1,"µg/m³",431,"FES Aragón"
"431PM2.523010218","2023-01-02",18,11,1,"µg/m³",431,"FES Aragón"
"431PM2.523010219","2023-01-02",19,18,1,"µg/m³",431,"FES Aragón"
"431PM2.523010220","2023-01-02",20,9,1,"µg/m³",431,"FES Aragón"
"431PM2.523010221","2023-01-02",21,16,1,"µg/m³",431,"FES Aragón"
"431PM2.523010222","2023-01-02",22,16,1,"µg/m³",431,"FES Aragón"
"431PM2.523010223","2023-01-02",23,12,1,"µg/m³",431,"FES Aragón"
"431PM2.523010300","2023-01-03",0,22,1,"µg/m³",431,"FES Aragón"
"431PM2.523010302","2023-01-03",2,12,1,"µg/m³",431,"FES Aragón"
"431PM2.523010303","2023-01-03",3,13,1,"µg/m³",431,"FES Aragón"
"431PM2.523010304","2023-01-03",4,14,1,"µg/m³",431,"FES Aragón"
"431PM2.523010305","2023-01-03",5,6,1,"µg/m³",431,"FES Aragón"
"431PM2.523010306","2023-01-03",6,11,1,"µg/m³",431,"FES Aragón"
"431PM2.523010307","2023-01-03",7,14,1,"µg/m³",431,"FES Aragón"
"431PM2.523010308","2023-01-03",8,8,1,"µg/m³",431,"FES Aragón"
"431PM2.523010309","2023-01-03",9,11,1,"µg/m³",431,"FES Aragón"
"431PM2.523010310","2023-01-03",10,10,1,"µg/m³",431,"FES Aragón"
"431PM2.523010311","2023-01-03",11,3,1,"µg/m³",431,"FES Aragón"
"431PM2.523010312","2023-01-03",12,6,1,"µg/m³",431,"FES Aragón"
"431PM2.523010313","2023-01-03",13,3,1,"µg/m³",431,"FES Aragón"
"431PM2.523010314","2023-01-03",14,1,1,"µg/m³",431,"FES Aragón"
"431PM2.523010317","2023-01-03",17,7,1,"µg/m³",431,"FES Aragón"
"431PM2.523010318","2023-01-03",18,6,1,"µg/m³",431,"FES Aragón"
"431PM2.523010319","2023-01-03",19,14,1,"µg/m³",431,"FES Aragón"
"431PM2.523010320","2023-01-03",20,22,1,"µg/m³",431,"FES Aragón"
"431PM2.523010321","2023-01-03",21,19,1,"µg/m³",431,"FES Aragón"
"431PM2.523010322","2023-01-03",22,18,1,"µg/m³",431,"FES Aragón"
"431PM2.523010323","2023-01-03",23,20,1,"µg/m³",431,"FES Aragón"
"431PM2.523010400","2023-01-04",0,18,1,"µg/m³",431,"FES Aragón"
"431PM2.523010402","2023-01-04",2,28,1,"µg/m³",431,"FES Aragón"
"431PM2.523010403","2023-01-04",3,25,1,"µg/m³",431,"FES Aragón"
"431PM2.523010404","2023-01-04",4,27,1,"µg/m³",431,"FES Aragón"
"431PM2.523010405","2023-01-04",5,26,1,"µg/m³",431,"FES Aragón"
"431PM2.523010406","2023-01-04",6,23,1,"µg/m³",431,"FES Aragón"
"431PM2.523010407","2023-01-04",7,26,1,"µg/m³",431,"FES Aragón"
"431PM2.523010408","2023-01-04",8,23,1,"µg/m³",431,"FES Aragón"
"431PM2.523010409","2023-01-04",9,24,1,"µg/m³",431,"FES Aragón"
"431PM2.523010410","2023-01-04",10,21,1,"µg/m³",431,"FES Aragón"
"431PM2.523010411","2023-01-04",11,12,1,"µg/m³",431,"FES Aragón"
"431PM2.523010412","2023-01-04",12,23,1,"µg/m³",431,"FES Aragón"
"431PM2.523010413","2023-01-04",13,20,1,"µg/m³",431,"FES Aragón"
"431PM2.523010414","2023-01-04",14,13,1,"µg/m³",431,"FES Aragón"
"431PM2.523010415","2023-01-04",15,13,1,"µg/m³",431,"FES Aragón"
"431PM2.523010416","2023-01-04",16,12,1,"µg/m³",431,"FES Aragón"
"431PM2.523010417","2023-01-04",17,12,1,"µg/m³",431,"FES Aragón"
"431PM2.523010418","2023-01-04",18,15,1,"µg/m³",431,"FES Aragón"
"431PM2.523010419","2023-01-04",19,18,1,"µg/m³",431,"FES Aragón"
"431PM2.523010420","2023-01-04",20,18,1,"µg/m³",431,"FES Aragón"
"431PM2.523010421","2023-01-04",21,17,1,"µg/m³",431,"FES Aragón"
"431PM2.523010422","2023-01-04",22,16,1,"µg/m³",431,"FES Aragón"
"431PM2.523010423","2023-01-04",23,17,1,"µg/m³",431,"FES Aragón"
"431PM2.523010500","2023-01-05",0,20,1,"µg/m³",431,"FES Aragón"
"431PM2.523010502","2023-01-05",2,21,1,"µg/m³",431,"FES Aragón"
"431PM2.523010503","2023-01-05",3,20,1,"µg/m³",431,"FES Aragón"
"431PM2.523010504","2023-01-05",4,18,1,"µg/m³",431,"FES Aragón"
"431PM2.523010505","2023-01-05",5,15,1,"µg/m³",431,"FES Aragón"
"431PM2.523010506","2023-01-05",6,26,1,"µg/m³",431,"FES Aragón"
