"id","date","hour","value","valid","unit","station_id","station_name"
"106HR23012715","2023-01-27",15,20.979,1,"%",106,"Miravalle"
"106HR23012716","2023-01-27",16,19.099,1,"%",106,"Miravalle"
"106HR23012717","2023-01-27",17,19.956,1,"%",106,"Miravalle"
"106HR23012718","2023-01-27",18,21.892,1,"%",106,"Miravalle"
"106HR23012719","2023-01-27",19,25.01,1,"%",106,"Miravalle"
"106HR23012720","2023-01-27",20,28.951,1,"%",106,"Miravalle"
"106HR23012721","2023-01-27",21,31.896,1,"%",106,"Miravalle"
"106HR23012722","2023-01-27",22,35.306,1,"%",106,"Miravalle"
"106HR23012723","2023-01-27",23,39.235,1,"%",106,"Miravalle"
"106HR23012800","2023-01-28",0,48.163,1,"%",106,"Miravalle"
"106HR23012801","2023-01-28",1,55.127,1,"%",106,"Miravalle"
"106HR23012802","2023-01-28",2,61.799,1,"%",106,"Miravalle"
"106HR23012803","2023-01-28",3,65.339,1,"%",106,"Miravalle"
"106HR23012804","2023-01-28",4,67.356,1,"%",106,"Miravalle"
"106HR23012805","2023-01-28",5,71.215,1,"%",106,"Miravalle"
"106HR23012806","2023-01-28",6,73.026,1,"%",106,"Miravalle"
"106HR23012807","2023-01-28",7,73.085,1,"%",106,"Miravalle"
"106HR23012808","2023-01-28",8,75.675,1,"%",106,"Miravalle"
"106HR23012809","2023-01-28",9,66.988,1,"%",106,"Miravalle"
"106HR23012810","2023-01-28",10,56.628,1,"%",106,"Miravalle"
"106HR23012811","2023-01-28",11,46.661,1,"%",106,"Miravalle"
"106HR23012812","2023-01-28",12,36.021,1,"%",106,"Miravalle"
"106HR23012813","2023-01-28",13,31.332,1,"%",106,"Miravalle"
"106HR23012814","2023-01-28",14,27.047,1,"%",106,"Miravalle"
"106HR23012815","2023-01-28",15,27.054,1,"%",106,"Miravalle"
"106HR23012816","2023-01-28",16,27.161,1,"%",106,"Miravalle"
"106HR23012817","2023-01-28",17,28.451,1,"%",106,"Miravalle"
"106HR23012818","2023-01-28",18,32.302,1,"%",106,"Miravalle"
"106HR23012819","2023-01-28",19,40.576,1,"%",106,"Miravalle"
"106HR23012820","2023-01-28",20,45.472,1,"%",106,"Miravalle"
"106HR23012821","2023-01-28",21,45.465,1,"%",106,"Miravalle"
"106HR23012822","2023-01-28",22,45.779,1,"%",106,"Miravalle"
"106HR23012823","2023-01-28",23,48.902,1,"%",106,"Miravalle"
"106HR23012900","2023-01-29",0,51.083,1,"%",106,"Miravalle"
"106HR23012901","2023-01-29",1,51.738,1,"%",106,"Miravalle"
"106HR23012902","2023-01-29",2,53.762,1,"%",106,"Miravalle"
"106HR23012903","2023-01-29",3,54.72,1,"%",106,"Miravalle"
"106HR23012904","2023-01-29",4,57.292,1,"%",106,"Miravalle"
"106HR23012905","2023-01-29",5,61.489,1,"%",106,"Miravalle"
