"id","date","hour","value","valid","unit","station_id","station_name"
"106PM2.523010101","2023-01-01",1,124.02,1,"µg/m³",106,"Miravalle"
"106PM2.523010102","2023-01-01",2,197.73,1,"µg/m³",106,"Miravalle"
"106PM2.523010103","2023-01-01",3,273.89,1,"µg/m³",106,"Miravalle"
"106PM2.523010104","2023-01-01",4,270.24,1,"µg/m³",106,"Miravalle"
"106PM2.523010105","2023-01-01",5,240.91,1,"µg/m³",106,"Miravalle"
"106PM2.523010106","2023-01-01",6,200.35,1,"µg/m³",106,"Miravalle"
"106PM2.523010107","2023-01-01",7,154.98,1,"µg/m³",106,"Miravalle"
"106PM2.523010108","2023-01-01",8,355.61,1,"µg/m³",106,"Miravalle"
"106PM2.523010109","2023-01-01",9,330.57,1,"µg/m³",106,"Miravalle"
"106PM2.523010110","2023-01-01",10,117.83,1,"µg/m³",106,"Miravalle"
"106PM2.523010111","2023-01-01",11,65.582,1,"µg/m³",106,"Miravalle"
"106PM2.523010112","2023-01-01",12,50.437,1,"µg/m³",106,"Miravalle"
"106PM2.523010113","2023-01-01",13,28.812,1,"µg/m³",106,"Miravalle"
"106PM2.523010114","2023-01-01",14,23.857,1,"µg/m³",106,"Miravalle"
"106PM2.523010115","2023-01-01",15,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010116","2023-01-01",16,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010117","2023-01-01",17,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010118","2023-01-01",18,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010119","2023-01-01",19,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010120","2023-01-01",20,6.6375,1,"µg/m³",106,"Miravalle"
"106PM2.523010121","2023-01-01",21,8.0863,1,"µg/m³",106,"Miravalle"
"106PM2.523010122","2023-01-01",22,7.2324,1,"µg/m³",106,"Miravalle"
"106PM2.523010123","2023-01-01",23,5.6532,1,"µg/m³",106,"Miravalle"
"106PM2.523010200","2023-01-02",0,5.7444,1,"µg/m³",106,"Miravalle"
"106PM2.523010201","2023-01-02",1,2.4621,1,"µg/m³",106,"Miravalle"
"106PM2.523010202","2023-01-02",2,1.4234,1,"µg/m³",106,"Miravalle"
"106PM2.523010203","2023-01-02",3,3.5643,1,"µg/m³",106,"Miravalle"
"106PM2.523010204","2023-01-02",4,3.8144,1,"µg/m³",106,"Miravalle"
"106PM2.523010205","2023-01-02",5,3.1852,1,"µg/m³",106,"Miravalle"
"106PM2.523010206","2023-01-02",6,3.8033,1,"µg/m³",106,"Miravalle"
"106PM2.523010207","2023-01-02",7,6.4765,1,"µg/m³",106,"Miravalle"
"106PM2.523010208","2023-01-02",8,11.927,1,"µg/m³",106,"Miravalle"
"106PM2.523010209","2023-01-02",9,21.485,1,"µg/m³",106,"Miravalle"
"106PM2.523010210","2023-01-02",10,25.879,1,"µg/m³",106,"Miravalle"
"106PM2.523010211","2023-01-02",11,18.48,1,"µg/m³",106,"Miravalle"
"106PM2.523010212","2023-01-02",12,14.888,1,"µg/m³",106,"Miravalle"
"106PM2.523010213","2023-01-02",13,5.1232,1,"µg/m³",106,"Miravalle"
"106PM2.523010214","2023-01-02",14,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010215","2023-01-02",15,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010216","2023-01-02",16,5.0272,1,"µg/m³",106,"Miravalle"
"106PM2.523010217","2023-01-02",17,5.8816,1,"µg/m³",106,"Miravalle"
"106PM2.523010218","2023-01-02",18,4.1069,1,"µg/m³",106,"Miravalle"
"106PM2.523010219","2023-01-02",19,6.4273,1,"µg/m³",106,"Miravalle"
"106PM2.523010220","2023-01-02",20,12.761,1,"µg/m³",106,"Miravalle"
"106PM2.523010221","2023-01-02",21,12.534,1,"µg/m³",106,"Miravalle"
"106PM2.523010222","2023-01-02",22,14.018,1,"µg/m³",106,"Miravalle"
"106PM2.523010223","2023-01-02",23,11.154,1,"µg/m³",106,"Miravalle"
"106PM2.523010300","2023-01-03",0,9.3303,1,"µg/m³",106,"Miravalle"
"106PM2.523010301","2023-01-03",1,12.253,1,"µg/m³",106,"Miravalle"
"106PM2.523010302","2023-01-03",2,6.9557,1,"µg/m³",106,"Miravalle"
"106PM2.523010303","2023-01-03",3,4.209,1,"µg/m³",106,"Miravalle"
"106PM2.523010304","2023-01-03",4,7.567,1,"µg/m³",106,"Miravalle"
"106PM2.523010305","2023-01-03",5,23.78,1,"µg/m³",106,"Miravalle"
"106PM2.523010306","2023-01-03",6,25.245,1,"µg/m³",106,"Miravalle"
"106PM2.523010307","2023-01-03",7,31.956,1,"µg/m³",106,"Miravalle"
"106PM2.523010308","2023-01-03",8,60.331,1,"µg/m³",106,"Miravalle"
"106PM2.523010309","2023-01-03",9,49.881,1,"µg/m³",106,"Miravalle"
"106PM2.523010310","2023-01-03",10,42.003,1,"µg/m³",106,"Miravalle"
"106PM2.523010311","2023-01-03",11,40.278,1,"µg/m³",106,"Miravalle"
"106PM2.523010312","2023-01-03",12,25.303,1,"µg/m³",106,"Miravalle"
"106PM2.523010313","2023-01-03",13,18.521,1,"µg/m³",106,"Miravalle"
"106PM2.523010314","2023-01-03",14,5.1891,1,"µg/m³",106,"Miravalle"
"106PM2.523010315","2023-01-03",15,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010316","2023-01-03",16,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010317","2023-01-03",17,0.53373,1,"µg/m³",106,"Miravalle"
"106PM2.523010318","2023-01-03",18,2.1371,1,"µg/m³",106,"Miravalle"
"106PM2.523010319","2023-01-03",19,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010320","2023-01-03",20,6.1029,1,"µg/m³",106,"Miravalle"
"106PM2.523010321","2023-01-03",21,16.597,1,"µg/m³",106,"Miravalle"
"106PM2.523010400","2023-01-04",0,10.742,1,"µg/m³",106,"Miravalle"
"106PM2.523010401","2023-01-04",1,NA,1,"µg/m³",106,"Miravalle"
"106PM2.523010402","2023-01-04",2,18.175,1,"µg/m³",106,"Miravalle"
"106PM2.523010403","2023-01-04",3,23.385,1,"µg/m³",106,"Miravalle"
"106PM2.523010404","2023-01-04",4,15.247,1,"µg/m³",106,"Miravalle"
"106PM2.523010409","2023-01-04",9,60.95,1,"µg/m³",106,"Miravalle"
"106PM2.523010410","2023-01-04",10,60.173,1,"µg/m³",106,"Miravalle"
"106PM2.523010411","2023-01-04",11,44.831,1,"µg/m³",106,"Miravalle"
"106PM2.523010412","2023-01-04",12,26.244,1,"µg/m³",106,"Miravalle"
"106PM2.523010413","2023-01-04",13,28.933,1,"µg/m³",106,"Miravalle"
"106PM2.523010414","2023-01-04",14,18.959,1,"µg/m³",106,"Miravalle"
"106PM2.523010415","2023-01-04",15,12.441,1,"µg/m³",106,"Miravalle"
"106PM2.523010416","2023-01-04",16,17.252,1,"µg/m³",106,"Miravalle"
"106PM2.523010417","2023-01-04",17,18.915,1,"µg/m³",106,"Miravalle"
"106PM2.523010418","2023-01-04",18,19.676,1,"µg/m³",106,"Miravalle"
"106PM2.523010419","2023-01-04",19,5.4056,1,"µg/m³",106,"Miravalle"
"106PM2.523010420","2023-01-04",20,25.289,1,"µg/m³",106,"Miravalle"
"106PM2.523010421","2023-01-04",21,38.171,1,"µg/m³",106,"Miravalle"
"106PM2.523010422","2023-01-04",22,69.305,1,"µg/m³",106,"Miravalle"
