"id","date","hour","value","valid","unit","station_id","station_name"
"146TMP23010102","2023-01-01",2,16.41,1,"°C",146,"Apodaca"
"146TMP23010103","2023-01-01",3,16.42,1,"°C",146,"Apodaca"
"146TMP23010105","2023-01-01",5,14,1,"°C",146,"Apodaca"
"146TMP23010106","2023-01-01",6,14.47,1,"°C",146,"Apodaca"
"146TMP23010109","2023-01-01",9,17.51,1,"°C",146,"Apodaca"
"146TMP23010111","2023-01-01",11,25.74,1,"°C",146,"Apodaca"
"146TMP23010112","2023-01-01",12,30.1,1,"°C",146,"Apodaca"
"146TMP23010115","2023-01-01",15,34.13,1,"°C",146,"Apodaca"
"146TMP23010116","2023-01-01",16,33.66,1,"°C",146,"Apodaca"
"146TMP23010117","2023-01-01",17,31.71,1,"°C",146,"Apodaca"
"146TMP23010119","2023-01-01",19,27.37,1,"°C",146,"Apodaca"
"146TMP23010120","2023-01-01",20,25.76,1,"°C",146,"Apodaca"
"146TMP23010121","2023-01-01",21,25.07,1,"°C",146,"Apodaca"
"146TMP23010122","2023-01-01",22,23.48,1,"°C",146,"Apodaca"
"146TMP23010123","2023-01-01",23,22.8,1,"°C",146,"Apodaca"
"146TMP23010200","2023-01-02",0,21.62,1,"°C",146,"Apodaca"
"146TMP23010201","2023-01-02",1,21.73,1,"°C",146,"Apodaca"
"146TMP23010202","2023-01-02",2,19.21,1,"°C",146,"Apodaca"
"146TMP23010203","2023-01-02",3,18.91,1,"°C",146,"Apodaca"
"146TMP23010204","2023-01-02",4,17.94,1,"°C",146,"Apodaca"
"146TMP23010205","2023-01-02",5,17.55,1,"°C",146,"Apodaca"
"146TMP23010206","2023-01-02",6,17.32,1,"°C",146,"Apodaca"
"146TMP23010207","2023-01-02",7,16.66,1,"°C",146,"Apodaca"
"146TMP23010208","2023-01-02",8,17.37,1,"°C",146,"Apodaca"
"146TMP23010209","2023-01-02",9,19.95,1,"°C",146,"Apodaca"
"146TMP23010213","2023-01-02",13,30.22,1,"°C",146,"Apodaca"
"146TMP23010215","2023-01-02",15,31.55,1,"°C",146,"Apodaca"
"146TMP23010216","2023-01-02",16,31.08,1,"°C",146,"Apodaca"
"146TMP23010217","2023-01-02",17,30.06,1,"°C",146,"Apodaca"
"146TMP23010218","2023-01-02",18,28.78,1,"°C",146,"Apodaca"
"146TMP23010219","2023-01-02",19,27.2,1,"°C",146,"Apodaca"
"146TMP23010220","2023-01-02",20,26.49,1,"°C",146,"Apodaca"
"146TMP23010221","2023-01-02",21,24.66,1,"°C",146,"Apodaca"
"146TMP23010222","2023-01-02",22,22.42,1,"°C",146,"Apodaca"
"146TMP23010223","2023-01-02",23,21.94,1,"°C",146,"Apodaca"
"146TMP23010300","2023-01-03",0,20.13,1,"°C",146,"Apodaca"
"146TMP23010301","2023-01-03",1,20.11,1,"°C",146,"Apodaca"
"146TMP23010302","2023-01-03",2,19.54,1,"°C",146,"Apodaca"
"146TMP23010303","2023-01-03",3,19.72,1,"°C",146,"Apodaca"
"146TMP23010304","2023-01-03",4,19.74,1,"°C",146,"Apodaca"
"146TMP23010305","2023-01-03",5,22.24,1,"°C",146,"Apodaca"
"146TMP23010306","2023-01-03",6,22.61,1,"°C",146,"Apodaca"
"146TMP23010307","2023-01-03",7,20.46,1,"°C",146,"Apodaca"
"146TMP23010308","2023-01-03",8,17.91,1,"°C",146,"Apodaca"
"146TMP23010309","2023-01-03",9,17.99,1,"°C",146,"Apodaca"
"146TMP23010310","2023-01-03",10,19.99,1,"°C",146,"Apodaca"
"146TMP23010311","2023-01-03",11,22.87,1,"°C",146,"Apodaca"
"146TMP23010312","2023-01-03",12,25.77,1,"°C",146,"Apodaca"
"146TMP23010313","2023-01-03",13,26.83,1,"°C",146,"Apodaca"
"146TMP23010314","2023-01-03",14,29.31,1,"°C",146,"Apodaca"
"146TMP23010315","2023-01-03",15,29.49,1,"°C",146,"Apodaca"
"146TMP23010316","2023-01-03",16,29.08,1,"°C",146,"Apodaca"
"146TMP23010317","2023-01-03",17,28.3,1,"°C",146,"Apodaca"
"146TMP23010318","2023-01-03",18,26.52,1,"°C",146,"Apodaca"
"146TMP23010319","2023-01-03",19,24.72,1,"°C",146,"Apodaca"
"146TMP23010320","2023-01-03",20,22.85,1,"°C",146,"Apodaca"
"146TMP23010321","2023-01-03",21,22.01,1,"°C",146,"Apodaca"
"146TMP23010322","2023-01-03",22,21.4,1,"°C",146,"Apodaca"
"146TMP23010323","2023-01-03",23,20.74,1,"°C",146,"Apodaca"
"146TMP23010400","2023-01-04",0,18.56,1,"°C",146,"Apodaca"
"146TMP23010401","2023-01-04",1,17.36,1,"°C",146,"Apodaca"
"146TMP23010402","2023-01-04",2,16.83,1,"°C",146,"Apodaca"
"146TMP23010403","2023-01-04",3,16.39,1,"°C",146,"Apodaca"
"146TMP23010404","2023-01-04",4,16.17,1,"°C",146,"Apodaca"
"146TMP23010405","2023-01-04",5,15.83,1,"°C",146,"Apodaca"
"146TMP23010406","2023-01-04",6,15.34,1,"°C",146,"Apodaca"
"146TMP23010407","2023-01-04",7,15.28,1,"°C",146,"Apodaca"
"146TMP23010408","2023-01-04",8,14.58,1,"°C",146,"Apodaca"
"146TMP23010409","2023-01-04",9,16.97,1,"°C",146,"Apodaca"
"146TMP23010410","2023-01-04",10,20.74,1,"°C",146,"Apodaca"
"146TMP23010411","2023-01-04",11,25.2,1,"°C",146,"Apodaca"
"146TMP23010412","2023-01-04",12,24.96,1,"°C",146,"Apodaca"
"146TMP23010413","2023-01-04",13,25.5,1,"°C",146,"Apodaca"
"146TMP23010414","2023-01-04",14,26.02,1,"°C",146,"Apodaca"
"146TMP23010415","2023-01-04",15,26.61,1,"°C",146,"Apodaca"
"146TMP23010416","2023-01-04",16,26.7,1,"°C",146,"Apodaca"
"146TMP23010417","2023-01-04",17,26.31,1,"°C",146,"Apodaca"
"146TMP23010418","2023-01-04",18,25.34,1,"°C",146,"Apodaca"
"146TMP23010419","2023-01-04",19,24.09,1,"°C",146,"Apodaca"
"146TMP23010420","2023-01-04",20,22.99,1,"°C",146,"Apodaca"
"146TMP23010421","2023-01-04",21,22.02,1,"°C",146,"Apodaca"
"146TMP23010422","2023-01-04",22,21.24,1,"°C",146,"Apodaca"
"146TMP23010423","2023-01-04",23,19.15,1,"°C",146,"Apodaca"
"146TMP23010500","2023-01-05",0,18.08,1,"°C",146,"Apodaca"
"146TMP23010501","2023-01-05",1,17.83,1,"°C",146,"Apodaca"
"146TMP23010502","2023-01-05",2,16.72,1,"°C",146,"Apodaca"
"146TMP23010503","2023-01-05",3,14.8,1,"°C",146,"Apodaca"
"146TMP23010504","2023-01-05",4,14.44,1,"°C",146,"Apodaca"
"146TMP23010505","2023-01-05",5,14.05,1,"°C",146,"Apodaca"
"146TMP23010506","2023-01-05",6,13.83,1,"°C",146,"Apodaca"
"146TMP23010507","2023-01-05",7,13.76,1,"°C",146,"Apodaca"
"146TMP23010508","2023-01-05",8,13.39,1,"°C",146,"Apodaca"
"146TMP23010509","2023-01-05",9,14.93,1,"°C",146,"Apodaca"
"146TMP23010510","2023-01-05",10,18.61,1,"°C",146,"Apodaca"
"146TMP23010511","2023-01-05",11,21.09,1,"°C",146,"Apodaca"
"146TMP23010512","2023-01-05",12,24.41,1,"°C",146,"Apodaca"
"146TMP23010515","2023-01-05",15,27.62,1,"°C",146,"Apodaca"
"146TMP23010516","2023-01-05",16,27.62,1,"°C",146,"Apodaca"
"146TMP23010517","2023-01-05",17,27,1,"°C",146,"Apodaca"
"146TMP23010518","2023-01-05",18,26.34,1,"°C",146,"Apodaca"
"146TMP23010519","2023-01-05",19,25.04,1,"°C",146,"Apodaca"
"146TMP23010520","2023-01-05",20,23.44,1,"°C",146,"Apodaca"
"146TMP23010521","2023-01-05",21,21.74,1,"°C",146,"Apodaca"
"146TMP23010522","2023-01-05",22,21.19,1,"°C",146,"Apodaca"
"146TMP23010523","2023-01-05",23,20.57,1,"°C",146,"Apodaca"
"146TMP23010600","2023-01-06",0,19.13,1,"°C",146,"Apodaca"
"146TMP23010601","2023-01-06",1,17.81,1,"°C",146,"Apodaca"
"146TMP23010602","2023-01-06",2,17.03,1,"°C",146,"Apodaca"
"146TMP23010603","2023-01-06",3,17,1,"°C",146,"Apodaca"
"146TMP23010604","2023-01-06",4,16.89,1,"°C",146,"Apodaca"
"146TMP23010605","2023-01-06",5,16.72,1,"°C",146,"Apodaca"
"146TMP23010606","2023-01-06",6,16.79,1,"°C",146,"Apodaca"
"146TMP23010607","2023-01-06",7,16.84,1,"°C",146,"Apodaca"
"146TMP23010608","2023-01-06",8,16.87,1,"°C",146,"Apodaca"
"146TMP23010609","2023-01-06",9,17.26,1,"°C",146,"Apodaca"
"146TMP23010610","2023-01-06",10,18.51,1,"°C",146,"Apodaca"
