"id","date","hour","value","valid","unit","station_id","station_name"
"142HR23010101","2023-01-01",1,61,1,"%",142,"San Nicolás"
"142HR23010102","2023-01-01",2,69,1,"%",142,"San Nicolás"
"142HR23010103","2023-01-01",3,72,1,"%",142,"San Nicolás"
"142HR23010104","2023-01-01",4,72,1,"%",142,"San Nicolás"
"142HR23010105","2023-01-01",5,70,1,"%",142,"San Nicolás"
"142HR23010106","2023-01-01",6,71,1,"%",142,"San Nicolás"
"142HR23010107","2023-01-01",7,63,1,"%",142,"San Nicolás"
"142HR23010108","2023-01-01",8,69,1,"%",142,"San Nicolás"
"142HR23010109","2023-01-01",9,60,1,"%",142,"San Nicolás"
"142HR23010110","2023-01-01",10,46,1,"%",142,"San Nicolás"
"142HR23010111","2023-01-01",11,33,1,"%",142,"San Nicolás"
"142HR23010112","2023-01-01",12,29,1,"%",142,"San Nicolás"
"142HR23010113","2023-01-01",13,22,1,"%",142,"San Nicolás"
"142HR23010114","2023-01-01",14,17,1,"%",142,"San Nicolás"
"142HR23010115","2023-01-01",15,15,1,"%",142,"San Nicolás"
"142HR23010116","2023-01-01",16,16,1,"%",142,"San Nicolás"
"142HR23010117","2023-01-01",17,23,1,"%",142,"San Nicolás"
"142HR23010118","2023-01-01",18,29,1,"%",142,"San Nicolás"
"142HR23010119","2023-01-01",19,33,1,"%",142,"San Nicolás"
"142HR23010120","2023-01-01",20,39,1,"%",142,"San Nicolás"
"142HR23010121","2023-01-01",21,53,1,"%",142,"San Nicolás"
"142HR23010122","2023-01-01",22,59,1,"%",142,"San Nicolás"
"142HR23010123","2023-01-01",23,60,1,"%",142,"San Nicolás"
"142HR23010200","2023-01-02",0,61,1,"%",142,"San Nicolás"
"142HR23010201","2023-01-02",1,67,1,"%",142,"San Nicolás"
"142HR23010202","2023-01-02",2,72,1,"%",142,"San Nicolás"
"142HR23010203","2023-01-02",3,77,1,"%",142,"San Nicolás"
"142HR23010204","2023-01-02",4,82,1,"%",142,"San Nicolás"
"142HR23010205","2023-01-02",5,85,1,"%",142,"San Nicolás"
"142HR23010206","2023-01-02",6,87,1,"%",142,"San Nicolás"
"142HR23010207","2023-01-02",7,88,1,"%",142,"San Nicolás"
"142HR23010208","2023-01-02",8,86,1,"%",142,"San Nicolás"
"142HR23010209","2023-01-02",9,75,1,"%",142,"San Nicolás"
"142HR23010210","2023-01-02",10,69,1,"%",142,"San Nicolás"
"142HR23010211","2023-01-02",11,57,1,"%",142,"San Nicolás"
"142HR23010212","2023-01-02",12,36,1,"%",142,"San Nicolás"
"142HR23010213","2023-01-02",13,27,1,"%",142,"San Nicolás"
"142HR23010214","2023-01-02",14,20,1,"%",142,"San Nicolás"
"142HR23010215","2023-01-02",15,19,1,"%",142,"San Nicolás"
"142HR23010216","2023-01-02",16,25,1,"%",142,"San Nicolás"
"142HR23010217","2023-01-02",17,26,1,"%",142,"San Nicolás"
"142HR23010218","2023-01-02",18,30,1,"%",142,"San Nicolás"
"142HR23010219","2023-01-02",19,34,1,"%",142,"San Nicolás"
"142HR23010220","2023-01-02",20,39,1,"%",142,"San Nicolás"
"142HR23010221","2023-01-02",21,44,1,"%",142,"San Nicolás"
"142HR23010222","2023-01-02",22,42,1,"%",142,"San Nicolás"
"142HR23010223","2023-01-02",23,43,1,"%",142,"San Nicolás"
"142HR23010300","2023-01-03",0,51,1,"%",142,"San Nicolás"
"142HR23010301","2023-01-03",1,52,1,"%",142,"San Nicolás"
"142HR23010302","2023-01-03",2,48,1,"%",142,"San Nicolás"
"142HR23010303","2023-01-03",3,44,1,"%",142,"San Nicolás"
"142HR23010304","2023-01-03",4,37,1,"%",142,"San Nicolás"
"142HR23010305","2023-01-03",5,34,1,"%",142,"San Nicolás"
"142HR23010306","2023-01-03",6,27,1,"%",142,"San Nicolás"
"142HR23010307","2023-01-03",7,32,1,"%",142,"San Nicolás"
"142HR23010308","2023-01-03",8,40,1,"%",142,"San Nicolás"
"142HR23010309","2023-01-03",9,37,1,"%",142,"San Nicolás"
"142HR23010310","2023-01-03",10,32,1,"%",142,"San Nicolás"
"142HR23010311","2023-01-03",11,27,1,"%",142,"San Nicolás"
"142HR23010312","2023-01-03",12,23,1,"%",142,"San Nicolás"
"142HR23010313","2023-01-03",13,20,1,"%",142,"San Nicolás"
"142HR23010314","2023-01-03",14,17,1,"%",142,"San Nicolás"
"142HR23010315","2023-01-03",15,16,1,"%",142,"San Nicolás"
"142HR23010316","2023-01-03",16,15,1,"%",142,"San Nicolás"
"142HR23010317","2023-01-03",17,21,1,"%",142,"San Nicolás"
"142HR23010318","2023-01-03",18,22,1,"%",142,"San Nicolás"
"142HR23010319","2023-01-03",19,23,1,"%",142,"San Nicolás"
"142HR23010320","2023-01-03",20,26,1,"%",142,"San Nicolás"
"142HR23010321","2023-01-03",21,27,1,"%",142,"San Nicolás"
"142HR23010322","2023-01-03",22,29,1,"%",142,"San Nicolás"
"142HR23010323","2023-01-03",23,32,1,"%",142,"San Nicolás"
"142HR23010400","2023-01-04",0,38,1,"%",142,"San Nicolás"
"142HR23010401","2023-01-04",1,40,1,"%",142,"San Nicolás"
"142HR23010402","2023-01-04",2,41,1,"%",142,"San Nicolás"
"142HR23010403","2023-01-04",3,41,1,"%",142,"San Nicolás"
"142HR23010404","2023-01-04",4,44,1,"%",142,"San Nicolás"
"142HR23010405","2023-01-04",5,47,1,"%",142,"San Nicolás"
"142HR23010406","2023-01-04",6,48,1,"%",142,"San Nicolás"
"142HR23010407","2023-01-04",7,49,1,"%",142,"San Nicolás"
"142HR23010408","2023-01-04",8,52,1,"%",142,"San Nicolás"
"142HR23010409","2023-01-04",9,43,1,"%",142,"San Nicolás"
