"id","date","hour","value","valid","unit","station_id","station_name"
"142PM2.523010102","2023-01-01",2,400,1,"µg/m³",142,"San Nicolás"
"142PM2.523010103","2023-01-01",3,349,1,"µg/m³",142,"San Nicolás"
"142PM2.523010104","2023-01-01",4,260,1,"µg/m³",142,"San Nicolás"
"142PM2.523010105","2023-01-01",5,157,1,"µg/m³",142,"San Nicolás"
"142PM2.523010106","2023-01-01",6,195,1,"µg/m³",142,"San Nicolás"
"142PM2.523010107","2023-01-01",7,90,1,"µg/m³",142,"San Nicolás"
"142PM2.523010108","2023-01-01",8,110,1,"µg/m³",142,"San Nicolás"
"142PM2.523010109","2023-01-01",9,100,1,"µg/m³",142,"San Nicolás"
"142PM2.523010110","2023-01-01",10,69,1,"µg/m³",142,"San Nicolás"
"142PM2.523010111","2023-01-01",11,35,1,"µg/m³",142,"San Nicolás"
"142PM2.523010112","2023-01-01",12,47,1,"µg/m³",142,"San Nicolás"
"142PM2.523010113","2023-01-01",13,30,1,"µg/m³",142,"San Nicolás"
"142PM2.523010114","2023-01-01",14,14,1,"µg/m³",142,"San Nicolás"
"142PM2.523010115","2023-01-01",15,11,1,"µg/m³",142,"San Nicolás"
"142PM2.523010116","2023-01-01",16,21,1,"µg/m³",142,"San Nicolás"
"142PM2.523010117","2023-01-01",17,31,1,"µg/m³",142,"San Nicolás"
"142PM2.523010118","2023-01-01",18,39,1,"µg/m³",142,"San Nicolás"
"142PM2.523010119","2023-01-01",19,45,1,"µg/m³",142,"San Nicolás"
"142PM2.523010120","2023-01-01",20,61,1,"µg/m³",142,"San Nicolás"
"142PM2.523010121","2023-01-01",21,29,1,"µg/m³",142,"San Nicolás"
"142PM2.523010122","2023-01-01",22,33,1,"µg/m³",142,"San Nicolás"
"142PM2.523010123","2023-01-01",23,32,1,"µg/m³",142,"San Nicolás"
"142PM2.523010200","2023-01-02",0,31,1,"µg/m³",142,"San Nicolás"
"142PM2.523010201","2023-01-02",1,36,1,"µg/m³",142,"San Nicolás"
"142PM2.523010202","2023-01-02",2,31,1,"µg/m³",142,"San Nicolás"
"142PM2.523010203","2023-01-02",3,27,1,"µg/m³",142,"San Nicolás"
"142PM2.523010204","2023-01-02",4,28,1,"µg/m³",142,"San Nicolás"
"142PM2.523010205","2023-01-02",5,33,1,"µg/m³",142,"San Nicolás"
"142PM2.523010206","2023-01-02",6,32,1,"µg/m³",142,"San Nicolás"
"142PM2.523010207","2023-01-02",7,30,1,"µg/m³",142,"San Nicolás"
"142PM2.523010208","2023-01-02",8,37,1,"µg/m³",142,"San Nicolás"
"142PM2.523010209","2023-01-02",9,46,1,"µg/m³",142,"San Nicolás"
"142PM2.523010210","2023-01-02",10,40,1,"µg/m³",142,"San Nicolás"
"142PM2.523010211","2023-01-02",11,38,1,"µg/m³",142,"San Nicolás"
"142PM2.523010212","2023-01-02",12,23,1,"µg/m³",142,"San Nicolás"
"142PM2.523010213","2023-01-02",13,16,1,"µg/m³",142,"San Nicolás"
"142PM2.523010214","2023-01-02",14,10,1,"µg/m³",142,"San Nicolás"
"142PM2.523010215","2023-01-02",15,10,1,"µg/m³",142,"San Nicolás"
"142PM2.523010216","2023-01-02",16,15,1,"µg/m³",142,"San Nicolás"
"142PM2.523010217","2023-01-02",17,13,1,"µg/m³",142,"San Nicolás"
"142PM2.523010218","2023-01-02",18,18,1,"µg/m³",142,"San Nicolás"
"142PM2.523010219","2023-01-02",19,29,1,"µg/m³",142,"San Nicolás"
"142PM2.523010220","2023-01-02",20,41,1,"µg/m³",142,"San Nicolás"
"142PM2.523010221","2023-01-02",21,74,1,"µg/m³",142,"San Nicolás"
"142PM2.523010222","2023-01-02",22,47,1,"µg/m³",142,"San Nicolás"
"142PM2.523010223","2023-01-02",23,38,1,"µg/m³",142,"San Nicolás"
"142PM2.523010300","2023-01-03",0,62,1,"µg/m³",142,"San Nicolás"
"142PM2.523010301","2023-01-03",1,76,1,"µg/m³",142,"San Nicolás"
"142PM2.523010302","2023-01-03",2,57,1,"µg/m³",142,"San Nicolás"
"142PM2.523010303","2023-01-03",3,40,1,"µg/m³",142,"San Nicolás"
"142PM2.523010304","2023-01-03",4,14,1,"µg/m³",142,"San Nicolás"
"142PM2.523010305","2023-01-03",5,18,1,"µg/m³",142,"San Nicolás"
"142PM2.523010306","2023-01-03",6,11,1,"µg/m³",142,"San Nicolás"
"142PM2.523010307","2023-01-03",7,11,1,"µg/m³",142,"San Nicolás"
"142PM2.523010308","2023-01-03",8,10,1,"µg/m³",142,"San Nicolás"
"142PM2.523010309","2023-01-03",9,10,1,"µg/m³",142,"San Nicolás"
"142PM2.523010310","2023-01-03",10,11,1,"µg/m³",142,"San Nicolás"
"142PM2.523010311","2023-01-03",11,10,1,"µg/m³",142,"San Nicolás"
"142PM2.523010312","2023-01-03",12,7,1,"µg/m³",142,"San Nicolás"
"142PM2.523010313","2023-01-03",13,7,1,"µg/m³",142,"San Nicolás"
"142PM2.523010314","2023-01-03",14,8,1,"µg/m³",142,"San Nicolás"
"142PM2.523010315","2023-01-03",15,12,1,"µg/m³",142,"San Nicolás"
"142PM2.523010316","2023-01-03",16,11,1,"µg/m³",142,"San Nicolás"
