"id","date","hour","value","valid","unit","station_id","station_name"
"142TMP23010101","2023-01-01",1,17.32,1,"°C",142,"San Nicolás"
"142TMP23010102","2023-01-01",2,16.22,1,"°C",142,"San Nicolás"
"142TMP23010103","2023-01-01",3,15.57,1,"°C",142,"San Nicolás"
"142TMP23010104","2023-01-01",4,15.53,1,"°C",142,"San Nicolás"
"142TMP23010105","2023-01-01",5,15.18,1,"°C",142,"San Nicolás"
"142TMP23010106","2023-01-01",6,14.9,1,"°C",142,"San Nicolás"
"142TMP23010107","2023-01-01",7,15.68,1,"°C",142,"San Nicolás"
"142TMP23010108","2023-01-01",8,14.15,1,"°C",142,"San Nicolás"
"142TMP23010109","2023-01-01",9,18.7,1,"°C",142,"San Nicolás"
"142TMP23010110","2023-01-01",10,22.76,1,"°C",142,"San Nicolás"
"142TMP23010111","2023-01-01",11,25.76,1,"°C",142,"San Nicolás"
"142TMP23010112","2023-01-01",12,28.5,1,"°C",142,"San Nicolás"
"142TMP23010113","2023-01-01",13,30.81,1,"°C",142,"San Nicolás"
"142TMP23010114","2023-01-01",14,32.07,1,"°C",142,"San Nicolás"
"142TMP23010115","2023-01-01",15,32.72,1,"°C",142,"San Nicolás"
"142TMP23010116","2023-01-01",16,31.93,1,"°C",142,"San Nicolás"
"142TMP23010117","2023-01-01",17,30.53,1,"°C",142,"San Nicolás"
"142TMP23010118","2023-01-01",18,28.41,1,"°C",142,"San Nicolás"
"142TMP23010119","2023-01-01",19,26.53,1,"°C",142,"San Nicolás"
"142TMP23010120","2023-01-01",20,25.04,1,"°C",142,"San Nicolás"
"142TMP23010121","2023-01-01",21,24.13,1,"°C",142,"San Nicolás"
"142TMP23010122","2023-01-01",22,22.5,1,"°C",142,"San Nicolás"
"142TMP23010123","2023-01-01",23,22,1,"°C",142,"San Nicolás"
"142TMP23010200","2023-01-02",0,21.41,1,"°C",142,"San Nicolás"
"142TMP23010201","2023-01-02",1,19.98,1,"°C",142,"San Nicolás"
"142TMP23010202","2023-01-02",2,18.92,1,"°C",142,"San Nicolás"
"142TMP23010203","2023-01-02",3,17.95,1,"°C",142,"San Nicolás"
"142TMP23010204","2023-01-02",4,17.46,1,"°C",142,"San Nicolás"
"142TMP23010205","2023-01-02",5,17.03,1,"°C",142,"San Nicolás"
"142TMP23010206","2023-01-02",6,16.77,1,"°C",142,"San Nicolás"
"142TMP23010207","2023-01-02",7,16.85,1,"°C",142,"San Nicolás"
"142TMP23010208","2023-01-02",8,16.97,1,"°C",142,"San Nicolás"
"142TMP23010209","2023-01-02",9,18.72,1,"°C",142,"San Nicolás"
"142TMP23010210","2023-01-02",10,21.88,1,"°C",142,"San Nicolás"
"142TMP23010211","2023-01-02",11,25.48,1,"°C",142,"San Nicolás"
"142TMP23010212","2023-01-02",12,28.39,1,"°C",142,"San Nicolás"
"142TMP23010213","2023-01-02",13,29.61,1,"°C",142,"San Nicolás"
"142TMP23010214","2023-01-02",14,31.28,1,"°C",142,"San Nicolás"
"142TMP23010215","2023-01-02",15,30.86,1,"°C",142,"San Nicolás"
"142TMP23010216","2023-01-02",16,29.7,1,"°C",142,"San Nicolás"
"142TMP23010217","2023-01-02",17,29.13,1,"°C",142,"San Nicolás"
"142TMP23010218","2023-01-02",18,27.75,1,"°C",142,"San Nicolás"
"142TMP23010219","2023-01-02",19,25.84,1,"°C",142,"San Nicolás"
"142TMP23010220","2023-01-02",20,24.36,1,"°C",142,"San Nicolás"
"142TMP23010221","2023-01-02",21,22.39,1,"°C",142,"San Nicolás"
"142TMP23010222","2023-01-02",22,22.5,1,"°C",142,"San Nicolás"
"142TMP23010223","2023-01-02",23,20.82,1,"°C",142,"San Nicolás"
"142TMP23010300","2023-01-03",0,19.79,1,"°C",142,"San Nicolás"
"142TMP23010301","2023-01-03",1,19.72,1,"°C",142,"San Nicolás"
"142TMP23010302","2023-01-03",2,19.65,1,"°C",142,"San Nicolás"
"142TMP23010303","2023-01-03",3,19.65,1,"°C",142,"San Nicolás"
"142TMP23010304","2023-01-03",4,19.71,1,"°C",142,"San Nicolás"
"142TMP23010305","2023-01-03",5,20.98,1,"°C",142,"San Nicolás"
"142TMP23010306","2023-01-03",6,22.4,1,"°C",142,"San Nicolás"
"142TMP23010307","2023-01-03",7,20.22,1,"°C",142,"San Nicolás"
"142TMP23010308","2023-01-03",8,16.79,1,"°C",142,"San Nicolás"
"142TMP23010309","2023-01-03",9,16.9,1,"°C",142,"San Nicolás"
"142TMP23010310","2023-01-03",10,19.46,1,"°C",142,"San Nicolás"
"142TMP23010311","2023-01-03",11,22.01,1,"°C",142,"San Nicolás"
"142TMP23010312","2023-01-03",12,25,1,"°C",142,"San Nicolás"
"142TMP23010313","2023-01-03",13,25.85,1,"°C",142,"San Nicolás"
"142TMP23010314","2023-01-03",14,27.8,1,"°C",142,"San Nicolás"
"142TMP23010315","2023-01-03",15,28.34,1,"°C",142,"San Nicolás"
"142TMP23010316","2023-01-03",16,28.55,1,"°C",142,"San Nicolás"
"142TMP23010317","2023-01-03",17,27.44,1,"°C",142,"San Nicolás"
"142TMP23010318","2023-01-03",18,25.71,1,"°C",142,"San Nicolás"
"142TMP23010319","2023-01-03",19,23.73,1,"°C",142,"San Nicolás"
"142TMP23010320","2023-01-03",20,22.24,1,"°C",142,"San Nicolás"
"142TMP23010321","2023-01-03",21,21.5,1,"°C",142,"San Nicolás"
"142TMP23010322","2023-01-03",22,20.54,1,"°C",142,"San Nicolás"
"142TMP23010323","2023-01-03",23,19.47,1,"°C",142,"San Nicolás"
"142TMP23010400","2023-01-04",0,18.46,1,"°C",142,"San Nicolás"
"142TMP23010401","2023-01-04",1,17.58,1,"°C",142,"San Nicolás"
"142TMP23010402","2023-01-04",2,16.8,1,"°C",142,"San Nicolás"
"142TMP23010403","2023-01-04",3,16.12,1,"°C",142,"San Nicolás"
"142TMP23010404","2023-01-04",4,15.66,1,"°C",142,"San Nicolás"
"142TMP23010405","2023-01-04",5,15.1,1,"°C",142,"San Nicolás"
