"id","date","hour","value","valid","unit","station_id","station_name"
"148HR23010101","2023-01-01",1,46,1,"%",148,"San Pedro"
"148HR23010102","2023-01-01",2,47,1,"%",148,"San Pedro"
"148HR23010103","2023-01-01",3,44,1,"%",148,"San Pedro"
"148HR23010104","2023-01-01",4,44,1,"%",148,"San Pedro"
"148HR23010105","2023-01-01",5,47,1,"%",148,"San Pedro"
"148HR23010106","2023-01-01",6,48,1,"%",148,"San Pedro"
"148HR23010107","2023-01-01",7,48,1,"%",148,"San Pedro"
"148HR23010108","2023-01-01",8,44,1,"%",148,"San Pedro"
"148HR23010109","2023-01-01",9,36,1,"%",148,"San Pedro"
"148HR23010110","2023-01-01",10,27,1,"%",148,"San Pedro"
"148HR23010111","2023-01-01",11,21,1,"%",148,"San Pedro"
"148HR23010112","2023-01-01",12,15,1,"%",148,"San Pedro"
"148HR23010113","2023-01-01",13,16,1,"%",148,"San Pedro"
"148HR23010114","2023-01-01",14,15,1,"%",148,"San Pedro"
"148HR23010115","2023-01-01",15,15,1,"%",148,"San Pedro"
"148HR23010116","2023-01-01",16,15,1,"%",148,"San Pedro"
"148HR23010117","2023-01-01",17,17,1,"%",148,"San Pedro"
"148HR23010118","2023-01-01",18,22,1,"%",148,"San Pedro"
"148HR23010119","2023-01-01",19,27,1,"%",148,"San Pedro"
"148HR23010120","2023-01-01",20,29,1,"%",148,"San Pedro"
"148HR23010121","2023-01-01",21,32,1,"%",148,"San Pedro"
"148HR23010122","2023-01-01",22,37,1,"%",148,"San Pedro"
"148HR23010123","2023-01-01",23,40,1,"%",148,"San Pedro"
"148HR23010200","2023-01-02",0,42,1,"%",148,"San Pedro"
"148HR23010201","2023-01-02",1,48,1,"%",148,"San Pedro"
"148HR23010202","2023-01-02",2,49,1,"%",148,"San Pedro"
"148HR23010203","2023-01-02",3,49,1,"%",148,"San Pedro"
"148HR23010204","2023-01-02",4,47,1,"%",148,"San Pedro"
"148HR23010205","2023-01-02",5,47,1,"%",148,"San Pedro"
"148HR23010206","2023-01-02",6,52,1,"%",148,"San Pedro"
"148HR23010207","2023-01-02",7,45,1,"%",148,"San Pedro"
"148HR23010208","2023-01-02",8,27,1,"%",148,"San Pedro"
"148HR23010209","2023-01-02",9,30,1,"%",148,"San Pedro"
"148HR23010210","2023-01-02",10,29,1,"%",148,"San Pedro"
"148HR23010211","2023-01-02",11,28,1,"%",148,"San Pedro"
"148HR23010212","2023-01-02",12,27,1,"%",148,"San Pedro"
"148HR23010213","2023-01-02",13,25,1,"%",148,"San Pedro"
"148HR23010214","2023-01-02",14,24,1,"%",148,"San Pedro"
"148HR23010215","2023-01-02",15,23,1,"%",148,"San Pedro"
"148HR23010216","2023-01-02",16,21,1,"%",148,"San Pedro"
"148HR23010217","2023-01-02",17,23,1,"%",148,"San Pedro"
"148HR23010218","2023-01-02",18,25,1,"%",148,"San Pedro"
"148HR23010219","2023-01-02",19,26,1,"%",148,"San Pedro"
"148HR23010220","2023-01-02",20,28,1,"%",148,"San Pedro"
"148HR23010221","2023-01-02",21,29,1,"%",148,"San Pedro"
"148HR23010222","2023-01-02",22,29,1,"%",148,"San Pedro"
"148HR23010223","2023-01-02",23,29,1,"%",148,"San Pedro"
"148HR23010300","2023-01-03",0,29,1,"%",148,"San Pedro"
"148HR23010301","2023-01-03",1,29,1,"%",148,"San Pedro"
"148HR23010302","2023-01-03",2,30,1,"%",148,"San Pedro"
"148HR23010303","2023-01-03",3,30,1,"%",148,"San Pedro"
"148HR23010304","2023-01-03",4,32,1,"%",148,"San Pedro"
"148HR23010305","2023-01-03",5,25,1,"%",148,"San Pedro"
"148HR23010306","2023-01-03",6,23,1,"%",148,"San Pedro"
"148HR23010307","2023-01-03",7,22,1,"%",148,"San Pedro"
"148HR23010308","2023-01-03",8,23,1,"%",148,"San Pedro"
"148HR23010309","2023-01-03",9,25,1,"%",148,"San Pedro"
"148HR23010310","2023-01-03",10,24,1,"%",148,"San Pedro"
"148HR23010311","2023-01-03",11,25,1,"%",148,"San Pedro"
"148HR23010312","2023-01-03",12,22,1,"%",148,"San Pedro"
"148HR23010313","2023-01-03",13,19,1,"%",148,"San Pedro"
"148HR23010314","2023-01-03",14,17,1,"%",148,"San Pedro"
"148HR23010315","2023-01-03",15,18,1,"%",148,"San Pedro"
"148HR23010316","2023-01-03",16,18,1,"%",148,"San Pedro"
"148HR23010317","2023-01-03",17,18,1,"%",148,"San Pedro"
"148HR23010318","2023-01-03",18,24,1,"%",148,"San Pedro"
"148HR23010319","2023-01-03",19,24,1,"%",148,"San Pedro"
"148HR23010320","2023-01-03",20,23,1,"%",148,"San Pedro"
"148HR23010321","2023-01-03",21,26,1,"%",148,"San Pedro"
"148HR23010322","2023-01-03",22,29,1,"%",148,"San Pedro"
"148HR23010323","2023-01-03",23,32,1,"%",148,"San Pedro"
"148HR23010400","2023-01-04",0,35,1,"%",148,"San Pedro"
"148HR23010401","2023-01-04",1,36,1,"%",148,"San Pedro"
"148HR23010402","2023-01-04",2,36,1,"%",148,"San Pedro"
"148HR23010403","2023-01-04",3,36,1,"%",148,"San Pedro"
"148HR23010404","2023-01-04",4,36,1,"%",148,"San Pedro"
"148HR23010405","2023-01-04",5,36,1,"%",148,"San Pedro"
"148HR23010406","2023-01-04",6,36,1,"%",148,"San Pedro"
"148HR23010407","2023-01-04",7,35,1,"%",148,"San Pedro"
"148HR23010408","2023-01-04",8,37,1,"%",148,"San Pedro"
"148HR23010409","2023-01-04",9,34,1,"%",148,"San Pedro"
"148HR23010410","2023-01-04",10,25,1,"%",148,"San Pedro"
"148HR23010411","2023-01-04",11,23,1,"%",148,"San Pedro"
"148HR23010412","2023-01-04",12,23,1,"%",148,"San Pedro"
"148HR23010413","2023-01-04",13,23,1,"%",148,"San Pedro"
"148HR23010414","2023-01-04",14,23,1,"%",148,"San Pedro"
"148HR23010415","2023-01-04",15,23,1,"%",148,"San Pedro"
"148HR23010416","2023-01-04",16,23,1,"%",148,"San Pedro"
"148HR23010417","2023-01-04",17,23,1,"%",148,"San Pedro"
"148HR23010418","2023-01-04",18,27,1,"%",148,"San Pedro"
"148HR23010419","2023-01-04",19,32,1,"%",148,"San Pedro"
"148HR23010420","2023-01-04",20,34,1,"%",148,"San Pedro"
"148HR23010421","2023-01-04",21,36,1,"%",148,"San Pedro"
"148HR23010422","2023-01-04",22,39,1,"%",148,"San Pedro"
"148HR23010423","2023-01-04",23,39,1,"%",148,"San Pedro"
"148HR23010500","2023-01-05",0,43,1,"%",148,"San Pedro"
"148HR23010501","2023-01-05",1,45,1,"%",148,"San Pedro"
"148HR23010502","2023-01-05",2,48,1,"%",148,"San Pedro"
"148HR23010503","2023-01-05",3,46,1,"%",148,"San Pedro"
"148HR23010504","2023-01-05",4,48,1,"%",148,"San Pedro"
"148HR23010505","2023-01-05",5,51,1,"%",148,"San Pedro"
"148HR23010506","2023-01-05",6,49,1,"%",148,"San Pedro"
"148HR23010507","2023-01-05",7,49,1,"%",148,"San Pedro"
"148HR23010508","2023-01-05",8,48,1,"%",148,"San Pedro"
"148HR23010509","2023-01-05",9,37,1,"%",148,"San Pedro"
"148HR23010510","2023-01-05",10,29,1,"%",148,"San Pedro"
"148HR23010511","2023-01-05",11,23,1,"%",148,"San Pedro"
"148HR23010512","2023-01-05",12,23,1,"%",148,"San Pedro"
"148HR23010513","2023-01-05",13,27,1,"%",148,"San Pedro"
"148HR23010514","2023-01-05",14,27,1,"%",148,"San Pedro"
"148HR23010515","2023-01-05",15,26,1,"%",148,"San Pedro"
"148HR23010516","2023-01-05",16,26,1,"%",148,"San Pedro"
"148HR23010517","2023-01-05",17,26,1,"%",148,"San Pedro"
"148HR23010518","2023-01-05",18,28,1,"%",148,"San Pedro"
"148HR23010519","2023-01-05",19,33,1,"%",148,"San Pedro"
"148HR23010520","2023-01-05",20,38,1,"%",148,"San Pedro"
"148HR23010521","2023-01-05",21,42,1,"%",148,"San Pedro"
"148HR23010522","2023-01-05",22,45,1,"%",148,"San Pedro"
"148HR23010523","2023-01-05",23,51,1,"%",148,"San Pedro"
"148HR23010600","2023-01-06",0,56,1,"%",148,"San Pedro"
"148HR23010601","2023-01-06",1,63,1,"%",148,"San Pedro"
"148HR23010602","2023-01-06",2,70,1,"%",148,"San Pedro"
"148HR23010603","2023-01-06",3,74,1,"%",148,"San Pedro"
"148HR23010604","2023-01-06",4,77,1,"%",148,"San Pedro"
"148HR23010605","2023-01-06",5,77,1,"%",148,"San Pedro"
"148HR23010606","2023-01-06",6,63,1,"%",148,"San Pedro"
"148HR23010607","2023-01-06",7,61,1,"%",148,"San Pedro"
"148HR23010608","2023-01-06",8,63,1,"%",148,"San Pedro"
"148HR23010609","2023-01-06",9,71,1,"%",148,"San Pedro"
"148HR23010610","2023-01-06",10,67,1,"%",148,"San Pedro"
"148HR23010611","2023-01-06",11,58,1,"%",148,"San Pedro"
"148HR23010612","2023-01-06",12,54,1,"%",148,"San Pedro"
"148HR23010613","2023-01-06",13,53,1,"%",148,"San Pedro"
"148HR23010614","2023-01-06",14,51,1,"%",148,"San Pedro"
"148HR23010615","2023-01-06",15,47,1,"%",148,"San Pedro"
"148HR23010616","2023-01-06",16,46,1,"%",148,"San Pedro"
"148HR23010617","2023-01-06",17,42,1,"%",148,"San Pedro"
"148HR23010618","2023-01-06",18,43,1,"%",148,"San Pedro"
"148HR23010619","2023-01-06",19,51,1,"%",148,"San Pedro"
"148HR23010620","2023-01-06",20,54,1,"%",148,"San Pedro"
"148HR23010621","2023-01-06",21,58,1,"%",148,"San Pedro"
"148HR23010622","2023-01-06",22,60,1,"%",148,"San Pedro"
