"estacion","alphaj_media","alphaj_sd"
"Ajusco Medio",0.06478811423628,0.0517270177201788
"Benito Juárez",0.0450400043220626,0.0441499835165162
"Biblioteca",-0.265397877891535,0.0476634659853292
"FES Aragón",-0.137074886534635,0.0457106216438668
"Gustavo A. Madero",-0.0366381997598584,0.048471980172552
"Hospital General de México",-0.0862191872584652,0.0613819744128593
"Merced",0.030728329538038,0.0455132026319176
"Nezahualcóyotl",0.0179774921782172,0.0450366293104889
"Pedregal",-0.0575541862253142,0.0460706376331006
"San Agustín",0.0145040057255966,0.0548724680409381
"Santiago Acahualtepec",0.24253163821356,0.0465531210865643
"Tlalnepantla",0.133035272271047,0.046676050721608
"UAM Iztapalapa",-0.0421113619074696,0.0464284403892198
"UAM Xochimilco",0.0705192751479687,0.0446641230476954
