"estacion","mes","pm25_mean","pm25_q2.5","pm25_q97.5"
"Ajusco Medio","Octubre",14.2271743105369,12.914045846446,15.6003362005059
"Ajusco Medio","Noviembre",17.092543830303,15.326546385465,18.9726675959037
"Ajusco Medio","Diciembre",18.3416194839915,16.8470330758446,19.9086549326301
"Benito Juárez","Octubre",13.9394256968006,13.0712777006684,14.8729855239634
"Benito Juárez","Noviembre",16.7435781159305,15.5682475980834,17.9884061083354
"Benito Juárez","Diciembre",17.9748764023425,16.8939361193086,19.1359294121269
"Biblioteca","Octubre",10.216128262879,9.44902790051914,10.9927594255912
"Biblioteca","Noviembre",12.2726476217942,11.2111214942798,13.3592823418333
"Biblioteca","Diciembre",13.1712216641843,12.3478423801596,14.0059405544973
"FES Aragón","Octubre",11.6195522478757,10.9151714501832,12.3667898598455
"FES Aragón","Noviembre",13.9557917029572,13.0792391852172,14.8923678147609
"FES Aragón","Diciembre",14.984721560564,14.0379297911198,15.9915102897275
"Gustavo A. Madero","Octubre",12.834363903444,11.9147941345276,13.8308584042087
"Gustavo A. Madero","Noviembre",15.4146857388648,14.2976329725408,16.6094538524618
"Gustavo A. Madero","Diciembre",16.5503920881352,15.3682000998983,17.8349445448651
"Hospital General de México","Octubre",12.2405790635013,10.9270587841997,13.6328740445825
"Hospital General de México","Noviembre",14.7020418149952,13.0855927560798,16.434040344229
"Hospital General de México","Diciembre",15.7831379644374,14.1378919215637,17.5381643219012
"Merced","Octubre",13.7299367263621,12.8951119471353,14.5788316303092
"Merced","Noviembre",16.4908055472628,15.4347356538342,17.5785269525341
"Merced","Diciembre",17.7059718792078,16.583479337214,18.868932515341
"Nezahualcóyotl","Octubre",13.5565180196981,12.692368093409,14.4308433966173
"Nezahualcóyotl","Noviembre",16.2833314336434,15.1410309901031,17.4371851573602
"Nezahualcóyotl","Diciembre",17.4813140959594,16.3957739467858,18.5779350168725
"Pedregal","Octubre",12.5750871803124,11.6845272911679,13.4940285626843
"Pedregal","Noviembre",15.1053449106476,13.9001935180208,16.3467922354077
"Pedregal","Diciembre",16.2144041649815,15.1821233965976,17.3087142738813
"San Agustín","Octubre",13.5180495951382,12.3442790595062,14.7658840931209
"San Agustín","Noviembre",16.2360111411139,14.8024683501581,17.7533442313032
"San Agustín","Diciembre",17.4327788511065,15.9084670835638,19.0559981623597
"Santiago Acahualtepec","Octubre",16.9903805782334,15.7472804609898,18.3022869920915
"Santiago Acahualtepec","Noviembre",20.4096690210966,18.7166766522148,22.1787003220676
"Santiago Acahualtepec","Diciembre",21.9068213625538,20.4281258219735,23.4441957376715
"Tlalnepantla","Octubre",15.2283783766867,14.1301184955591,16.4148036809623
"Tlalnepantla","Noviembre",18.2924978831863,16.8131809309991,19.8614676013606
"Tlalnepantla","Diciembre",19.6354531489993,18.308955850077,21.018692164123
"UAM Iztapalapa","Octubre",12.7658517331763,11.9041725947786,13.6768023865981
"UAM Iztapalapa","Noviembre",15.332610920377,14.2587108539808,16.4613873203599
"UAM Iztapalapa","Diciembre",16.4624639076228,15.3407162108445,17.6599214261215
"UAM Xochimilco","Octubre",14.2908071188959,13.3391109544579,15.290962304675
"UAM Xochimilco","Noviembre",17.1659770397893,15.8808504484682,18.5143362222415
"UAM Xochimilco","Diciembre",18.4266086283671,17.3128112950768,19.5900913582453
